id,move,description,type,category,power,accuracy,pp,z-effect,priority,crit
441,Gunk Shot,The user shoots filthy garbage at the target to attack. This may also poison the target.,Poison,Physical,120,80%,5,190 Power,0,0
442,Iron Head,The user slams the target with its steel-hard head. This may also make the target flinch.,Steel,Physical,80,100%,15,160 Power,0,0
443,Magnet Bomb,The user launches steel bombs that stick to the target. This attack never misses.,Steel,Physical,60,—,20,120 Power,0,0
444,Stone Edge,The user stabs the target from below with sharpened stones. Critical hits land more easily.,Rock,Physical,100,80%,5,180 Power,0,1
445,Captivate,"If any opposing Pokémon is the opposite gender of the user, it is charmed, which harshly lowers its Sp. Atk stat.",Normal,Status,0,100%,20,Special Defense ↑↑,0,0
446,Stealth Rock,The user lays a trap of levitating stones around the opposing team. The trap hurts opposing Pokémon that switch into battle.,Rock,Status,0,—,20,Defense ↑,0,0
447,Grass Knot,"The user snares the target with grass and trips it. The heavier the target, the greater the move’s power.",Grass,Special,—,100%,20,160 Power,0,0
448,Chatter,The user attacks the target with sound waves of deafening chatter. This confuses the target.,Flying,Special,65,100%,20,120 Power,0,0
449,Judgment,The user releases countless shots of light at the target. This move’s type varies depending on the kind of Plate the user is holding.,Normal,Special,100,100%,10,180 Power,0,0
450,Bug Bite,"The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.",Bug,Physical,60,100%,20,120 Power,0,0
451,Charge Beam,The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.,Electric,Special,50,90%,10,100 Power,0,0
452,Wood Hammer,The user slams its rugged body into the target to attack. This also damages the user quite a lot.,Grass,Physical,120,100%,15,190 Power,0,0
453,Aqua Jet,The user lunges at the target at a speed that makes it almost invisible. This move always goes first.,Water,Physical,40,100%,20,100 Power,1,0
454,Attack Order,The user calls out its underlings to pummel the target. Critical hits land more easily.,Bug,Physical,90,100%,15,175 Power,0,1
455,Defend Order,"The user calls out its underlings to shield its body, raising its Defense and Sp. Def stats.",Bug,Status,0,—,10,Defense ↑,0,0
456,Heal Order,The user calls out its underlings to heal it. The user regains up to half of its max HP.,Bug,Status,0,—,10,Reset user's stats,0,0
457,Head Smash,"The user attacks the target with a hazardous, full-power headbutt. This also damages the user terribly.",Rock,Physical,150,80%,5,200 Power,0,0
458,Double Hit,"The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row.",Normal,Physical,35,90%,10,140 Power,0,0
459,Roar of Time,The user blasts the target with power that distorts even time. The user can’t move on the next turn.,Dragon,Special,150,90%,5,200 Power,0,0
460,Spacial Rend,The user tears the target along with the space around it. Critical hits land more easily.,Dragon,Special,100,95%,5,180 Power,0,1
461,Lunar Dance,"The user faints. In return, the Pokémon taking its place will have its status and HP fully restored.",Psychic,Status,0,—,10,No additional effect,0,0
462,Crush Grip,"The target is crushed with great force. The more HP the target has left, the greater this move’s power.",Normal,Physical,—,100%,5,190 Power,0,0
463,Magma Storm,The target becomes trapped within a maelstrom of fire that rages for four to five turns.,Fire,Special,100,75%,5,180 Power,0,0
464,Dark Void,Opposing Pokémon are dragged into a world of total darkness that makes them sleep.,Dark,Status,0,50%,10,Reset user's stats,0,0
465,Seed Flare,The user emits a shock wave from its body to attack its target. This may also harshly lower the target’s Sp. Def stat.,Grass,Special,120,85%,5,190 Power,0,0
466,Ominous Wind,The user blasts the target with a gust of repulsive wind. This may also raise all the user’s stats at once.,Ghost,Special,60,100%,5,120 Power,0,0
467,Shadow Force,"The user disappears, then strikes the target on the next turn. This move hits even if the target protects itself.",Ghost,Physical,120,100%,5,190 Power,0,0
468,Hone Claws,The user sharpens its claws to boost its Attack stat and accuracy.,Dark,Status,0,—,15,Attack ↑,0,0
469,Wide Guard,The user and its allies are protected from wide-ranging attacks for one turn.,Rock,Status,0,—,10,Defense ↑,3,0
470,Guard Split,The user employs its psychic power to average its Defense and Sp. Def stats with those of the target.,Psychic,Status,0,—,10,Speed ↑,0,0
471,Power Split,The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.,Psychic,Status,0,—,10,Speed ↑,0,0
472,Wonder Room,The user creates a bizarre area in which Pokémon’s Defense and Sp. Def stats are swapped for five turns.,Psychic,Status,0,—,10,Special Defense ↑,0,0
473,Psyshock,The user materializes an odd psychic wave to attack the target. This attack does physical damage.,Psychic,Special,80,100%,10,160 Power,0,0
474,Venoshock,The user drenches the target in a special poisonous liquid. This move’s power is doubled if the target is poisoned.,Poison,Special,65,100%,10,120 Power,0,0
475,Autotomize,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.,Steel,Status,0,—,15,Reset user's stats,0,0
476,Rage Powder,The user scatters a cloud of irritating powder to draw attention to itself. Opponents aim only at the user.,Bug,Status,0,—,20,Reset user's stats,2,0
477,Telekinesis,The user makes the target float with its psychic power. The target is easier to hit for three turns.,Psychic,Status,0,—,15,Special Attack ↑,0,0
478,Magic Room,The user creates a bizarre area in which Pokémon’s held items lose their effects for five turns.,Psychic,Status,0,—,10,Special Defense ↑,0,0
479,Smack Down,The user throws a stone or similar projectile to attack an opponent. A flying Pokémon will fall to the ground when it’s hit.,Rock,Physical,50,100%,15,100 Power,0,0
480,Storm Throw,The user strikes the target with a fierce blow. This attack always results in a critical hit.,Fighting,Physical,60,100%,10,120 Power,0,3
481,Flame Burst,The user attacks the target with a bursting flame. The bursting flame damages Pokémon next to the target as well.,Fire,Special,70,100%,15,140 Power,0,0
482,Sludge Wave,The user strikes everything around it by swamping the area with a giant sludge wave. This may also poison those hit.,Poison,Special,95,100%,10,175 Power,0,0
483,Quiver Dance,"The user lightly performs a beautiful, mystic dance. This boosts the user’s Sp. Atk, Sp. Def, and Speed stats.",Bug,Status,0,—,20,Reset user's stats,0,0
484,Heavy Slam,"The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move’s power.",Steel,Physical,—,100%,10,160 Power,0,0
485,Synchronoise,"Using an odd shock wave, the user inflicts damage on any Pokémon of the same type in the area around it.",Psychic,Special,120,100%,15,190 Power,0,0
486,Electro Ball,"The user hurls an electric orb at the target. The faster the user is than the target, the greater the move’s power.",Electric,Special,—,100%,10,160 Power,0,0
487,Soak,The user shoots a torrent of water at the target and changes the target’s type to Water.,Water,Status,0,100%,20,Special Attack ↑,0,0
488,Flame Charge,"Cloaking itself in flame, the user attacks. Then, building up more power, the user raises its Speed stat.",Fire,Physical,50,100%,20,100 Power,0,0
489,Coil,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.,Poison,Status,0,—,20,Reset user's stats,0,0
490,Low Sweep,"The user makes a swift attack on the target’s legs, which lowers the target’s Speed stat.",Fighting,Physical,65,100%,20,120 Power,0,0
491,Acid Spray,The user spits fluid that works to melt the target. This harshly lowers the target’s Sp. Def stat.,Poison,Special,40,100%,20,100 Power,0,0
492,Foul Play,"The user turns the target’s power against it. The higher the target’s Attack stat, the greater the move’s power.",Dark,Physical,95,100%,15,175 Power,0,0
493,Simple Beam,The user’s mysterious psychic wave changes the target’s Ability to Simple.,Normal,Status,0,100%,15,Special Attack ↑,0,0
494,Entrainment,"The user dances with an odd rhythm that compels the target to mimic it, making the target’s Ability the same as the user’s.",Normal,Status,0,100%,15,Special Defense ↑,0,0
495,After You,The user helps the target and makes it use its move right after the user.,Normal,Status,0,—,15,Speed ↑,0,0
496,Round,The user attacks the target with a song. Others can join in the Round to increase the power of the attack.,Normal,Special,60,100%,15,120 Power,0,0
497,Echoed Voice,"The user attacks the target with an echoing voice. If this move is used every turn, its power is increased.",Normal,Special,40,100%,15,100 Power,0,0
498,Chip Away,"Looking for an opening, the user strikes consistently. The target’s stat changes don’t affect this attack’s damage.",Normal,Physical,70,100%,20,140 Power,0,0
499,Clear Smog,The user attacks by throwing a clump of special mud. All stat changes are returned to normal.,Poison,Special,50,—,15,100 Power,0,0
500,Stored Power,"The user attacks the target with stored power. The more the user’s stats are raised, the greater the move’s power.",Psychic,Special,20,100%,10,160 Power,0,0
501,Quick Guard,The user protects itself and its allies from priority moves.,Fighting,Status,0,—,15,Defense ↑,3,0
502,Ally Switch,The user teleports using a strange power and switches places with one of its allies.,Psychic,Status,0,—,15,Speed ↑↑,2,0
503,Scald,The user shoots boiling hot water at its target. This may also leave the target with a burn.,Water,Special,80,100%,15,160 Power,0,0
504,Shell Smash,"The user breaks its shell, which lowers Defense and Sp. Def stats but sharply raises its Attack, Sp. Atk, and Speed stats.",Normal,Status,0,—,15,Reset user's stats,0,0
505,Heal Pulse,The user emits a healing pulse that restores the target’s HP by up to half of its max HP.,Psychic,Status,0,—,10,Reset user's stats,0,0
506,Hex,This relentless attack does massive damage to a target affected by status conditions.,Ghost,Special,65,100%,10,160 Power,0,0
507,Sky Drop,"The user takes the target into the sky, then drops it during the next turn. The target cannot attack while in the sky.",Flying,Physical,60,100%,10,120 Power,0,0
508,Shift Gear,"The user rotates its gears, raising its Attack stat and sharply raising its Speed stat.",Steel,Status,0,—,10,Reset user's stats,0,0
509,Circle Throw,"The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",Fighting,Physical,60,90%,10,120 Power,-6,0
510,Incinerate,"The user attacks opposing Pokémon with fire. If a Pokémon is holding a certain item, such as a Berry, the item becomes burned up and unusable.",Fire,Special,60,100%,15,120 Power,0,0
511,Quash,The user suppresses the target and makes its move go last.,Dark,Status,0,100%,15,Speed ↑,0,0
512,Acrobatics,"The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.",Flying,Physical,55,100%,15,100 Power,0,0
513,Reflect Type,"The user reflects the target’s type, making it the same type as the target.",Normal,Status,0,—,15,Special Attack ↑,0,0
514,Retaliate,"The user gets revenge for a fainted ally. If an ally fainted in the previous turn, this move’s power is increased.",Normal,Physical,70,100%,5,140 Power,0,0
515,Final Gambit,The user risks everything to attack its target. The user faints but does damage equal to its HP.,Fighting,Special,—,100%,5,180 Power,0,0
516,Bestow,The user passes its held item to the target when the target isn’t holding an item.,Normal,Status,0,—,15,Speed ↑↑,0,0
517,Inferno,The user attacks by engulfing the target in an intense fire. This leaves the target with a burn.,Fire,Special,100,50%,5,180 Power,0,0
518,Water Pledge,"A column of water strikes the target. When combined with its fire equivalent, its power increases and a rainbow appears.",Water,Special,80,100%,10,160 Power,0,0
519,Fire Pledge,"A column of fire hits the target. When used with its grass equivalent, its power increases and a vast sea of fire appears.",Fire,Special,80,100%,10,160 Power,0,0
520,Grass Pledge,"A column of grass hits the target. When used with its water equivalent, its power increases and a vast swamp appears.",Grass,Special,80,100%,10,160 Power,0,0
521,Volt Switch,"After making its attack, the user rushes back to switch places with a party Pokémon in waiting.",Electric,Special,70,100%,20,140 Power,0,0
522,Struggle Bug,"While resisting, the user attacks the opposing Pokémon. This lowers the Sp. Atk stat of those hit.",Bug,Special,50,100%,20,100 Power,0,0
523,Bulldoze,The user strikes everything around it by stomping down on the ground. This lowers the Speed stat of those hit.,Ground,Physical,60,100%,20,120 Power,0,0
524,Frost Breath,The user blows its cold breath on the target. This attack always results in a critical hit.,Ice,Special,60,90%,10,120 Power,0,3
525,Dragon Tail,"The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.",Dragon,Physical,60,90%,10,120 Power,-6,0
526,Work Up,"The user is roused, and its Attack and Sp. Atk stats increase.",Normal,Status,0,—,30,Attack ↑,0,0
527,Electroweb,The user attacks and captures opposing Pokémon using an electric net. This lowers their Speed stat.,Electric,Special,55,95%,15,100 Power,0,0
528,Wild Charge,The user shrouds itself in electricity and smashes into its target. This also damages the user a little.,Electric,Physical,90,100%,15,175 Power,0,0
529,Drill Run,The user crashes into its target while rotating its body like a drill. Critical hits land more easily.,Ground,Physical,80,95%,10,160 Power,0,1
530,Dual Chop,The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.,Dragon,Physical,40,90%,15,100 Power,0,0
531,Heart Stamp,The user unleashes a vicious blow after its cute act makes the target less wary. This may also make the target flinch.,Psychic,Physical,60,100%,25,120 Power,0,0
532,Horn Leech,The user drains the target’s energy with its horns. The user’s HP is restored by half the damage taken by the target.,Grass,Physical,75,100%,10,140 Power,0,0
533,Sacred Sword,The user attacks by slicing with a long horn. The target’s stat changes don’t affect this attack’s damage.,Fighting,Physical,90,100%,15,175 Power,0,0
534,Razor Shell,The user cuts its target with sharp shells. This may also lower the target’s Defense stat.,Water,Physical,75,95%,10,140 Power,0,0
535,Heat Crash,"The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move’s power.",Fire,Physical,—,100%,10,160 Power,0,0
536,Leaf Tornado,The user attacks its target by encircling it in sharp leaves. This attack may also lower the target’s accuracy.,Grass,Special,65,90%,10,120 Power,0,0
537,Steamroller,The user crushes its target by rolling over the target with its rolled-up body. This may also make the target flinch.,Bug,Physical,65,100%,20,120 Power,0,0
538,Cotton Guard,"The user protects itself by wrapping its body in soft cotton, which drastically raises the user’s Defense stat.",Grass,Status,0,—,10,Reset user's stats,0,0
539,Night Daze,The user lets loose a pitch-black shock wave at its target. This may also lower the target’s accuracy.,Dark,Special,85,95%,10,160 Power,0,0
540,Psystrike,The user materializes an odd psychic wave to attack the target. This attack does physical damage.,Psychic,Special,100,100%,10,180 Power,0,0
541,Tail Slap,The user attacks by striking the target with its hard tail. It hits the target two to five times in a row.,Normal,Physical,25,85%,10,140 Power,0,0
542,Hurricane,The user attacks by wrapping its opponent in a fierce wind that flies up into the sky. This may also confuse the target.,Flying,Special,110,70%,10,185 Power,0,0
543,Head Charge,"The user charges its head into its target, using its powerful guard hair. This also damages the user a little.",Normal,Physical,120,100%,15,190 Power,0,0
544,Gear Grind,The user attacks by throwing steel gears at its target twice.,Steel,Physical,50,85%,15,180 Power,0,0
545,Searing Shot,The user torches everything around it in an inferno of scarlet flames. This may also leave those it hits with a burn.,Fire,Special,100,100%,5,180 Power,0,0
546,Techno Blast,The user fires a beam of light at its target. The move’s type changes depending on the Drive the user holds.,Normal,Special,120,100%,5,190 Power,0,0
547,Relic Song,The user sings an ancient song and attacks by appealing to the hearts of the listening opposing Pokémon. This may also induce sleep.,Normal,Special,75,100%,10,140 Power,0,0
548,Secret Sword,The user cuts with its long horn. The odd power contained in the horn does physical damage to the target.,Fighting,Special,85,100%,10,160 Power,0,0
549,Glaciate,The user attacks by blowing freezing cold air at opposing Pokémon. This lowers their Speed stat.,Ice,Special,65,95%,10,120 Power,0,0
550,Bolt Strike,The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.,Electric,Physical,130,85%,5,195 Power,0,0
551,Blue Flare,"The user attacks by engulfing the target in an intense, yet beautiful, blue flame. This may also leave the target with a burn.",Fire,Special,130,85%,5,195 Power,0,0
552,Fiery Dance,"Cloaked in flames, the user dances and flaps its wings. This may also raise the user’s Sp. Atk stat.",Fire,Special,80,100%,10,160 Power,0,0
553,Freeze Shock,"On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis.",Ice,Physical,140,90%,5,200 Power,0,0
554,Ice Burn,"On the second turn, an ultracold, freezing wind surrounds the target. This may leave the target with a burn.",Ice,Special,140,90%,5,200 Power,0,0
555,Snarl,"The user yells as if it’s ranting about something, which lowers the Sp. Atk stat of opposing Pokémon.",Dark,Special,55,95%,15,100 Power,0,0
556,Icicle Crash,The user attacks by harshly dropping large icicles onto the target. This may also make the target flinch.,Ice,Physical,85,90%,10,160 Power,0,0
557,V-create,"With a hot flame on its forehead, the user hurls itself at its target. This lowers the user’s Defense, Sp. Def, and Speed stats.",Fire,Physical,180,95%,5,220 Power,0,0
558,Fusion Flare,The user brings down a giant flame. This move’s power is increased when influenced by an enormous lightning bolt.,Fire,Special,100,100%,5,180 Power,0,0
559,Fusion Bolt,The user throws down a giant lightning bolt. This move’s power is increased when influenced by an enormous flame.,Electric,Physical,100,100%,5,180 Power,0,0
560,Flying Press,The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.,Fighting,Physical,100,95%,10,170 Power,0,0
561,Mat Block,"Using a pulled-up mat as a shield, the user protects itself and its allies from damaging moves. This does not stop status moves.",Fighting,Status,0,—,10,Defense ↑,0,0
562,Belch,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.,Poison,Special,120,90%,10,190 Power,0,0
563,Rototiller,"Tilling the soil, the user makes it easier for plants to grow. This raises the Attack and Sp. Atk stats of Grass-type Pokémon.",Ground,Status,0,—,10,Attack ↑,0,0
564,Sticky Web,"The user weaves a sticky net around the opposing team, which lowers their Speed stat upon switching into battle.",Bug,Status,0,—,20,Speed ↑,0,0
565,Fell Stinger,"When the user knocks out a target with this move, the user’s Attack stat rises drastically.",Bug,Physical,50,100%,25,100 Power,0,0
566,Phantom Force,"The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.",Ghost,Physical,90,100%,10,175 Power,0,0
567,Trick-or-Treat,The user takes the target trick-or-treating. This adds Ghost type to the target’s type.,Ghost,Status,0,100%,20,All stats ↑,0,0
568,Noble Roar,"Letting out a noble roar, the user intimidates the target and lowers its Attack and Sp. Atk stats.",Normal,Status,0,100%,30,Defense ↑,0,0
569,Ion Deluge,"The user disperses electrically charged particles, which changes Normal-type moves to Electric-type moves.",Electric,Status,0,—,25,Special Attack ↑,1,0
570,Parabolic Charge,The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.,Electric,Special,65,100%,20,120 Power,0,0
571,Forest’s Curse,The user puts a forest curse on the target. The target is now Grass type as well.,Grass,Status,0,100%,20,All stats ↑,0,0
572,Petal Blizzard,The user stirs up a violent petal blizzard and attacks everything around it.,Grass,Physical,90,100%,15,175 Power,0,0
573,Freeze-Dry,The user rapidly cools the target. This may also leave the target frozen. This move is super effective on Water types.,Ice,Special,70,100%,20,140 Power,0,0
574,Disarming Voice,"Letting out a charming cry, the user does emotional damage to opposing Pokémon. This attack never misses.",Fairy,Special,40,—,15,100 Power,0,0
575,Parting Shot,"With a parting threat, the user lowers the target’s Attack and Sp. Atk stats. Then it switches with a party Pokémon.",Dark,Status,0,100%,20,Restores replacement’s HP 100%,0,0
576,Topsy-Turvy,All stat changes affecting the target turn topsy-turvy and become the opposite of what they were.,Dark,Status,0,100%,20,Attack ↑,0,0
577,Draining Kiss,The user steals the target’s HP with a kiss. The user’s HP is restored by over half of the damage taken by the target.,Fairy,Special,50,100%,10,100 Power,0,0
578,Crafty Shield,The user protects itself and its allies from status moves with a mysterious power. This does not stop moves that do damage.,Fairy,Status,0,—,10,Special Defense ↑,3,0
579,Flower Shield,The user raises the Defense stat of all Grass-type Pokémon in battle with a mysterious power.,Fairy,Status,0,—,10,Defense ↑,0,0
580,Grassy Terrain,The user turns the ground to grass for five turns. This restores the HP of Pokémon on the ground a little every turn and powers up Grass type-moves.,Grass,Status,0,—,10,Defense ↑,0,0
581,Misty Terrain,This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.,Fairy,Status,0,—,10,Special Defense ↑,0,0
582,Electrify,"If the target is electrified before it uses a move during that turn, the target’s move becomes Electric type.",Electric,Status,0,—,20,Special Attack ↑,0,0
583,Play Rough,The user plays rough with the target and attacks it. This may also lower the target’s Attack stat.,Fairy,Physical,90,90%,10,175 Power,0,0
584,Fairy Wind,The user stirs up a fairy wind and strikes the target with it.,Fairy,Special,40,—,30,100 Power,0,0
585,Moonblast,"Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat.",Fairy,Special,95,100%,15,175 Power,0,0
586,Boomburst,"The user attacks everything around it with the destructive power of a terrible, explosive sound.",Normal,Special,140,100%,10,200 Power,0,0
587,Fairy Lock,"By locking down the battlefield, the user keeps all Pokémon from fleeing during the next turn.",Fairy,Status,0,—,10,Defense ↑,0,0
588,King’s Shield,The user takes a defensive stance while it protects itself from damage. It also harshly lowers the Attack stat of any attacker who makes direct contact.,Steel,Status,0,—,10,Reset user's stats,4,0
589,Play Nice,"The user and the target become friends, and the target loses its will to fight. This lowers the target’s Attack stat.",Normal,Status,0,—,20,Defense ↑,0,0
590,Confide,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat.",Normal,Status,0,—,20,Special Defense ↑,0,0
591,Diamond Storm,The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user’s Defense stat.,Rock,Physical,100,95%,5,180 Power,0,0
592,Steam Eruption,The user immerses the target in superheated steam. This may also leave the target with a burn.,Water,Special,110,95%,5,185 Power,0,0
593,Hyperspace Hole,"Using a hyperspace hole, the user appears right next to the target and strikes. This also hits a target using a move such as Protect or Detect.",Psychic,Special,80,—,5,160 Power,0,0
594,Water Shuriken,The user hits the target with throwing stars two to five times in a row. This move always goes first.,Water,Special,15,100%,20,100 Power,1,0
595,Mystical Fire,"The user attacks by breathing a special, hot fire. This also lowers the target’s Sp. Atk stat.",Fire,Special,75,100%,10,140 Power,0,0
596,Spiky Shield,"In addition to protecting the user from attacks, this move also damages any attacker who makes direct contact.",Grass,Status,0,—,10,Defense ↑,4,0
597,Aromatic Mist,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.,Fairy,Status,0,—,20,Special Defense ↑↑,0,0
598,Eerie Impulse,The user’s body generates an eerie impulse. Exposing the target to it harshly lowers the target’s Sp. Atk stat.,Electric,Status,0,100%,15,Special Defense ↑,0,0
599,Venom Drench,"Opposing Pokémon are drenched in an odd poisonous liquid. This lowers the Attack, Sp. Atk, and Speed stats of a poisoned target.",Poison,Status,0,100%,20,Defense ↑,0,0
600,Powder,"The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target.",Bug,Status,0,100%,20,Special Defense ↑↑,1,0
601,Geomancy,"The user absorbs energy and sharply raises its Sp. Atk, Sp. Def, and Speed stats on the next turn.",Fairy,Status,0,—,10,All stats ↑,0,0
602,Magnetic Flux,"The user manipulates magnetic fields, which raises the Defense and Sp. Def stats of ally Pokémon with the Plus or Minus Ability.",Electric,Status,0,—,20,Special Defense ↑,0,0
603,Happy Hour,Using Happy Hour doubles the amount of prize money received after battle.,Normal,Status,0,—,30,All stats ↑,0,0
604,Electric Terrain,"The user electrifies the ground for five turns, powering up Electric-type moves. Pokémon on the ground no longer fall asleep.",Electric,Status,0,—,10,Speed ↑,0,0
605,Dazzling Gleam,The user damages opposing Pokémon by emitting a powerful flash.,Fairy,Special,80,100%,10,160 Power,0,0
606,Celebrate,The Pokémon congratulates you on your special day!,Normal,Status,0,—,40,All stats ↑,0,0
607,Hold Hands,The user and an ally hold hands. This makes them very happy.,Normal,Status,0,—,40,All stats ↑,0,0
608,Baby-Doll Eyes,"The user stares at the target with its baby-doll eyes, which lowers its Attack stat. This move always goes first.",Fairy,Status,0,100%,30,Defense ↑,1,0
609,Nuzzle,The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.,Electric,Physical,20,100%,20,100 Power,0,0
610,Hold Back,"The user holds back when it attacks, and the target is left with at least 1 HP.",Normal,Physical,40,100%,40,100 Power,0,0
611,Infestation,The target is infested and attacked for four to five turns. The target can’t flee during this time.,Bug,Special,20,100%,20,100 Power,0,0
612,Power-Up Punch,Striking opponents over and over makes the user’s fists harder. Hitting a target raises the Attack stat.,Fighting,Physical,40,100%,20,100 Power,0,0
613,Oblivion Wing,The user absorbs its target’s HP. The user’s HP is restored by over half of the damage taken by the target.,Flying,Special,80,100%,10,160 Power,0,0
614,Thousand Arrows,This move also hits opposing Pokémon that are in the air. Those Pokémon are knocked down to the ground.,Ground,Physical,90,100%,10,180 Power,0,0
615,Thousand Waves,The user attacks with a wave that crawls along the ground. Those hit can’t flee from battle.,Ground,Physical,90,100%,10,175 Power,0,0
616,Land’s Wrath,The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.,Ground,Physical,90,100%,10,185 Power,0,0
617,Light of Ruin,"Drawing power from the Eternal Flower, the user fires a powerful beam of light. This also damages the user quite a lot.",Fairy,Special,140,90%,5,200 Power,0,0
618,Origin Pulse,The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.,Water,Special,110,85%,10,185 Power,0,0
619,Precipice Blades,The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.,Ground,Physical,120,85%,10,190 Power,0,0
620,Dragon Ascent,"After soaring upward, the user attacks its target by dropping out of the sky at high speeds. But it lowers its own Defense and Sp. Def stats in the process.",Flying,Physical,120,100%,5,190 Power,0,0
621,Hyperspace Fury,"Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. But the user’s Defense stat falls.",Dark,Physical,100,—,5,180 Power,0,0
622,Breakneck Blitz,"The user builds up its momentum using its Z-Power and crashes into the target at full speed. The power varies, depending on the original move.",Normal,#N/A,—,—,1,~Type: Normal,0,0
623,All-Out Pummeling,"The user rams an energy orb created by its Z-Power into the target with full force. The power varies, depending on the original move.",Fighting,#N/A,—,—,1,~Type: Fighting,0,0
624,Supersonic Skystrike,"The user soars up with its Z-Power and plummets toward the target at full speed. The power varies, depending on the original move.",Flying,#N/A,—,—,1,~Type: Flying,0,0
625,Acid Downpour,"The user creates a poisonous swamp using its Z-Power and sinks the target into it at full force. The power varies, depending on the original move.",Poison,#N/A,—,—,1,~Type: Poison,0,0
626,Tectonic Rage,"The user burrows deep into the ground and slams into the target with the full force of its Z-Power. The power varies, depending on the original move.",Ground,#N/A,—,—,1,~Type: Ground,0,0
627,Continental Crush,"The user summons a huge rock mountain using its Z-Power and drops it onto the target with full force. The power varies, depending on the original move.",Rock,#N/A,—,—,1,~Type: Rock,0,0
628,Savage Spin-Out,"The user binds the target with full force with threads of silk that the user spits using its Z-Power. The power varies, depending on the original move.",Bug,#N/A,—,—,1,~Type: Bug,0,0
629,Never-Ending Nightmare,"Deep-seated grudges summoned by the user’s Z-Power trap the target. The power varies, depending on the original move.",Ghost,#N/A,—,—,1,~Type: Ghost,0,0
630,Corkscrew Crash,"The user spins very fast and rams into the target with the full force of its Z-Power. The power varies, depending on the original move.",Steel,#N/A,—,—,1,~Type: Steel,0,0
631,Inferno Overdrive,The user breathes a stream of intense fire toward the target with the full force of its Z-Power. The power varies depending on the original move.,Fire,#N/A,—,—,1,~Type: Fire,0,0
632,Hydro Vortex,"The user creates a huge whirling current using its Z-Power to swallow the target with full force. The power varies, depending on the original move.",Water,#N/A,—,—,1,~Type: Water,0,0
633,Bloom Doom,"The user collects energy from plants using its Z-Power and attacks the target with full force. The power varies, depending on the original move.",Grass,#N/A,—,—,1,~Type: Grass,0,0
634,Gigavolt Havoc,"The user hits the target with a powerful electric current collected by its Z-Power. The power varies, depending on the original move.",Electric,#N/A,—,—,1,~Type: Electric,0,0
635,Shattered Psyche,"The user controls the target with its Z-Power and hurts the target with full force. The power varies, depending on the original move.",Psychic,#N/A,—,—,1,~Type: Psychic,0,0
636,Subzero Slammer,"The user dramatically drops the temperature using its Z-Power and freezes the target with full force. The power varies, depending on the original move.",Ice,#N/A,—,—,1,~Type: Ice,0,0
637,Devastating Drake,"The user materializes its aura using its Z-Power and attacks the target with full force. The power varies, depending on the original move.",Dragon,#N/A,—,—,1,~Type: Dragon,0,0
638,Black Hole Eclipse,"The user gathers dark energy using its Z-Power and sucks the target into it. The power varies, depending on the original move.",Dark,#N/A,—,—,1,~Type: Dark,0,0
639,Twinkle Tackle,"The user creates a very charming space using its Z-Power and totally toys with the target. The power varies, depending on the original move.",Fairy,#N/A,—,—,1,~Type: Fairy,0,0
640,Catastropika,"The user, Pikachu, surrounds itself with the maximum amount of electricity using its Z-Power and pounces on its target with full force.",Electric,Physical,210,—,1,~Volt Tackle,0,0
641,Shore Up,The user regains up to half of its max HP. It restores more HP in a sandstorm.,Ground,Status,0,—,10,Reset user's stats,0,0
642,First Impression,"Although this move has great power, it only works the first turn the user is in battle.",Bug,Physical,90,100%,10,175 Power,2,0
643,Baneful Bunker,"In addition to protecting the user from attacks, this move also poisons any attacker that makes direct contact.",Poison,Status,0,—,10,Defense ↑,4,0
