id,item,description
639,Weakness Policy,An item to be held by a Pokémon. Attack and Sp. Atk sharply increase if the holder is hit with a move it’s weak to.
640,Assault Vest,An item to be held by a Pokémon. This offensive vest raises Sp. Def but prevents the use of status moves.
641,Holo Caster,A device that allows users to receive and view hologram clips at any time. It’s also used to chat with others.
642,Prof’s Letter,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.
643,Roller Skates,"Attaches roller skates to the bottom of your shoes, allowing you to glide quickly around and perform tricks."
644,Pixie Plate,An item to be held by a Pokémon. It’s a stone tablet that boosts the power of Fairy-type moves.
645,Ability Capsule,A capsule that allows a Pokémon with two Abilities to switch between these Abilities when it is used.
646,Whipped Dream,"A soft and sweet treat made of fluffy, puffy, whipped, and whirled cream. It’s loved by a certain Pokémon."
647,Sachet,A sachet filled with fragrant perfumes that are just slightly too overwhelming. Yet it’s loved by a certain Pokémon.
648,Luminous Moss,An item to be held by a Pokémon. It boosts Sp. Def if hit with a Water-type attack. It can only be used once.
649,Snowball,An item to be held by a Pokémon. It boosts Attack if hit with an Ice-type attack. It can only be used once.
650,Safety Goggles,An item to be held by a Pokémon. These goggles protect the holder from both weather-related damage and powder.
651,Poké Flute,A flute that can play with such a beautiful tone that even sleeping Pokémon find themselves roused.
652,Rich Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
653,Surprise Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
654,Boost Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
655,Amaze Mulch,"A fertilizer for growing Berries. However, it appears to be unsuitable for the soil in the Hoenn region and has no effect."
656,Gengarite,"One of a variety of mysterious Mega Stones. Have Gengar hold it, and this stone will enable it to Mega Evolve during battle."
657,Gardevoirite,"One of a variety of mysterious Mega Stones. Have Gardevoir hold it, and this stone will enable it to Mega Evolve during battle."
658,Ampharosite,"One of a variety of mysterious Mega Stones. Have Ampharos hold it, and this stone will enable it to Mega Evolve during battle."
659,Venusaurite,"One of a variety of mysterious Mega Stones. Have Venusaur hold it, and this stone will enable it to Mega Evolve during battle."
660,Charizardite X,"One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle."
661,Blastoisinite,"One of a variety of mysterious Mega Stones. Have Blastoise hold it, and this stone will enable it to Mega Evolve during battle."
662,Mewtwonite X,"One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle."
663,Mewtwonite Y,"One of a variety of mysterious Mega Stones. Have Mewtwo hold it, and this stone will enable it to Mega Evolve during battle."
664,Blazikenite,"One of a variety of mysterious Mega Stones. Have Blaziken hold it, and this stone will enable it to Mega Evolve during battle."
665,Medichamite,"One of a variety of mysterious Mega Stones. Have Medicham hold it, and this stone will enable it to Mega Evolve during battle."
666,Houndoominite,"One of a variety of mysterious Mega Stones. Have Houndoom hold it, and this stone will enable it to Mega Evolve during battle."
667,Aggronite,"One of a variety of mysterious Mega Stones. Have Aggron hold it, and this stone will enable it to Mega Evolve during battle."
668,Banettite,"One of a variety of mysterious Mega Stones. Have Banette hold it, and this stone will enable it to Mega Evolve during battle."
669,Tyranitarite,"One of a variety of mysterious Mega Stones. Have Tyranitar hold it, and this stone will enable it to Mega Evolve during battle."
670,Scizorite,"One of a variety of mysterious Mega Stones. Have Scizor hold it, and this stone will enable it to Mega Evolve during battle."
671,Pinsirite,"One of a variety of mysterious Mega Stones. Have Pinsir hold it, and this stone will enable it to Mega Evolve during battle."
672,Aerodactylite,"One of a variety of mysterious Mega Stones. Have Aerodactyl hold it, and this stone will enable it to Mega Evolve during battle."
673,Lucarionite,"One of a variety of mysterious Mega Stones. Have Lucario hold it, and this stone will enable it to Mega Evolve during battle."
674,Abomasite,"One of a variety of mysterious Mega Stones. Have Abomasnow hold it, and this stone will enable it to Mega Evolve during battle."
675,Kangaskhanite,"One of a variety of mysterious Mega Stones. Have Kangaskhan hold it, and this stone will enable it to Mega Evolve during battle."
676,Gyaradosite,"One of a variety of mysterious Mega Stones. Have Gyarados hold it, and this stone will enable it to Mega Evolve during battle."
677,Absolite,"One of a variety of mysterious Mega Stones. Have Absol hold it, and this stone will enable it to Mega Evolve during battle."
678,Charizardite Y,"One of a variety of mysterious Mega Stones. Have Charizard hold it, and this stone will enable it to Mega Evolve during battle."
679,Alakazite,"One of a variety of mysterious Mega Stones. Have Alakazam hold it, and this stone will enable it to Mega Evolve during battle."
680,Heracronite,"One of a variety of mysterious Mega Stones. Have Heracross hold it, and this stone will enable it to Mega Evolve during battle."
681,Mawilite,"One of a variety of mysterious Mega Stones. Have Mawile hold it, and this stone will enable it to Mega Evolve during battle."
682,Manectite,"One of a variety of mysterious Mega Stones. Have Manectric hold it, and this stone will enable it to Mega Evolve during battle."
683,Garchompite,"One of a variety of mysterious Mega Stones. Have Garchomp hold it, and this stone will enable it to Mega Evolve during battle."
684,Latiasite,"One of a variety of mysterious Mega Stones. Have Latias hold it, and this stone will enable it to Mega Evolve during battle."
685,Latiosite,"One of a variety of mysterious Mega Stones. Have Latios hold it, and this stone will enable it to Mega Evolve during battle."
686,Roseli Berry,"If held by a Pokémon, this Berry will lessen the damage taken from one supereffective Fairy-type attack."
687,Kee Berry,"If held by a Pokémon, this Berry will increase the holder’s Defense if it’s hit with a physical move."
688,Maranga Berry,"If held by a Pokémon, this Berry will increase the holder’s Sp. Def if it’s hit with a special move."
689,Sprinklotad,"A watering can shaped like a Lotad. It helps promote the healthy growth of any Berries planted in good, soft soil."
690,TM96,This attack makes use of nature’s power. Its effects vary depending on the user’s environment.
691,TM97,The user releases a horrible aura imbued with dark thoughts. This may also make the target flinch.
692,TM98,The user charges at the target and may make it flinch.
693,TM99,The user damages opposing Pokémon by emitting a powerful flash.
694,TM100,"The user tells the target a secret, and the target loses its ability to concentrate. This lowers the target’s Sp. Atk stat."
695,Power Plant Pass,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.
696,Mega Ring,This ring contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.
697,Intriguing Stone,A rather curious stone that might appear valuable to some. It’s all in the eye of the beholder.
698,Common Stone,A perfectly normal stone that might appear to be valuable to some. It’s all in the eye of the beholder.
699,Discount Coupon,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
700,Elevator Key,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare’s logo.
701,TMV Pass,A commuter pass that allows the holder to ride the TMV between Lumiose City and Kiloude City at any time.
702,Honor of Kalos,A precious symbol that is awarded only to an individual who has done great things for the Kalos region.
703,Adventure Rules,This book contains all the points a new Trainer needs to know on a journey. It was handmade by a kind friend.
704,Strange Souvenir,An ornament depicting a mysterious Pokémon that has been venerated as a guardian deity for an extremely long time in the Alola region.
705,Lens Case,A rather chic-looking case for carrying contact lenses.
706,Makeup Bag,A rather chic-looking case for carrying lipsticks.
707,Travel Trunk,"A light and yet incredibly effective trunk, which can contain every last piece of clothing that can be bought."
708,Lumiose Galette,A popular treat in Lumiose City. It can be used once to heal all the status conditions of a Pokémon.
709,Shalour Sable,Shalour City’s famous shortbread. It can be used once to heal all the status conditions of a Pokémon.
710,Jaw Fossil,A fossil from a prehistoric Pokémon that once lived on the land. It looks as if it could be a piece of a large jaw.
711,Sail Fossil,A fossil from a prehistoric Pokémon that once lived on the land. It looks like the impression from a skin sail.
712,Looker Ticket,A ticket that was handmade by Looker. It’s decorated with a liberal amount of glittery paint.
713,Bike,A folding Bike that enables a rider to get around much faster than with Running Shoes.
714,Holo Caster,A device that allows users to receive and view hologram clips at any time. It’s also used to chat with others.
715,Fairy Gem,"A gem with an essence of the fey. When held, it strengthens the power of a Fairy-type move one time."
716,Mega Charm,This charm contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.
717,Mega Glove,This glove contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.
718,Mach Bike,This folding Bike more than doubles your movement speed.
719,Acro Bike,This folding Bike allows you to perform actions such as wheelies and bunny hops.
720,Wailmer Pail,This is a tool for watering Berries you planted to make them grow more quickly.
721,Devon Parts,A case that contains mechanical parts of some sort made by the Devon Corporation.
722,Soot Sack,A sack used to gather and hold volcanic ash.
723,Basement Key,"The key to New Mauville, which was constructed beneath Mauville City."
724,Pokéblock Kit,A set containing a Berry Blender for making Pokéblocks and a Pokéblock Case for storing Pokéblocks.
725,Letter,An extremely important letter to Steven from the President of Devon Corporation.
726,Eon Ticket,"The ticket required for sailing on a ferry to the Southern Island. Does Norman, the Petalburg Gym Leader, know a secret?!"
727,Scanner,A device found inside Sea Mauville.
728,Go-Goggles,Nifty goggles to protect eyes from desert sandstorms.
729,Meteorite,A Meteorite originally found at Meteor Falls. You got it at Mt. Chimney.
730,Key to Room 1,A key that opens a door inside Sea Mauville.
731,Key to Room 2,A key that opens a door inside Sea Mauville.
732,Key to Room 4,A key that opens a door inside Sea Mauville.
733,Key to Room 6,A key that opens a door inside Sea Mauville.
734,Storage Key,A key that opens the storage hold inside Sea Mauville.
735,Devon Scope,A special device made by Devon Corporation that signals the presence of any unseen Pokémon.
736,S.S. Ticket,Ticket required for sailing on a ferry.
737,HM07,"Diving on the first turn, the user floats up and attacks on the next turn."
738,Devon Scuba Gear,A device made by Devon Corporation that provides oxygen to users during the use of Dive.
739,Contest Costume,A very cool suit to be worn during the Contest Spectacular.
740,Contest Costume,A very cute dress to be worn during the Contest Spectacular.
741,Magma Suit,A suit made with the collective technological know-how of Team Magma. It can withstand any impact.
742,Aqua Suit,A suit made with the collective technological know-how of Team Aqua. It can withstand any impact.
743,Pair of Tickets,Tickets for two to the astronomical show being held at the Mossdeep Space Center.
744,Mega Bracelet,This cuff contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
745,Mega Pendant,This necklace contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
746,Mega Glasses,These glasses contain an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
747,Mega Anchor,This anchor contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
748,Mega Stickpin,This stickpin contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
749,Mega Tiara,This tiara contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
750,Mega Anklet,This anklet contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
751,Meteorite,A Meteorite that you got at Mt. Chimney. It gives off a faint glow.
752,Swampertite,"One of a variety of mysterious Mega Stones. Have Swampert hold it, and this stone will enable it to Mega Evolve during battle."
753,Sceptilite,"One of a variety of mysterious Mega Stones. Have Sceptile hold it, and this stone will enable it to Mega Evolve during battle."
754,Sablenite,"One of a variety of mysterious Mega Stones. Have Sableye hold it, and this stone will enable it to Mega Evolve during battle."
755,Altarianite,"One of a variety of mysterious Mega Stones. Have Altaria hold it, and this stone will enable it to Mega Evolve during battle."
756,Galladite,"One of a variety of mysterious Mega Stones. Have Gallade hold it, and this stone will enable it to Mega Evolve during battle."
757,Audinite,"One of a variety of mysterious Mega Stones. Have Audino hold it, and this stone will enable it to Mega Evolve during battle."
758,Metagrossite,"One of a variety of mysterious Mega Stones. Have Metagross hold it, and this stone will enable it to Mega Evolve during battle."
759,Sharpedonite,"One of a variety of mysterious Mega Stones. Have Sharpedo hold it, and this stone will enable it to Mega Evolve during battle."
760,Slowbronite,"One of a variety of mysterious Mega Stones. Have Slowbro hold it, and this stone will enable it to Mega Evolve during battle."
761,Steelixite,"One of a variety of mysterious Mega Stones. Have Steelix hold it, and this stone will enable it to Mega Evolve during battle."
762,Pidgeotite,"One of a variety of mysterious Mega Stones. Have Pidgeot hold it, and this stone will enable it to Mega Evolve during battle."
763,Glalitite,"One of a variety of mysterious Mega Stones. Have Glalie hold it, and this stone will enable it to Mega Evolve during battle."
764,Diancite,"One of a variety of mysterious Mega Stones. Have Diancie hold it, and this stone will enable it to Mega Evolve during battle."
765,Prison Bottle,"A bottle believed to have been used to seal away the power of a certain Pokémon long, long ago."
766,Mega Cuff,This bracelet contains an untold power that somehow enables Pokémon carrying a Mega Stone to Mega Evolve in battle.
767,Cameruptite,"One of a variety of mysterious Mega Stones. Have Camerupt hold it, and this stone will enable it to Mega Evolve during battle."
768,Lopunnite,"One of a variety of mysterious Mega Stones. Have Lopunny hold it, and this stone will enable it to Mega Evolve during battle."
769,Salamencite,"One of a variety of mysterious Mega Stones. Have Salamence hold it, and this stone will enable it to Mega Evolve during battle."
770,Beedrillite,"One of a variety of mysterious Mega Stones. Have Beedrill hold it, and this stone will enable it to Mega Evolve during battle."
771,Meteorite,A Meteorite that you got at Mt. Chimney. It continues to give off a faint glow and is slightly warm to the touch.
772,Meteorite,"A Meteorite that you got at Mt. Chimney. Some sort of pattern has risen to the surface, and it’s shining with seven colors of light."
773,Key Stone,A stone filled with an unexplained power. It makes Pokémon that battle with a Mega Stone Mega Evolve.
774,Meteorite Shard,One of the fragments of a Meteorite from Granite Cave. It’s faintly warm to the touch.
775,Eon Flute,A flute that can be used to summon Latios or Latias no matter where you are.
776,Normalium Z,This is a crystallized form of Z-Power. It upgrades Normal-type moves to Z-Moves.
777,Firium Z,This is a crystallized form of Z-Power. It upgrades Fire-type moves to Z-Moves.
778,Waterium Z,This is a crystallized form of Z-Power. It upgrades Water-type moves to Z-Moves.
779,Electrium Z,This is a crystallized form of Z-Power. It upgrades Electric-type moves to Z-Moves.
780,Grassium Z,This is a crystallized form of Z-Power. It upgrades Grass-type moves to Z-Moves.
781,Icium Z,This is a crystallized form of Z-Power. It upgrades Ice-type moves to Z-Moves.
782,Fightinium Z,This is a crystallized form of Z-Power. It upgrades Fighting-type moves to Z-Moves.
783,Poisonium Z,This is a crystallized form of Z-Power. It upgrades Poison-type moves to Z-Moves.
784,Groundium Z,This is a crystallized form of Z-Power. It upgrades Ground-type moves to Z-Moves.
785,Flyinium Z,This is a crystallized form of Z-Power. It upgrades Flying-type moves to Z-Moves.
786,Psychium Z,This is a crystallized form of Z-Power. It upgrades Psychic-type moves to Z-Moves.
787,Buginium Z,This is a crystallized form of Z-Power. It upgrades Bug-type moves to Z-Moves.
788,Rockium Z,This is a crystallized form of Z-Power. It upgrades Rock-type moves to Z-Moves.
789,Ghostium Z,This is a crystallized form of Z-Power. It upgrades Ghost-type moves to Z-Moves.
790,Dragonium Z,This is a crystallized form of Z-Power. It upgrades Dragon-type moves to Z-Moves.
791,Darkinium Z,This is a crystallized form of Z-Power. It upgrades Dark-type moves to Z-Moves.
792,Steelium Z,This is a crystallized form of Z-Power. It upgrades Steel-type moves to Z-Moves.
793,Fairium Z,This is a crystallized form of Z-Power. It upgrades Fairy-type moves to Z-Moves.
794,Pikanium Z,This is a crystallized form of Z-Power. It upgrades Pikachu’s Volt Tackle to a Z-Move.
795,Bottle Cap,A beautiful bottle cap that gives off a silver gleam. Some people are happy to receive one.
796,Gold Bottle Cap,A beautiful bottle cap that gives off a golden gleam. Some people are happy to receive one.
797,Z-Ring,A mysterious ring that enables Pokémon to use Z-Power. It requires both the willpower and the physical power of the Trainer wearing it.
798,Decidium Z,This is a crystallized form of Z-Power. It upgrades Decidueye’s Spirit Shackle to a Z-Move.
799,Incinium Z,This is a crystallized form of Z-Power. It upgrades Incineroar’s Darkest Lariat to a Z-Move.
800,Primarium Z,This is a crystallized form of Z-Power. It upgrades Primarina’s Sparkling Aria to a Z-Move.
801,Tapunium Z,This is a crystallized form of Z-Power. It upgrades the tapu’s Nature’s Madness to a Z-Move.
802,Marshadium Z,This is a crystallized form of Z-Power. It upgrades Marshadow’s Spectral Thief to a Z-Move.
803,Aloraichium Z,This is a crystallized form of Z-Power. It upgrades Alolan Raichu’s Thunderbolt to a Z-Move.
804,Snorlium Z,This is a crystallized form of Z-Power. It upgrades Snorlax’s Giga Impact to a Z-Move.
805,Eevium Z,This is a crystallized form of Z-Power. It upgrades Eevee’s Last Resort to a Z-Move.
806,Mewnium Z,This is a crystallized form of Z-Power. It upgrades Mew’s Psychic to a Z-Move.
807,Normalium Z,It converts Z-Power into crystals that upgrade Normal-type moves to Normal-type Z-Moves.
808,Firium Z,It converts Z-Power into crystals that upgrade Fire-type moves to Fire-type Z-Moves.
809,Waterium Z,It converts Z-Power into crystals that upgrade Water-type moves to Water-type Z-Moves.
810,Electrium Z,It converts Z-Power into crystals that upgrade Electric-type moves to Electric-type Z-Moves.
811,Grassium Z,It converts Z-Power into crystals that upgrade Grass-type moves to Grass-type Z-Moves.
812,Icium Z,It converts Z-Power into crystals that upgrade Ice-type moves to Ice-type Z-Moves.
813,Fightinium Z,It converts Z-Power into crystals that upgrade Fighting-type moves to Fighting-type Z-Moves.
814,Poisonium Z,It converts Z-Power into crystals that upgrade Poison-type moves to Poison-type Z-Moves.
815,Groundium Z,It converts Z-Power into crystals that upgrade Ground-type moves to Ground-type Z-Moves.
816,Flyinium Z,It converts Z-Power into crystals that upgrade Flying-type moves to Flying-type Z-Moves.
817,Psychium Z,It converts Z-Power into crystals that upgrade Psychic-type moves to Psychic-type Z-Moves.
818,Buginium Z,It converts Z-Power into crystals that upgrade Bug-type moves to Bug-type Z-Moves.
819,Rockium Z,It converts Z-Power into crystals that upgrade Rock-type moves to Rock-type Z-Moves.
820,Ghostium Z,It converts Z-Power into crystals that upgrade Ghost-type moves to Ghost-type Z-Moves.
821,Dragonium Z,It converts Z-Power into crystals that upgrade Dragon-type moves to Dragon-type Z-Moves.
822,Darkinium Z,It converts Z-Power into crystals that upgrade Dark-type moves to Dark-type Z-Moves.
823,Steelium Z,It converts Z-Power into crystals that upgrade Steel-type moves to Steel-type Z-Moves.
824,Fairium Z,It converts Z-Power into crystals that upgrade Fairy-type moves to Fairy-type Z-Moves.
825,Pikanium Z,It converts Z-Power into crystals that upgrade Pikachu’s Volt Tackle to an exclusive Z-Move.
826,Decidium Z,It converts Z-Power into crystals that upgrade Decidueye’s Spirit Shackle to an exclusive Z-Move.
827,Incinium Z,It converts Z-Power into crystals that upgrade Incineroar’s Darkest Lariat to an exclusive Z-Move.
828,Primarium Z,It converts Z-Power into crystals that upgrade Primarina’s Sparkling Aria to an exclusive Z-Move.
829,Tapunium Z,It converts Z-Power into crystals that upgrade the tapu’s Nature’s Madness to an exclusive Z-Move.
830,Marshadium Z,It converts Z-Power into crystals that upgrade Marshadow’s Spectral Thief to an exclusive Z-Move.
831,Aloraichium Z,It converts Z-Power into crystals that upgrade Alolan Raichu’s Thunderbolt to an exclusive Z-Move.
832,Snorlium Z,It converts Z-Power into crystals that upgrade Snorlax’s Giga Impact to an exclusive Z-Move.
833,Eevium Z,It converts Z-Power into crystals that upgrade Eevee’s Last Resort to an exclusive Z-Move.
834,Mewnium Z,It converts Z-Power into crystals that upgrade Mew’s Psychic to an exclusive Z-Move.
835,Pikashunium Z,It converts Z-Power into crystals that upgrade a Thunderbolt by Pikachu in a cap to an exclusive Z-Move.
836,Pikashunium Z,This is a crystallized form of Z-Power. It upgrades a Thunderbolt by Pikachu in a cap to a Z-Move.
837,???,- - -
838,???,- - -
839,???,- - -
840,???,- - -
841,Forage Bag,A bag to carry ingredients gathered during Mallow’s trial in the jungle.
842,Fishing Rod,A Fishing Rod made by Captain Lana. Cast a line over piles of underwater rocks to fish for wild aquatic Pokémon.
843,Professor’s Mask,The mask that belongs to The Masked Royal. This pro wrestler apparently sews his mask on a machine himself.
844,Festival Ticket,A ticket that allows you to host a mission in Festival Plaza.
845,Sparkling Stone,A stone entrusted by a Pokémon that has been venerated as a guardian deity in the Alola region. There is said to be some secret in how it sparkles.
846,Adrenaline Orb,"Using it makes wild Pokémon more likely to call for help. If held by a Pokémon, it boosts Speed when intimidated. It can be used only once."
847,Zygarde Cube,An item to store Zygarde Cores and Cells. You can also use it to teach Zygarde moves.
848,???,- - -
849,Ice Stone,A peculiar stone that can make certain species of Pokémon evolve. It has an unmistakable snowflake pattern.
850,Ride Pager,"By entering certain numbers on this pager, you can summon Ride Pokémon in an instant."
851,Beast Ball,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
852,Big Malasada,The Alola region’s local specialty—fried bread. It can be used once to heal all the status conditions of a Pokémon.
853,Red Nectar,A flower nectar obtained at Ula’ula Meadow. It changes the form of certain species of Pokémon.
854,Yellow Nectar,A flower nectar obtained at Melemele Meadow. It changes the form of certain species of Pokémon.
855,Pink Nectar,The flower nectar obtained at the flowering shrubs on Royal Avenue. It changes the form of certain species of Pokémon.
856,Purple Nectar,A flower nectar obtained at Poni Meadow. It changes the form of certain species of Pokémon.
857,Sun Flute,It is said that the tones it produces were offered up as an expression of gratitude to the Legendary Pokémon of the sun.
858,Moon Flute,It is said that the tones it produces were offered up as an expression of gratitude to the Legendary Pokémon of the moon.
859,???,- - -
860,Enigmatic Card,A mysterious card. Written on it is a request for you to go to a guest room in an Akala motel on Route 8.
861,???,- - -
862,???,- - -
863,???,- - -
864,???,- - -
865,???,- - -
866,???,- - -
867,???,- - -
868,???,- - -
869,???,- - -
870,???,- - -
871,???,- - -
872,???,- - -
873,???,- - -
874,???,- - -
875,???,- - -
876,???,- - -
877,???,- - -
878,???,- - -
879,Terrain Extender,An item to be held by a Pokémon. It extends the duration of the terrain caused by the holder’s move or Ability.
880,Protective Pads,An item to be held by a Pokémon. These pads protect the holder from effects caused by making direct contact with the target.
881,Electric Seed,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
882,Psychic Seed,An item to be held by a Pokémon. It boosts Sp. Def on Psychic Terrain. It can only be used once.
883,Misty Seed,An item to be held by a Pokémon. It boosts Sp. Def on Misty Terrain. It can only be used once.
884,Grassy Seed,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
885,???,- - -
886,???,- - -
887,???,- - -
888,???,- - -
889,???,- - -
890,???,- - -
891,???,- - -
892,???,- - -
893,???,- - -
894,???,- - -
895,???,- - -
896,???,- - -
897,???,- - -
898,???,- - -
899,???,- - -
900,???,- - -
901,???,- - -
902,???,- - -
903,???,- - -
904,Fighting Memory,A memory disc that contains Fighting-type data. It changes the type of the holder if held by a certain species of Pokémon.
905,Flying Memory,A memory disc that contains Flying-type data. It changes the type of the holder if held by a certain species of Pokémon.
906,Poison Memory,A memory disc that contains Poison-type data. It changes the type of the holder if held by a certain species of Pokémon.
907,Ground Memory,A memory disc that contains Ground-type data. It changes the type of the holder if held by a certain species of Pokémon.
908,Rock Memory,A memory disc that contains Rock-type data. It changes the type of the holder if held by a certain species of Pokémon.
909,Bug Memory,A memory disc that contains Bug-type data. It changes the type of the holder if held by a certain species of Pokémon.
910,Ghost Memory,A memory disc that contains Ghost-type data. It changes the type of the holder if held by a certain species of Pokémon.
911,Steel Memory,A memory disc that contains Steel-type data. It changes the type of the holder if held by a certain species of Pokémon.
912,Fire Memory,A memory disc that contains Fire-type data. It changes the type of the holder if held by a certain species of Pokémon.
913,Water Memory,A memory disc that contains Water-type data. It changes the type of the holder if held by a certain species of Pokémon.
914,Grass Memory,A memory disc that contains Grass-type data. It changes the type of the holder if held by a certain species of Pokémon.
915,Electric Memory,A memory disc that contains Electric-type data. It changes the type of the holder if held by a certain species of Pokémon.
916,Psychic Memory,A memory disc that contains Psychic-type data. It changes the type of the holder if held by a certain species of Pokémon.
917,Ice Memory,A memory disc that contains Ice-type data. It changes the type of the holder if held by a certain species of Pokémon.
918,Dragon Memory,A memory disc that contains Dragon-type data. It changes the type of the holder if held by a certain species of Pokémon.
919,Dark Memory,A memory disc that contains Dark-type data. It changes the type of the holder if held by a certain species of Pokémon.
920,Fairy Memory,A memory disc that contains Fairy-type data. It changes the type of the holder if held by a certain species of Pokémon.
