year_film,year_award,ceremony,category,nominee,film,win
1996,1997,54,Best Television Limited Series or Motion Picture Made for Television,Gotti,,False
1996,1997,54,Best Television Limited Series or Motion Picture Made for Television,Hidden in America,,False
1996,1997,54,Best Television Limited Series or Motion Picture Made for Television,If These Walls Could Talk,,False
1996,1997,54,Best Television Limited Series or Motion Picture Made for Television,Losing Chase,,False
1996,1997,54,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Losing Chase,True
1996,1997,54,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ashley Judd,Norma Jean and Marilyn,False
1996,1997,54,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Demi Moore,If These Walls Could Talk,False
1996,1997,54,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Isabella Rossellini,Crime of the Century,False
1996,1997,54,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Mira Sorvino,Norma Jean and Marilyn,False
1996,1997,54,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Alan Rickman,Rasputin,True
1996,1997,54,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Beau Bridges,Losing Chase,False
1996,1997,54,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Stephen Rea,Crime of the Century,False
1996,1997,54,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,James Woods,"Summer of Ben Tyler, The",False
1996,1997,54,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Armand Assante,Gotti,False
1996,1997,54,Best Performance by an Actress In A Television Series - Drama,Gillian Anderson,"X-Files, The",True
1996,1997,54,Best Performance by an Actress In A Television Series - Drama,Christine Lahti,Chicago Hope,False
1996,1997,54,Best Performance by an Actress In A Television Series - Drama,Heather Locklear,Melrose Place,False
1996,1997,54,Best Performance by an Actress In A Television Series - Drama,Jane Seymour,"Dr. Quinn, Medicine Woman",False
1996,1997,54,Best Performance by an Actress In A Television Series - Drama,Sherry Stringfield,ER,False
1996,1997,54,Best Performance by an Actor In A Television Series - Drama,David Duchovny,"X-Files, The",True
1996,1997,54,Best Performance by an Actor In A Television Series - Drama,George Clooney,ER,False
1996,1997,54,Best Performance by an Actor In A Television Series - Drama,Anthony Edwards,ER,False
1996,1997,54,Best Performance by an Actor In A Television Series - Drama,Lance Henriksen,Millennium,False
1996,1997,54,Best Performance by an Actor In A Television Series - Drama,Jimmy Smits,NYPD Blue,False
1996,1997,54,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You,True
1996,1997,54,Best Performance by an Actress in a Television Series - Musical or Comedy,Brett Butler,Grace Under Fire,False
1996,1997,54,Best Performance by an Actress in a Television Series - Musical or Comedy,Fran Drescher,"Nanny, The",False
1996,1997,54,Best Performance by an Actress in a Television Series - Musical or Comedy,Cybill Shepherd,Cybill,False
1996,1997,54,Best Performance by an Actress in a Television Series - Musical or Comedy,Brooke Shields,Suddenly Susan,False
1996,1997,54,Best Performance by an Actress in a Television Series - Musical or Comedy,Tracey Ullman,Tracey Takes On,False
1996,1997,54,Best Performance by an Actor in a Television Series - Musical or Comedy,John Lithgow,3rd Rock From The Sun,True
1996,1997,54,Best Performance by an Actor in a Television Series - Musical or Comedy,Tim Allen,Home Improvement,False
1996,1997,54,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Spin City,False
1996,1997,54,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier,False
1996,1997,54,Best Performance by an Actor in a Television Series - Musical or Comedy,Paul Reiser,Mad About You,False
1996,1997,54,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kathy Bates,"Late Shift, The",True
1996,1997,54,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Christine Baranski,Cybill,False
1996,1997,54,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cher,If These Walls Could Talk,False
1996,1997,54,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kristen Johnston,3rd Rock From The Sun,False
1996,1997,54,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Greta Scacchi,Rasputin,False
1996,1997,54,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Ian McKellen,Rasputin,True
1996,1997,54,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Hyde-Pierce,Frasier,False
1996,1997,54,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Paymer,Crime of the Century,False
1996,1997,54,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anthony Quinn,Gotti,False
1996,1997,54,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Noah Wyle,ER,False
1996,1997,54,Cecil B. deMille Award,Dustin Hoffman,,False
1997,1998,55,Best Motion Picture - Drama,Titanic,,True
1997,1998,55,Best Motion Picture - Drama,"Boxer, The",,False
1997,1998,55,Best Motion Picture - Drama,Good Will Hunting,,False
1997,1998,55,Best Motion Picture - Drama,L.A. Confidential,,False
1997,1998,55,Best Motion Picture - Drama,Amistad,,False
1997,1998,55,Best Motion Picture - Musical or Comedy,As Good as It Gets,,True
1997,1998,55,Best Motion Picture - Musical or Comedy,"Full Monty, The",,False
1997,1998,55,Best Motion Picture - Musical or Comedy,Men in Black,,False
1997,1998,55,Best Motion Picture - Musical or Comedy,My Best Friend's Wedding,,False
1997,1998,55,Best Motion Picture - Musical or Comedy,Wag the Dog,,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Mrs. Brown,True
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Helena Bonham Carter,"Wings of the Dove, The",False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Jodie Foster,Contact,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Jessica Lange,A Thousand Acres,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Titanic,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Peter Fonda,Ulee's Gold,True
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Matt Damon,Good Will Hunting,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,"Boxer, The",False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Titanic,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Drama,Djimon Hounsou,Amistad,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Hunt,As Good as It Gets,True
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Joey Lauren Adams,Chasing Amy,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pam Grier,Jackie Brown,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lopez,Selena,False
1997,1998,55,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,My Best Friend's Wedding,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Nicholson,As Good as It Gets,True
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Kline,In & Out,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jim Carrey,Liar Liar,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dustin Hoffman,Wag the Dog,False
1997,1998,55,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Samuel L. Jackson,Jackie Brown,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kim Basinger,L.A. Confidential,True
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Joan Cusack,In & Out,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julianne Moore,Boogie Nights,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Gloria Stuart,Titanic,False
1997,1998,55,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sigourney Weaver,"Ice Storm, The",False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Burt Reynolds,Boogie Nights,True
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robin Williams,Good Will Hunting,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Rupert Everett,My Best Friend's Wedding,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Hopkins,Amistad,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Greg Kinnear,As Good as It Gets,False
1997,1998,55,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jon Voight,John Grisham's The Rainmaker,False
1997,1998,55,Best Director - Motion Picture,James Cameron,Titanic,True
1997,1998,55,Best Director - Motion Picture,Steven Spielberg,Amistad,False
1997,1998,55,Best Director - Motion Picture,James L. Brooks,As Good as It Gets,False
1997,1998,55,Best Director - Motion Picture,Curtis Hanson,L.A. Confidential,False
1997,1998,55,Best Director - Motion Picture,Jim Sheridan,"Boxer, The",False
1997,1998,55,Best Screenplay - Motion Picture,"Ben Affleck, Matt Damon",Good Will Hunting,True
1997,1998,55,Best Screenplay - Motion Picture,Mark Andrus,As Good as It Gets,False
1997,1998,55,Best Screenplay - Motion Picture,Curtis Hanson,L.A. Confidential,False
1997,1998,55,Best Screenplay - Motion Picture,James Cameron,Titanic,False
1997,1998,55,Best Screenplay - Motion Picture,Hilary Henkin,Wag the Dog,False
1997,1998,55,Best Motion Picture - Foreign Language,Ma Vie en Rose,"Belgium, Alain Berliner",True
1997,1998,55,Best Motion Picture - Foreign Language,Artemisia,"France, Agnès Merlet",False
1997,1998,55,Best Motion Picture - Foreign Language,Lea,"Germany, Ivan Fíla",False
1997,1998,55,Best Motion Picture - Foreign Language,"Thief, The","Russia, Pavel Chukhray",False
1997,1998,55,Best Motion Picture - Foreign Language,The Best Man,"Italy, Pupi Avati",False
1997,1998,55,Best Original Score - Motion Picture,James Horner,Titanic,True
1997,1998,55,Best Original Score - Motion Picture,Michael Nyman,Gattaca,False
1997,1998,55,Best Original Score - Motion Picture,Philip Glass,Kundun,False
1997,1998,55,Best Original Score - Motion Picture,Jerry Goldsmith,L.A. Confidential,False
1997,1998,55,Best Original Score - Motion Picture,John Williams,Seven Years in Tibet,False
1997,1998,55,Best Original Song - Motion Picture,"""My Heart Will Go On"", James Horner, Will Jennings",Titanic,True
1997,1998,55,Best Original Song - Motion Picture,"Go the Distance, Alan Menken, David Zippel",Hercules,False
1997,1998,55,Best Original Song - Motion Picture,"""Journey to the Past"", Stephen Flaherty, Lynn Ahrens",Anastasia,False
1997,1998,55,Best Original Song - Motion Picture,"""Once Upon a December"", Stephen Flaherty, Lynn Ahrens",Anastasia,False
1997,1998,55,Best Original Song - Motion Picture,"""Tomorrow Never Dies"", Sheryl Crow, Mitchell Froom",Tomorrow Never Dies,False
1997,1998,55,Best Television Series - Drama,"X-Files, The",,True
1997,1998,55,Best Television Series - Drama,ER,,False
1997,1998,55,Best Television Series - Drama,Law & Order,,False
1997,1998,55,Best Television Series - Drama,NYPD Blue,,False
1997,1998,55,Best Television Series - Drama,Chicago Hope,,False
1997,1998,55,Best Television Series - Musical or Comedy,Ally McBeal,,True
1997,1998,55,Best Television Series - Musical or Comedy,Frasier,,False
1997,1998,55,Best Television Series - Musical or Comedy,Friends,,False
1997,1998,55,Best Television Series - Musical or Comedy,Seinfeld,,False
1997,1998,55,Best Television Series - Musical or Comedy,Spin City,,False
1997,1998,55,Best Television Series - Musical or Comedy,3rd Rock From The Sun,,False
1997,1998,55,Best Television Limited Series or Motion Picture Made for Television,George Wallace,,True
1997,1998,55,Best Television Limited Series or Motion Picture Made for Television,Don King: Only In America,,False
1997,1998,55,Best Television Limited Series or Motion Picture Made for Television,Miss Evers' Boys,,False
1997,1998,55,Best Television Limited Series or Motion Picture Made for Television,The Odyssey,,False
1997,1998,55,Best Television Limited Series or Motion Picture Made for Television,12 Angry Men (TV-1997),,False
1997,1998,55,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Alfre Woodard,Miss Evers' Boys,True
1997,1998,55,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ellen Barkin,Before Women Had Wings,False
1997,1998,55,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jena Malone,Hope,False
1997,1998,55,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Vanessa Redgrave,Bella Mafia,False
1997,1998,55,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Meryl Streep,First Do No Harm,False
1997,1998,55,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ving Rhames,Don King: Only In America,True
1997,1998,55,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Armand Assante,The Odyssey,False
1997,1998,55,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Jack Lemmon,12 Angry Men (TV-1997),False
1997,1998,55,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matthew Modine,What the Deaf Man Heard,False
1997,1998,55,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Gary Sinise,George Wallace,False
1997,1998,55,Best Performance by an Actress In A Television Series - Drama,Christine Lahti,Chicago Hope,True
1997,1998,55,Best Performance by an Actress In A Television Series - Drama,Gillian Anderson,"X-Files, The",False
1997,1998,55,Best Performance by an Actress In A Television Series - Drama,Kim Delaney,NYPD Blue,False
1997,1998,55,Best Performance by an Actress In A Television Series - Drama,Roma Downey,Touched By an Angel,False
1997,1998,55,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,ER,False
1997,1998,55,Best Performance by an Actor In A Television Series - Drama,Anthony Edwards,ER,True
1997,1998,55,Best Performance by an Actor In A Television Series - Drama,George Clooney,ER,False
1997,1998,55,Best Performance by an Actor In A Television Series - Drama,Kevin Anderson,Nothing Sacred,False
1997,1998,55,Best Performance by an Actor In A Television Series - Drama,David Duchovny,"X-Files, The",False
1997,1998,55,Best Performance by an Actor In A Television Series - Drama,Lance Henriksen,Millennium,False
1997,1998,55,Best Performance by an Actress in a Television Series - Musical or Comedy,Calista Flockhart,Ally McBeal,True
1997,1998,55,Best Performance by an Actress in a Television Series - Musical or Comedy,Kirstie Alley,Veronica's Closet,False
1997,1998,55,Best Performance by an Actress in a Television Series - Musical or Comedy,Ellen DeGeneres,Ellen,False
1997,1998,55,Best Performance by an Actress in a Television Series - Musical or Comedy,Jenna Elfman,Dharma & Greg,False
1997,1998,55,Best Performance by an Actress in a Television Series - Musical or Comedy,Helen Hunt,Mad About You,False
1997,1998,55,Best Performance by an Actress in a Television Series - Musical or Comedy,Brooke Shields,Suddenly Susan,False
1997,1998,55,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Spin City,True
1997,1998,55,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier,False
1997,1998,55,Best Performance by an Actor in a Television Series - Musical or Comedy,John Lithgow,3rd Rock From The Sun,False
1997,1998,55,Best Performance by an Actor in a Television Series - Musical or Comedy,Paul Reiser,Mad About You,False
1997,1998,55,Best Performance by an Actor in a Television Series - Musical or Comedy,Jerry Seinfeld,Seinfeld,False
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Angelina Jolie,George Wallace,True
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joely Fisher,Ellen,False
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Della Reese,Touched By an Angel,False
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Gloria Reuben,ER,False
1997,1998,55,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Mare Winningham,George Wallace,False
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",George C. Scott,12 Angry Men (TV-1997),True
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jason Alexander,Seinfeld,False
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Caine,Mandela and De Klerk,False
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Hyde-Pierce,Frasier,False
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Eriq La Salle,ER,False
1997,1998,55,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Noah Wyle,ER,False
1997,1998,55,Cecil B. deMille Award,Shirley MacLaine,,False
1998,1999,56,Best Motion Picture - Drama,Saving Private Ryan,,True
1998,1999,56,Best Motion Picture - Drama,Gods and Monsters,,False
1998,1999,56,Best Motion Picture - Drama,"Horse Whisperer, The",,False
1998,1999,56,Best Motion Picture - Drama,The Truman Show,,False
1998,1999,56,Best Motion Picture - Drama,Elizabeth,,False
1998,1999,56,Best Motion Picture - Musical or Comedy,Shakespeare in Love,,True
1998,1999,56,Best Motion Picture - Musical or Comedy,Bulworth,,False
1998,1999,56,Best Motion Picture - Musical or Comedy,"Mask of Zorro, The",,False
1998,1999,56,Best Motion Picture - Musical or Comedy,Patch Adams,,False
1998,1999,56,Best Motion Picture - Musical or Comedy,Still Crazy,,False
1998,1999,56,Best Motion Picture - Musical or Comedy,There's Something About Mary,,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Elizabeth,True
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Fernanda Montenegro,Central Station,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Susan Sarandon,Stepmom,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,One True Thing,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Drama,Emily Watson,Hilary and Jackie,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Jim Carrey,The Truman Show,True
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Stephen Fry,Wilde,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Saving Private Ryan,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Ian McKellen,Gods and Monsters,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Drama,Nick Nolte,Affliction,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Gwyneth Paltrow,Shakespeare in Love,True
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meg Ryan,You've Got Mail,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Cameron Diaz,There's Something About Mary,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jane Horrocks,Little Voice,False
1998,1999,56,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Christina Ricci,"Opposite of Sex, The",False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Caine,Little Voice,True
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Antonio Banderas,"Mask of Zorro, The",False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Warren Beatty,Bulworth,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John Travolta,Primary Colors,False
1998,1999,56,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robin Williams,Patch Adams,False
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lynn Redgrave,Gods and Monsters,True
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kathy Bates,Primary Colors,False
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Brenda Blethyn,Little Voice,False
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Judi Dench,Shakespeare in Love,False
1998,1999,56,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sharon Stone,The Mighty,False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ed Harris,The Truman Show,True
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall,"Civil Action, A",False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bill Murray,Rushmore,False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Geoffrey Rush,Shakespeare in Love,False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Donald Sutherland,Without Limits,False
1998,1999,56,Best Performance by an Actor in a Supporting Role in any Motion Picture,Billy Bob Thornton,"Simple Plan, a",False
1998,1999,56,Best Director - Motion Picture,Steven Spielberg,Saving Private Ryan,True
1998,1999,56,Best Director - Motion Picture,Shekhar Kapur,Elizabeth,False
1998,1999,56,Best Director - Motion Picture,John Madden,Shakespeare in Love,False
1998,1999,56,Best Director - Motion Picture,Robert Redford,"Horse Whisperer, The",False
1998,1999,56,Best Director - Motion Picture,Peter Weir,The Truman Show,False
1998,1999,56,Best Screenplay - Motion Picture,Marc Norman,Shakespeare in Love,True
1998,1999,56,Best Screenplay - Motion Picture,Warren Beatty,Bulworth,False
1998,1999,56,Best Screenplay - Motion Picture,Todd Solondz,Happiness,False
1998,1999,56,Best Screenplay - Motion Picture,Robert Rodat,Saving Private Ryan,False
1998,1999,56,Best Screenplay - Motion Picture,Andrew M. Niccol,The Truman Show,False
1998,1999,56,Best Motion Picture - Foreign Language,Central Station,"Brazil, Walter Salles",True
1998,1999,56,Best Motion Picture - Foreign Language,Men With Guns,"United States, John Sayles",False
1998,1999,56,Best Motion Picture - Foreign Language,The Polish Bride,"Netherlands, Karim Traïdia",False
1998,1999,56,Best Motion Picture - Foreign Language,Tango,"Argentina, Carlos Saura",False
1998,1999,56,Best Motion Picture - Foreign Language,The Celebration,"Denmark, Thomas Vinterberg",False
1998,1999,56,Best Original Score - Motion Picture,"Burkhard Dallwitz, Philip Glass",The Truman Show,True
1998,1999,56,Best Original Score - Motion Picture,Jerry Goldsmith,Mulan,False
1998,1999,56,Best Original Score - Motion Picture,John Williams,Saving Private Ryan,False
1998,1999,56,Best Original Score - Motion Picture,Randy Newman,A Bug's Life,False
1998,1999,56,Best Original Score - Motion Picture,Hans Zimmer,The Prince of Egypt,False
1998,1999,56,Best Original Song - Motion Picture,"""The Prayer"", David Foster, Carole Bayer Sager, Tony Renis, Alberto Testa",Quest For Camelot: The Magic Sword,True
1998,1999,56,Best Original Song - Motion Picture,"""The Mighty"", Sting, Trevor Jones",The Mighty,False
1998,1999,56,Best Original Song - Motion Picture,"""When You Believe"", Stephen Schwartz",The Prince of Egypt,False
1998,1999,56,Best Original Song - Motion Picture,"""Uninvited"", Alanis Morissette",City of Angels,False
1998,1999,56,Best Original Song - Motion Picture,"Reflection, Matthew Wilder, David Zippel",Mulan,False
1998,1999,56,Best Original Song - Motion Picture,"""The Flame Still Burns"", Mick Jones, Marti Frederiksen, Chris Difford",Still Crazy,False
1998,1999,56,Best Television Series - Drama,"Practice, The",,True
1998,1999,56,Best Television Series - Drama,Law & Order,,False
1998,1999,56,Best Television Series - Drama,"X-Files, The",,False
1998,1999,56,Best Television Series - Drama,ER,,False
1998,1999,56,Best Television Series - Drama,Felicity,,False
1998,1999,56,Best Television Series - Musical or Comedy,Ally McBeal,,True
1998,1999,56,Best Television Series - Musical or Comedy,Dharma & Greg,,False
1998,1999,56,Best Television Series - Musical or Comedy,Frasier,,False
1998,1999,56,Best Television Series - Musical or Comedy,Just Shoot Me!,,False
1998,1999,56,Best Television Series - Musical or Comedy,Spin City,,False
1998,1999,56,Best Television Limited Series or Motion Picture Made for Television,From the Earth to the Moon,,True
1998,1999,56,Best Television Limited Series or Motion Picture Made for Television,The Temptations,,False
1998,1999,56,Best Television Limited Series or Motion Picture Made for Television,The Baby Dance,,False
1998,1999,56,Best Television Limited Series or Motion Picture Made for Television,Gia,,False
1998,1999,56,Best Television Limited Series or Motion Picture Made for Television,Merlin,,False
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Angelina Jolie,Gia,True
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Ann-Margret,Life of the Party: The Pamela Harriman Story,False
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Stockard Channing,The Baby Dance,False
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Dern,The Baby Dance,False
1998,1999,56,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Miranda Richardson,Merlin,False
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Stanley Tucci,Winchell,True
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Peter Fonda,"Tempest, The",False
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Sam Neill,Merlin,False
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Bill Paxton,"Bright Shining Lie, a",False
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Christopher Reeve,Rear Window,False
1998,1999,56,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Patrick Stewart,Moby Dick,False
1998,1999,56,Best Performance by an Actress In A Television Series - Drama,Keri Russell,Felicity,True
1998,1999,56,Best Performance by an Actress In A Television Series - Drama,Gillian Anderson,"X-Files, The",False
1998,1999,56,Best Performance by an Actress In A Television Series - Drama,Kim Delaney,NYPD Blue,False
1998,1999,56,Best Performance by an Actress In A Television Series - Drama,Roma Downey,Touched By an Angel,False
1998,1999,56,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,ER,False
1998,1999,56,Best Performance by an Actor In A Television Series - Drama,Dylan McDermott,"Practice, The",True
1998,1999,56,Best Performance by an Actor In A Television Series - Drama,Jimmy Smits,NYPD Blue,False
1998,1999,56,Best Performance by an Actor In A Television Series - Drama,David Duchovny,"X-Files, The",False
1998,1999,56,Best Performance by an Actor In A Television Series - Drama,Anthony Edwards,ER,False
1998,1999,56,Best Performance by an Actor In A Television Series - Drama,Lance Henriksen,Millennium,False
1998,1999,56,Best Performance by an Actress in a Television Series - Musical or Comedy,Jenna Elfman,Dharma & Greg,True
1998,1999,56,Best Performance by an Actress in a Television Series - Musical or Comedy,Christina Applegate,Jesse,False
1998,1999,56,Best Performance by an Actress in a Television Series - Musical or Comedy,Calista Flockhart,Ally McBeal,False
1998,1999,56,Best Performance by an Actress in a Television Series - Musical or Comedy,Sarah Jessica Parker,Sex and The City,False
1998,1999,56,Best Performance by an Actress in a Television Series - Musical or Comedy,Laura San Giacomo,Just Shoot Me!,False
1998,1999,56,Best Performance by an Actor in a Television Series - Musical or Comedy,Michael J. Fox,Spin City,True
1998,1999,56,Best Performance by an Actor in a Television Series - Musical or Comedy,Kelsey Grammer,Frasier,False
1998,1999,56,Best Performance by an Actor in a Television Series - Musical or Comedy,John Lithgow,3rd Rock From The Sun,False
1998,1999,56,Best Performance by an Actor in a Television Series - Musical or Comedy,George Segal,Just Shoot Me!,False
1998,1999,56,Best Performance by an Actor in a Television Series - Musical or Comedy,Thomas Gibson,Dharma & Greg,False
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Faye Dunaway,Gia,True
1998,1999,56,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Camryn Manheim,"Practice, The",True
