Name,Games Played,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,EFF,AST/TOV,STL/TOV,Age,Birth_Place,Birthdate,Collage,Experience,Height,Pos,Team,Weight,BMI
Kevin Love,75,2532,1228,413,952,43.4,144,392,36.7,258,321,80.4,142,589,731,168,51,39,122,140,1493,1.38,0.42,27,us,"September 7, 1988","University of California, Los Angeles",6,205,PF,CLE,112.95,26.87685901
Kevin Martin,39,1302,779,267,625,42.7,75,191,39.3,170,193,88.1,19,123,142,89,33,1,76,76,587,1.17,0.43,32,us,"February 1, 1983",Western Carolina University,10,197.5,SG,MIN,89.55,22.95785932
Kevin Seraphin,79,1235,520,231,450,51.3,0,2,0,58,82,70.7,87,201,288,59,10,59,98,197,595,0.6,0.1,26,gf,"December 7, 1989",,4,202.5,C,WAS,128.25,31.27572016
Khris Middleton,79,2378,1055,406,869,46.7,109,268,40.7,134,156,85.9,48,299,347,182,122,11,113,183,1119,1.61,1.08,24,us,"August 12, 1991",Texas A&M University,2,200,SF,MIL,105.3,26.325
Kirk Hinrich,66,1610,377,142,381,37.3,58,168,34.5,35,50,70,20,101,121,148,46,14,73,144,379,2.03,0.63,34,us,"January 2, 1981",University of Kansas,11,190,SG,CHI,85.5,23.68421053
KJ McDaniels,62,1352,487,172,434,39.6,43,150,28.7,100,133,75.2,65,135,200,72,44,70,105,126,473,0.69,0.42,22,us,"February 9, 1993",Clemson University,R,195,SG,PHI,92.25,24.26035503
Klay Thompson,77,2455,1668,602,1299,46.3,239,545,43.9,225,256,87.9,27,220,247,222,87,60,149,122,1407,1.49,0.58,25,us,"February 8, 1990",Washington State University,3,197.5,SG,GSW,96.75,24.80371735
Kobe Bryant,35,1207,782,266,713,37.3,54,184,29.3,196,241,81.3,26,173,199,197,47,7,128,65,612,1.54,0.37,37,us,"August 23, 1978",,18,195,SG,LAL,95.4,25.0887574
Kosta Koufos,81,1348,419,182,358,50.8,0,0,0,55,85,64.7,121,305,426,37,29,63,69,148,699,0.54,0.42,26,us,"February 24, 1989",Ohio State University,6,210,C,MEM,119.25,27.04081633
Kostas Papanikolaou,43,795,182,69,197,35,31,106,29.2,13,18,72.2,39,79,118,85,29,13,55,71,239,1.55,0.53,25,gr,"July 31, 1990",,R,200,SF,HOU,101.25,25.3125
Kris Humphries,64,1345,509,211,446,47.3,0,7,0,87,117,74.4,118,298,416,57,34,25,46,130,730,1.24,0.74,30,us,"February 6, 1985",University of Minnesota,10,202.5,PF,WAS,105.75,25.78875171
Kyle Anderson,33,358,74,31,89,34.8,3,11,27.3,9,14,64.3,5,67,72,28,15,7,10,28,123,2.8,1.5,22,us,"September 20, 1993","University of California, Los Angeles",R,202.5,SF,SAS,103.5,25.24005487
Kyle Korver,75,2418,911,292,600,48.7,221,449,49.2,106,118,89.8,15,289,304,196,52,42,107,140,1078,1.83,0.49,34,us,"March 17, 1981",Creighton University,11,197.5,SG,ATL,95.4,24.45761897
Kyle Lowry,70,2414,1244,430,1043,41.2,132,391,33.8,252,312,80.8,54,274,328,473,109,13,173,212,1321,2.73,0.63,29,us,"March 25, 1986",Villanova University,8,182.5,PG,TOR,88.2,26.48151623
Kyle O'Quinn,51,824,294,119,242,49.2,12,43,27.9,44,57,77.2,46,153,199,59,31,39,55,110,431,1.07,0.56,25,us,"March 26, 1990",Norfolk State University,2,205,PF,ORL,112.5,26.76977989
Kyle Singler,80,1744,480,172,446,38.6,96,241,39.8,40,52,76.9,33,161,194,85,47,21,55,153,486,1.55,0.86,27,us,"May 4, 1988",Duke University,2,200,SF,OKC,102.6,25.65
Kyrie Irving,75,2730,1628,578,1235,46.8,157,378,41.5,315,365,86.3,55,182,237,389,114,20,186,146,1495,2.09,0.61,23,au,"March 23, 1992",Duke University,3,187.5,PG,CLE,86.85,24.704
LaMarcus Aldridge,71,2512,1661,659,1415,46.6,37,105,35.2,306,362,84.5,177,549,726,124,48,68,122,125,1693,1.02,0.39,30,us,"July 19, 1985",University of Texas at Austin,8,207.5,PF,POR,117,27.17375526
Lance Stephenson,61,1573,501,207,550,37.6,18,105,17.1,69,110,62.7,39,238,277,240,38,8,128,134,552,1.88,0.3,25,us,"September 5, 1990",University of Cincinnati,4,192.5,SG,CHA,103.5,27.93051105
Lance Thomas,62,1491,443,182,442,41.2,7,22,31.8,72,99,72.7,65,130,195,69,37,8,74,101,391,0.93,0.5,,,,,,,,,,
Landry Fields,26,216,46,20,41,48.8,1,2,50,5,6,83.3,10,16,26,15,11,0,8,9,68,1.88,1.38,27,us,"June 27, 1988",Stanford University,4,197.5,SF,TOR,94.5,24.22688672
Langston Galloway,45,1457,533,204,511,39.9,62,176,35.2,63,78,80.8,37,153,190,150,52,12,61,129,554,2.46,0.85,24,us,"December 9, 1991",Saint Joseph's University,R,185,PG,NYK,90,26.29656684
Larry Drew II,12,219,46,20,58,34.5,4,26,15.4,2,3,66.7,1,14,15,45,6,0,25,13,48,1.8,0.24,25,us,"March 5, 1990","University of California, Los Angeles",R,185,PG,PHI,81,23.66691015
Larry Sanders,27,586,196,86,172,50,0,0,0,24,48,50,67,99,166,23,26,39,28,104,312,0.82,0.93,,,,,,,,,,
Lavoy Allen,63,1070,315,141,299,47.2,0,0,0,33,47,70.2,123,200,323,73,15,42,40,102,556,1.83,0.38,26,us,"February 4, 1989",Temple University,3,202.5,C,IND,117,28.53223594
Leandro Barbosa,66,982,467,183,386,47.4,43,112,38.4,58,74,78.4,23,68,91,99,41,8,44,87,443,2.25,0.93,33,br,"November 28, 1982",,11,187.5,SG,GSW,87.3,24.832
LeBron James,69,2493,1743,624,1279,48.8,120,339,35.4,375,528,71,51,365,416,511,109,49,272,135,1748,1.88,0.4,31,us,"December 30, 1984",,11,200,SF,CLE,112.5,28.125
Lester Hudson,5,56,18,6,14,42.9,3,6,50,3,4,75,1,7,8,5,6,1,3,4,26,1.67,2,31,us,"August 7, 1984",University of Tennessee at Martin,3,187.5,SG,LAC,85.5,24.32
Lorenzo Brown,29,549,122,52,122,42.6,6,28,21.4,12,19,63.2,14,56,70,90,28,6,30,49,209,3,0.93,25,us,"August 26, 1990",North Carolina State University,1,192.5,PG,MIN,85.05,22.95159386
Lou Amundson,53,937,259,109,255,42.7,0,1,0,41,87,47.1,94,174,268,70,22,52,62,126,417,1.13,0.36,33,us,"December 7, 1982","University of Nevada, Las Vegas",8,202.5,PF,NYK,99,24.14266118
Lou Williams,80,2016,1242,375,928,40.4,152,447,34,340,395,86.1,24,127,151,164,88,10,101,103,946,1.62,0.87,29,us,"October 27, 1986",,9,182.5,SG,TOR,78.75,23.64421092
Luc Mbah a Moute,67,1916,660,251,636,39.5,62,202,30.7,96,163,58.9,82,246,328,106,81,21,99,104,645,1.07,0.82,29,cm,"September 9, 1986","University of California, Los Angeles",6,200,PF,PHI,103.5,25.875
Lucas Nogueira,6,23,6,2,8,25,0,0,0,2,4,50,2,9,11,1,2,0,2,6,10,0.5,1,23,br,"July 26, 1992",,R,210,C,TOR,108.45,24.59183673
Luis Scola,81,1659,763,300,642,46.7,5,20,25,158,226,69.9,138,388,526,105,47,18,94,192,955,1.12,0.5,35,ar,"April 30, 1980",,7,202.5,PF,IND,108,26.33744856
Luke Babbitt,63,830,256,92,192,47.9,59,115,51.3,13,19,68.4,12,99,111,24,17,11,26,63,287,0.92,0.65,26,us,"June 20, 1989","University of Nevada, Reno",4,202.5,SF,NOH,101.25,24.69135802
Luke Ridnour,47,683,188,75,176,42.6,20,63,31.7,18,21,85.7,8,60,68,96,20,4,38,67,234,2.53,0.53,34,us,"February 13, 1981",University of Oregon,11,185,PG,ORL,78.75,23.00949598
Luol Deng,72,2421,1007,369,787,46.9,78,220,35.5,191,251,76.1,103,273,376,139,65,22,108,109,1023,1.29,0.6,30,ss,"April 16, 1985",Duke University,10,202.5,SF,MIA,99,24.14266118
Malcolm Thomas,17,194,45,18,40,45,0,7,0,9,13,69.2,16,40,56,7,3,1,13,17,73,0.54,0.23,25,us,"May 22, 1990","University of California, Los Angeles",2,192.5,SG,PHI,90,24.28740091
Manu Ginobili,70,1587,738,251,589,42.6,89,258,34.5,147,204,72.1,28,183,211,293,67,20,154,138,780,1.9,0.44,38,ar,"July 28, 1977",,12,195,SG,SAS,92.25,24.26035503
Marc Gasol,81,2687,1413,530,1072,49.4,3,17,17.6,350,440,79.5,115,515,630,307,70,131,176,208,1743,1.74,0.4,30,es,"January 29, 1985",,6,212.5,C,MEM,114.75,25.41176471
Marcin Gortat,82,2453,1001,439,775,56.6,0,3,0,123,175,70.3,180,537,717,97,49,110,100,191,1486,0.97,0.49,31,pl,"February 17, 1984",,7,207.5,C,WAS,108,25.0834664
Marco Belinelli,62,1388,568,199,470,42.3,86,230,37.4,84,99,84.8,26,131,157,94,31,3,61,85,506,1.54,0.51,29,it,"March 25, 1986",,7,192.5,SG,SAS,94.5,25.50177096
Marcus Morris,81,2045,845,331,763,43.4,112,313,35.8,71,113,62.8,73,312,385,133,63,16,73,188,895,1.82,0.86,26,us,"September 2, 1989",University of Kansas,3,202.5,PF,PHO,105.75,25.78875171
Marcus Smart,67,1808,523,175,477,36.7,91,272,33.5,82,127,64.6,61,161,222,208,99,18,90,176,633,2.31,1.1,21,us,"March 6, 1994",Oklahoma State University,R,190,PG,BOS,99,27.42382271
Marcus Thornton,48,721,380,140,345,40.6,54,143,37.8,46,56,82.1,23,63,86,36,27,7,27,38,294,1.33,1,,,,,,,,,,
Mario Chalmers,80,2368,813,267,663,40.3,73,248,29.4,206,266,77.4,24,182,206,307,122,10,173,251,829,1.78,0.71,29,us,"May 19, 1986",University of Kansas,6,185,PG,MIA,85.5,24.9817385
Markel Brown,47,781,216,76,210,36.2,17,64,26.6,47,57,82.5,16,91,107,39,31,12,27,57,234,1.44,1.15,23,us,"January 29, 1992",Oklahoma State University,R,187.5,SG,NJN,85.5,24.32
Markieff Morris,82,2581,1258,512,1100,46.5,57,179,31.8,177,232,76.3,110,396,506,192,101,39,170,245,1283,1.13,0.59,26,us,"September 2, 1989",University of Kansas,3,205,PF,PHO,110.25,26.2343843
Marreese Speights,76,1207,791,318,646,49.2,5,18,27.8,150,178,84.3,109,216,325,72,20,34,82,189,804,0.88,0.24,28,us,"August 4, 1987",University of Florida,6,205,C,GSW,114.75,27.30517549
Martell Webster,32,352,106,24,91,26.4,10,43,23.3,48,64,75,10,36,46,17,7,1,22,24,72,0.77,0.32,,,,,,,,,,
Marvin Williams,78,2035,577,210,495,42.4,95,265,35.8,62,87,71.3,58,328,386,100,69,36,60,146,798,1.67,1.15,29,us,"June 19, 1986",University of North Carolina,9,202.5,PF,CHA,106.65,26.00823045
Mason Plumlee,82,1743,717,280,489,57.3,0,3,0,157,317,49.5,175,337,512,74,65,63,106,207,956,0.7,0.61,25,us,"March 5, 1990",Duke University,1,207.5,C,NJN,110.25,25.60603861
Matt Barnes,76,2271,764,277,624,44.4,136,376,36.2,74,95,77.9,51,251,302,114,67,50,87,240,842,1.31,0.77,35,us,"March 9, 1980","University of California, Los Angeles",11,197.5,SF,LAC,101.7,26.07274475
Matt Bonner,72,935,264,94,230,40.9,46,126,36.5,30,37,81.1,29,86,115,47,10,12,11,65,294,4.27,0.91,35,us,"April 5, 1980",University of Florida,10,205,PF,SAS,105.75,25.1635931
Matthew Dellavedova,67,1380,319,111,307,36.2,68,167,40.7,29,38,76.3,37,89,126,204,24,2,61,152,409,3.34,0.39,25,au,"September 8, 1990",Saint Mary's College of California,1,190,SG,CLE,89.1,24.68144044
Maurice Harkless,45,674,158,63,158,39.9,10,56,17.9,22,41,53.7,38,68,106,25,32,9,27,66,189,0.93,1.19,22,us,"May 11, 1993",St. John's University,2,202.5,SF,ORL,96.75,23.59396433
Meyers Leonard,55,847,327,125,245,51,47,112,42,30,32,93.8,46,204,250,32,10,14,39,113,472,0.82,0.26,23,us,"February 27, 1992",University of Illinois at Urbana-Champaign,2,212.5,C,POR,110.25,24.41522491
Michael Beasley,24,505,212,92,212,43.4,8,34,23.5,20,26,76.9,12,77,89,32,15,13,37,66,198,0.87,0.41,26,us,"January 9, 1989",Kansas State University,6,202.5,SF,MIA,105.75,25.78875171
Michael Carter-Williams,66,2150,966,364,919,39.6,36,153,23.5,202,291,69.4,64,289,353,442,111,30,253,167,1005,1.75,0.44,24,us,"October 10, 1991",Syracuse University,1,195,PG,PHI,85.5,22.4852071
Michael Kidd-Gilchrist,55,1587,598,224,482,46.5,0,0,0,150,214,70.1,109,307,416,77,30,38,63,115,774,1.22,0.48,22,us,"September 26, 1993",University of Kentucky,2,197.5,SF,CHA,104.4,26.76494152
Mike Conley,70,2225,1107,393,882,44.6,107,277,38.6,214,249,85.9,29,180,209,375,89,14,156,139,1114,2.4,0.57,28,us,"October 11, 1987",Ohio State University,7,182.5,PG,MEM,78.75,23.64421092
Mike Dunleavy,63,1838,595,209,481,43.5,107,263,40.7,70,87,80.5,28,220,248,114,39,21,60,123,668,1.9,0.65,35,us,"September 15, 1980",Duke University,12,202.5,SF,CHI,103.5,25.24005487
Mike Miller,52,701,109,37,114,32.5,32,98,32.7,3,4,75,4,87,91,46,14,4,23,74,163,2,0.61,35,us,"February 19, 1980",University of Florida,14,200,SF,CLE,98.1,24.525
Mike Muscala,40,502,197,83,151,55,9,22,40.9,22,25,88,52,67,119,25,16,19,21,52,284,1.19,0.76,24,us,"July 1, 1991",Bucknell University,1,207.5,PF,ATL,108,25.0834664
Mike Scott,68,1123,529,201,453,44.4,66,192,34.4,61,77,79.2,45,154,199,75,25,3,39,83,524,1.92,0.64,27,us,"July 16, 1988",University of Virginia,2,200,PF,ATL,106.65,26.6625
Miles Plumlee,73,1194,294,136,254,53.5,0,0,0,22,46,47.8,112,208,320,34,41,66,51,111,562,0.67,0.8,27,us,"September 1, 1988",Duke University,2,207.5,C,PHO,112.05,26.02409639
Miroslav Raduljica,5,23,8,3,8,37.5,0,0,0,2,2,100,2,3,5,0,1,0,2,8,7,0,0.5,,,,,,,,,,
Mirza Teletovic,40,892,339,122,319,38.2,62,193,32.1,33,46,71.7,27,167,194,46,14,16,53,74,346,0.87,0.26,,,,,,,,,,
Mitch McGary,32,485,201,88,165,53.3,0,2,0,25,40,62.5,53,112,165,14,16,16,31,72,289,0.45,0.52,23,us,"June 6, 1992",University of Michigan,R,205,PF,OKC,114.75,27.30517549
Mo Williams,68,1980,964,341,860,39.7,119,348,34.2,163,187,87.2,22,152,174,424,46,14,172,162,907,2.47,0.27,33,us,"December 19, 1982",University of Alabama,11,182.5,PG,CHA,89.1,26.75173579
Monta Ellis,80,2699,1513,602,1354,44.5,81,284,28.5,228,303,75.2,34,156,190,329,148,25,198,197,1180,1.66,0.75,30,us,"October 26, 1985",,9,187.5,SG,DAL,83.25,23.68
Nate Robinson,42,591,238,88,255,34.5,31,112,27.7,31,46,67.4,17,33,50,97,20,3,30,76,196,3.23,0.67,,,,,,,,,,
Nate Wolters,21,247,42,20,57,35.1,0,7,0,2,6,33.3,8,26,34,21,8,2,13,18,53,1.62,0.62,,,,,,,,,,
Nazr Mohammed,23,128,27,13,30,43.3,0,0,0,1,3,33.3,11,27,38,3,4,5,7,16,51,0.43,0.57,38,us,"September 5, 1977",University of Kentucky,16,205,C,CHI,99.45,23.66448543
Nene,67,1694,737,307,601,51.1,1,5,20,122,202,60.4,84,261,345,123,66,22,124,180,795,0.99,0.53,33,br,"September 13, 1982",,12,207.5,PF,WAS,112.5,26.12861083
Nerlens Noel,75,2311,744,302,653,46.2,0,0,0,140,230,60.9,185,426,611,128,133,142,146,208,1171,0.88,0.91,21,us,"April 10, 1994",University of Kentucky,R,207.5,C,PHI,102.6,23.82929308
Nick Calathes,58,838,243,104,247,42.1,11,43,25.6,24,45,53.3,19,87,106,146,63,5,61,100,338,2.39,1.03,26,us,"February 7, 1989",University of Florida,1,195,SG,MEM,95.85,25.20710059
Nick Collison,66,1101,273,106,253,41.9,16,60,26.7,45,65,69.2,90,160,250,90,35,25,45,156,461,2,0.78,35,us,"October 26, 1980",University of Kansas,10,205,PF,OKC,114.75,27.30517549
Nick Johnson,28,262,74,26,75,34.7,5,21,23.8,17,25,68,13,26,39,11,7,3,19,34,58,0.58,0.37,23,us,"December 22, 1992",University of Arizona,R,187.5,SG,HOU,90.9,25.856
Nick Young,42,1000,563,174,476,36.6,83,225,36.9,132,148,89.2,17,79,96,41,23,11,44,83,372,0.93,0.52,,,,,,,,,,
Nicolas Batum,71,2380,664,240,600,40,100,309,32.4,84,98,85.7,62,354,416,341,78,40,132,106,1033,2.58,0.59,27,fr,"December 14, 1988",,6,200,SF,POR,90,22.5
Nik Stauskas,73,1127,319,108,296,36.5,48,149,32.2,55,64,85.9,11,77,88,67,20,17,40,92,274,1.68,0.5,22,ca,"October 7, 1993",University of Michigan,R,195,SG,SAC,92.25,24.26035503
Nikola Mirotic,82,1654,833,253,624,40.5,99,313,31.6,228,284,80.3,63,341,404,97,54,54,89,172,926,1.09,0.61,24,me,"February 11, 1991",,R,205,PF,CHI,99,23.55740631
Nikola Pekovic,31,815,386,139,328,42.4,0,0,0,108,129,83.7,89,145,234,27,19,12,42,59,426,0.64,0.45,,,,,,,,,,
Nikola Vucevic,74,2529,1428,631,1206,52.3,2,6,33.3,164,218,75.2,238,572,810,147,54,54,148,220,1716,0.99,0.37,25,ch,"October 24, 1990",University of Southern California,3,210,C,ORL,117,26.53061224
Noah Vonleh,25,259,83,30,76,39.5,5,13,38.5,18,26,69.2,28,58,86,4,4,9,11,20,121,0.36,0.36,20,us,"August 24, 1995",Indiana University,R,205,PF,CHA,108,25.6989887
Norris Cole,75,1831,573,230,558,41.2,55,176,31.3,58,81,71.6,13,146,159,255,57,15,99,124,609,2.58,0.58,27,us,"October 13, 1988",Cleveland State University,3,185,PG,NOH,78.75,23.00949598
O.J. Mayo,71,1697,806,296,701,42.2,99,277,35.7,115,139,82.7,30,157,187,197,57,18,128,165,708,1.54,0.45,28,us,"November 5, 1987",University of Southern California,6,192.5,SG,MIL,94.5,25.50177096
Ognjen Kuzmic,16,72,20,8,12,66.7,0,0,0,4,4,100,7,10,17,6,2,1,5,13,37,1.2,0.4,25,ba,"May 16, 1990",,1,212.5,C,GSW,112.95,25.01314879
Omer Asik,76,1982,557,213,412,51.7,0,0,0,131,225,58.2,244,504,748,72,29,54,95,144,1072,0.76,0.31,29,tr,"July 4, 1986",,4,210,C,NOH,114.75,26.02040816
Omri Casspi,67,1416,593,209,427,48.9,35,87,40.2,140,191,73.3,54,206,260,102,31,9,88,107,638,1.16,0.35,27,il,"June 22, 1988",,5,202.5,SF,SAC,101.25,24.69135802
Otto Porter Jr.,74,1432,445,176,391,45,35,104,33.7,58,79,73.4,70,151,221,65,44,30,52,97,517,1.25,0.85,22,us,"June 3, 1993",Georgetown University,1,200,SF,WAS,89.1,22.275
Pablo Prigioni,67,1197,274,91,228,39.9,57,166,34.3,35,41,85.4,30,89,119,171,79,1,62,88,439,2.76,1.27,38,ar,"May 17, 1977",,2,187.5,PG,NYK,83.25,23.68
Patrick Beverley,56,1727,568,204,532,38.3,115,323,35.6,45,60,75,67,170,237,192,59,23,83,182,653,2.31,0.71,27,us,"July 12, 1988",University of Arkansas,2,182.5,PG,HOU,83.25,24.99530869
Patrick Christopher,4,29,6,3,12,25,0,4,0,0,0,0,2,4,6,0,1,0,1,6,3,0,1,27,us,"June 3, 1988",University of California,R,192.5,SG,UTA,94.05,25.38033395
Patrick Patterson,81,2156,648,240,535,44.9,105,283,37.1,63,80,78.8,127,306,433,155,60,44,54,149,974,2.87,1.11,,,,,,,,,,
Patty Mills,51,801,351,128,336,38.1,62,182,34.1,33,40,82.5,21,54,75,87,28,2,35,58,293,2.49,0.8,27,au,"August 11, 1988",Saint Mary's College of California,5,180,PG,SAS,83.25,25.69444444
Pau Gasol,78,2681,1446,570,1153,49.4,12,26,46.2,294,366,80.3,220,699,919,210,25,147,158,147,1934,1.33,0.16,35,es,"July 6, 1980",,13,210,PF,CHI,112.5,25.51020408
Paul George,6,91,53,18,49,36.7,9,22,40.9,8,11,72.7,4,18,22,6,5,1,12,11,41,0.5,0.42,25,us,"May 2, 1990","California State University, Fresno",4,202.5,SF,IND,99,24.14266118
Paul Millsap,73,2390,1218,443,930,47.6,77,216,35.6,255,337,75.7,139,431,570,223,130,69,166,201,1475,1.34,0.78,30,us,"February 10, 1985",Louisiana Tech University,8,200,PF,ATL,110.7,27.675
Paul Pierce,73,1914,868,293,656,44.7,118,303,38.9,164,210,78.1,45,249,294,144,46,24,92,160,875,1.57,0.5,38,us,"October 13, 1977",University of Kansas,16,197.5,SF,WAS,105.75,27.1110399
Pero Antic,63,1037,356,108,296,36.5,52,173,30.1,88,123,71.5,58,131,189,49,18,14,49,132,354,1,0.37,33,mk,"July 29, 1982",,1,207.5,PF,ATL,117,27.17375526
Perry Jones III,43,631,184,73,184,39.7,14,60,23.3,24,37,64.9,6,70,76,18,17,8,24,50,155,0.75,0.71,24,us,"September 24, 1991",Baylor University,2,207.5,SF,OKC,105.75,24.56089418
Phil Pressey,50,600,177,64,174,36.8,16,65,24.6,33,49,67.3,13,67,80,117,30,6,41,54,243,2.85,0.73,24,us,"February 17, 1991",University of Missouri,1,177.5,PG,BOS,78.75,24.99504067
PJ Hairston,45,687,254,87,269,32.3,49,163,30.1,31,36,86.1,22,70,92,21,21,13,22,61,192,0.96,0.96,23,us,"December 24, 1992",University of North Carolina,R,195,SG,CHA,103.5,27.21893491
PJ Tucker,78,2383,713,261,596,43.8,87,252,34.5,104,143,72.7,114,388,502,122,107,23,96,179,997,1.27,1.12,,,,,,,,,,
Quincy Acy,68,1287,398,152,331,45.9,18,60,30,76,97,78.4,79,222,301,68,27,22,60,147,556,1.13,0.45,25,us,"October 6, 1990",Baylor University,2,197.5,PF,NYK,108,27.68787053
Quincy Miller,10,120,29,9,38,23.7,3,18,16.7,8,11,72.7,4,16,20,8,7,5,5,9,32,1.6,1.4,23,us,"November 18, 1992",Baylor University,2,202.5,PF,SAC,94.5,23.04526749
Quincy Pondexter,75,1793,538,188,447,42.1,91,244,37.3,71,96,74,53,142,195,94,19,24,51,150,535,1.84,0.37,27,us,"March 10, 1988",University of Washington,4,197.5,SF,NOH,99,25.38054799
Rajon Rondo,68,2019,608,275,645,42.6,27,86,31.4,31,78,39.7,73,300,373,538,91,7,210,153,990,2.56,0.43,29,us,"February 22, 1986",University of Kentucky,8,182.5,PG,DAL,83.7,25.13041847
Ramon Sessions,64,1188,402,125,334,37.4,19,60,31.7,133,173,76.9,23,121,144,182,29,0,86,73,422,2.12,0.34,29,us,"April 11, 1986","University of Nevada, Reno",7,187.5,PG,WAS,85.5,24.32
Randy Foye,50,1087,435,148,402,36.8,94,263,35.7,45,55,81.8,9,76,85,119,34,11,60,97,360,1.98,0.57,32,us,"September 24, 1983",Villanova University,8,190,SG,DEN,95.85,26.55124654
Rasual Butler,75,1505,580,218,517,42.2,91,235,38.7,53,67,79.1,27,170,197,63,29,22,48,98,530,1.31,0.6,36,us,"May 23, 1979",La Salle University,11,197.5,SF,WAS,96.75,24.80371735
Ray McCallum,68,1436,503,206,470,43.8,34,111,30.6,57,84,67.9,52,128,180,188,45,11,85,92,551,2.21,0.53,24,us,"June 12, 1991",University of Detroit Mercy,1,187.5,PG,SAC,85.5,24.32
Raymond Felton,29,281,108,43,106,40.6,10,34,29.4,12,15,80,2,24,26,41,11,4,18,17,106,2.28,0.61,31,us,"June 26, 1984",University of North Carolina,9,182.5,PG,DAL,92.25,27.69750422
Reggie Bullock,36,338,69,24,70,34.3,15,46,32.6,6,9,66.7,1,49,50,8,10,4,8,19,84,1,1.25,24,us,"March 16, 1991",University of North Carolina,1,197.5,SF,PHO,92.25,23.65005608
Reggie Evans,47,764,176,58,137,42.3,0,2,0,60,97,61.9,97,202,299,32,22,5,45,91,373,0.71,0.49,35,us,"May 18, 1980",University of Iowa,12,200,PF,SAC,110.25,27.5625
Reggie Jackson,77,2268,1117,432,996,43.4,72,241,29.9,181,218,83,56,271,327,462,62,9,186,167,1190,2.48,0.33,25,it,"April 16, 1990",Boston College,3,187.5,PG,OKC,93.6,26.624
Reggie Williams,20,105,37,15,39,38.5,3,19,15.8,4,4,100,5,12,17,10,1,0,2,12,39,5,0.5,,,,,,,,,,
Richard Jefferson,74,1244,432,144,324,44.4,66,155,42.6,78,114,68.4,25,158,183,61,32,11,52,115,451,1.17,0.62,35,us,"June 21, 1980",University of Arizona,13,197.5,SF,DAL,104.85,26.88030764
Ricky Ledo,17,244,90,32,96,33.3,10,27,37,16,22,72.7,16,20,36,19,6,1,26,21,56,0.73,0.23,,,,,,,,,,
Ricky Rubio,22,692,226,78,219,35.6,13,51,25.5,57,71,80.3,19,106,125,193,38,1,64,59,364,3.02,0.59,23,us,"September 10, 1992",,1,197.5,SG,NYK,87.75,22.49639481
Robbie Hummel,45,742,198,79,172,45.9,16,51,31.4,24,29,82.8,31,103,134,27,16,9,18,86,268,1.5,0.89,26,us,"March 8, 1989",Purdue University,1,200,SF,MIN,96.75,24.1875
Robert Covington,70,1956,943,299,756,39.6,167,446,37.4,178,217,82,65,251,316,105,97,31,128,189,868,0.82,0.76,25,us,"December 14, 1990",Tennessee State University,1,202.5,SF,PHI,96.75,23.59396433
Robert Sacre,67,1133,307,126,306,41.2,0,1,0,55,82,67.1,89,144,233,55,28,43,36,121,423,1.53,0.78,,,,,,,,,,
Robin Lopez,59,1638,566,234,437,53.5,0,1,0,98,127,77.2,190,204,394,55,16,84,73,122,810,0.75,0.22,27,us,"April 1, 1988",Stanford University,6,210,C,POR,114.75,26.02040816
Rodney Hood,50,1064,433,155,374,41.4,62,170,36.5,61,80,76.3,9,108,117,83,30,12,45,119,392,1.84,0.67,23,us,"October 20, 1992",Duke University,R,200,SG,UTA,92.7,23.175
Rodney Stuckey,71,1874,896,332,754,44,55,141,39,177,216,81.9,36,212,248,219,56,10,118,131,850,1.86,0.48,29,us,"April 21, 1986",Eastern Washington University,7,192.5,PG,IND,94.5,25.50177096
Ronnie Price,43,982,221,77,223,34.5,31,109,28.4,36,45,80,19,50,69,165,67,4,52,118,319,3.17,1.29,32,us,"June 21, 1983",Utah Valley State College,9,185,PG,LAL,85.5,24.9817385
Ronny Turiaf,2,19,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,3,0,0,,,,,,,,,,
Roy Hibbert,76,1926,802,317,710,44.6,0,2,0,168,204,82.4,156,384,540,84,18,125,107,216,1033,0.79,0.17,29,us,"December 11, 1986",Georgetown University,6,215,C,IND,121.5,26.2844781
Rudy Gay,68,2408,1432,508,1116,45.5,79,220,35.9,337,393,85.8,98,301,399,250,71,41,183,157,1346,1.37,0.39,29,us,"August 17, 1986",University of Connecticut,8,200,SF,SAC,103.5,25.875
Rudy Gobert,82,2158,686,258,427,60.4,0,2,0,170,273,62.3,265,510,775,109,64,189,111,175,1440,0.98,0.58,23,fr,"June 26, 1992",,1,212.5,C,UTA,110.25,24.41522491
Russ Smith,12,65,30,8,25,32,2,11,18.2,12,13,92.3,1,5,6,8,3,0,12,13,17,0.67,0.25,24,us,"April 19, 1991",University of Louisville,R,180,PG,MEM,74.25,22.91666667
Russell Westbrook,67,2302,1886,627,1471,42.6,86,288,29.9,546,654,83.5,124,364,488,574,140,14,293,184,1857,1.96,0.48,,,,,,,,,,
Ryan Anderson,61,1675,833,291,729,39.9,122,359,34,129,151,85.4,108,187,295,55,33,20,62,113,714,0.89,0.53,27,us,"May 6, 1988",University of California,6,205,PF,NOH,108,25.6989887
