game,platform,developer,genre,number_players,rating,release_date,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score
Need for Speed,PC,Ghost Games,Racing,,T,"Mar 15, 2016",12,11,0,19,13,36,68,53
WRC 6: World Rally Championship,XONE,Kylotonn,Racing,,E,"Oct  7, 2016",3,10,0,1,0,4,68,53
Resident Evil 0: HD Remaster,PC,Capcom,Action Adventure,No Online Multiplayer,M,"Jan 19, 2016",7,14,1,3,2,0,68,79
Root Letter,PS4,Kadokawa,Adventure,,,"Nov  8, 2016",8,6,2,2,1,1,68,68
Earth's Dawn,PS4,One or Eight,Action,,T,"Nov  1, 2016",2,9,1,2,1,0,68,67
Mafia III,PS4,Hangar 13,Action Adventure,No Online Multiplayer,M,"Oct  7, 2016",21,46,0,120,98,119,68,52
Slain: Back from Hell,PS4,Wolf Brew Games,Action,,M,"Sep 20, 2016",2,8,1,3,1,1,68,71
The Solus Project,PC,Grip Games,Action,No Online Multiplayer,,"Jun  7, 2016",14,11,2,3,3,2,68,63
Senran Kagura: Estival Versus,PS4,"Tamsoft, Marvelous Inc.",Action,Up to 10 ,M,"Mar 15, 2016",10,14,1,16,7,1,67,76
Lichtspeer,PS4,Lichthund,Action Adventure,,T,"Sep 27, 2016",5,7,1,0,0,0,67,66
Brut@l,PS4,Stormcloud Games Limited,Action Adventure,,T,"Aug  9, 2016",9,17,0,1,2,0,67,59
FORCED SHOWDOWN,PC,BetaDwarf,Role-Playing,,,"Mar 29, 2016",3,11,0,5,0,0,67,75
Assault Suit Leynos,PS4,Dracue,Action,,E10+,"Jul 14, 2016",3,5,0,3,0,1,67,67
Fallout 4: Automatron,PC,Bethesda Game Studios,Role-Playing,,M,"Mar 22, 2016",4,12,1,2,14,7,67,49
TurnOn,PC,Brainy Studio LLC,Action,No Online Multiplayer,,"Jun  1, 2016",1,7,0,1,0,0,67,53
Criminal Girls 2: Party Favors,VITA,Nippon Ichi Software,Role-Playing,No Online Multiplayer,M,"Sep 22, 2016",8,11,2,3,0,1,67,82
King's Quest Chapter 4: Snow Place Like Home,PS4,The Odd Gentlemen,Adventure,,E10+,"Sep 27, 2016",2,6,0,0,2,0,67,53
Nights of Azure,PS4,Gust,Role-Playing,No Online Multiplayer,T,"Mar 29, 2016",7,32,1,9,0,2,67,72
How We Soar,PS4,Penny Black Studios,Action,,E,"Nov 29, 2016",4,7,0,4,1,1,67,59
Batman: The Telltale Series - Episode 5: City of Light,PS4,Telltale Games,Adventure,,M,"Dec 13, 2016",4,7,1,0,2,0,67,64
Dex,PS4,"Dreadlocks Ltd, Dreadlocks",Role-Playing,,M,"Jul 12, 2016",2,7,1,3,0,1,67,70
TurnOn,XONE,Brainy Studio LLC,Action,,E,"Jun  1, 2016",5,11,0,5,0,0,67,70
Romance of the Three Kingdoms XIII,PS4,Koei Tecmo Games,Strategy,No Online Multiplayer,E10+,"Jul  5, 2016",9,11,2,5,1,2,67,71
Mount & Blade: Warband,PS4,"Koch Media, Taleworlds",Role-Playing,Up to 64 ,T,"Sep 13, 2016",5,12,1,6,2,3,67,73
The Walking Dead: Michonne - A Telltale Miniseries,PC,Skybound LLC,Adventure,No Online Multiplayer,M,"Apr 26, 2016",1,7,0,5,9,3,67,63
Ride 2,PC,Milestone S.r.l,Racing,Online Multiplayer,E,"Oct  7, 2016",4,2,1,2,1,1,67,74
Mafia III,XONE,Hangar 13,Action Adventure,No Online Multiplayer,M,"Oct  7, 2016",5,15,1,24,20,21,67,48
Champions of Anteria,PC,Blue Byte,Strategy,No Online Multiplayer,,"Aug 30, 2016",5,14,1,2,1,1,67,71
Claire: Extended Cut,XONE,Hailstorm Games Inc,Adventure,,M,"Sep  6, 2016",1,6,0,2,1,0,67,68
Dead Island: Definitive Collection,XONE,Techland,Miscellaneous,,M,"May 31, 2016",1,9,0,3,2,3,67,45
The Little Acre,PS4,Curve Digital,Action Adventure,,E10+,"Dec 13, 2016",7,8,1,0,3,0,67,65
Hard Reset Redux,XONE,Flying Wild Hog,Action,,M,"Jun  3, 2016",3,11,1,0,2,0,67,64
The Way,PC,Puzzling Dream,Action,No Online Multiplayer,,"May 19, 2016",2,12,0,2,0,1,67,74
Small Radios Big Televisions,PC,"Owen Deery, Fire Face",Adventure,No Online Multiplayer,,"Nov  8, 2016",2,4,1,1,0,0,67,46
Rogue Wizards,PC,Spellbind Studios,Role-Playing,No Online Multiplayer,,"Sep 27, 2016",1,7,0,2,1,0,67,63
CALENDULA,PC,Blooming Buds Studio,Adventure,No Online Multiplayer,,"Feb  2, 2016",2,4,1,5,1,0,67,74
Rocketbirds 2: Evolution,PS4,Ratloop Asia Pte Ltd,Action,Up to 4 ,T,"Apr 26, 2016",6,7,1,0,0,0,67,62
Agatha Christie's The ABC Murders,PS4,Microids,Adventure,,T,"Feb 23, 2016",2,15,0,1,2,1,67,61
Dungeon Souls,PC,Mike Studios,Role-Playing,,,"Dec  2, 2016",2,6,0,0,0,2,67,55
Sebastien Loeb Rally Evo,PC,Milestone S.r.l,Racing,,E,"Jan 29, 2016",5,8,1,3,4,2,67,72
Earthlock: Festival of Magic,XONE,Snow Castle Games,Role-Playing,,E10+,"Sep  1, 2016",3,3,1,7,3,3,66,72
Foul Play,PS4,Mediatonic,Action,,E10+,"Feb 23, 2016",1,6,0,1,1,1,66,33
Quantum Break,PC,Remedy Entertainment,Action,No Online Multiplayer,M,"Apr  5, 2016",5,9,0,47,32,43,66,53
Driveclub VR,PS4,Evolution Studios,Racing,Up to 8 ,E,"Sep 21, 2016",8,26,1,15,5,4,66,67
Adventures of Mana,VITA,Square Enix,Role-Playing,,E10+,"Jun 28, 2016",6,12,0,1,2,0,66,83
Her Majesty's SPIFFING,XONE,BillyGoat Entertainment Ltd,Adventure,,T,"Dec  7, 2016",5,1,2,1,0,0,66,68
Enigmatis: The Ghosts of Maple Creek,XONE,Artifex Mundi,Puzzle,,T,"Apr  8, 2016",4,3,1,2,1,0,66,74
Cobalt,XONE,Oxeye,Action,,E10+,"Feb  2, 2016",6,5,2,1,0,0,66,73
Super Stardust Ultra VR,PS4,Sony Interactive Entertainment,Action,,E10+,"Oct 10, 2016",4,9,0,0,0,0,66,64
The Incredible Adventures of Van Helsing II,XONE,NeocoreGames,Role-Playing,,T,"Jul  1, 2016",1,8,0,1,0,0,66,68
One Piece: Burning Blood,PS4,Spike Chunsoft,Action,Up to 4 ,T,"May 31, 2016",13,31,1,10,8,2,66,73
The Walking Dead: Michonne - Episode 2: Give No Shelter,PC,Telltale Games,Adventure,,,"Mar 29, 2016",6,17,1,2,5,0,66,61
NASCAR Heat Evolution,PS4,"Monster Games Inc., Dusenberry Martin Racing",Racing,,E,"Sep 13, 2016",1,6,1,2,2,7,66,44
WRC 6: World Rally Championship,PC,Kylotonn,Racing,Online Multiplayer,E,"Oct  7, 2016",2,7,0,3,0,4,66,57
WRC 6: World Rally Championship,PS4,Kylotonn,Racing,Up to 8 ,E,"Oct  7, 2016",3,20,1,2,3,4,66,61
Batman: The Telltale Series - Episode 2: Children of Arkham,PS4,Telltale Games,Adventure,,M,"Sep 20, 2016",6,5,2,2,1,0,66,69
Silence: The Whispered World 2,XONE,Daedalic Entertainment,Adventure,,T,"Nov 15, 2016",4,3,1,0,0,0,66,82
Manual Samuel,XONE,Perfectly Paranormal,Role-Playing,,T,"Oct 14, 2016",3,6,0,1,3,1,66,64
Song of the Deep,XONE,Insomniac Games,Action Adventure,,E,"Jul 12, 2016",4,7,1,6,0,1,66,71
This Is the Police,PC,Weappy Studio,Simulation,No Online Multiplayer,M,"Aug  2, 2016",10,21,4,15,10,0,66,77
Battlezone,PS4,Rebellion,Action,Up to 4 ,T,"Oct 13, 2016",10,27,3,5,3,0,66,71
Bridge Constructor,PS4,ClockStone Software,Simulation,,E,"Dec 13, 2016",2,4,1,1,2,0,66,67
Full Mojo Rampage,PS4,Over the Top Games,Role-Playing,Up to 8 ,T,"Jun 28, 2016",3,7,1,2,0,0,66,60
Galactic Civilizations III: Mercenaries,PC,Stardock,General,,,"Feb 18, 2016",2,4,1,1,0,1,66,70
Among the Sleep,PS4,Krillbite Studio,Adventure,,,"Jul 26, 2016",3,12,0,4,2,1,66,65
Agatha Christie: The ABC Murders,PC,Kalypso,Adventure,,,"Feb  4, 2016",0,0,0,1,0,2,66,85
Sherlock Holmes: The Devil's Daughter,XONE,Frogwares,Adventure,,T,"Jun 10, 2016",3,9,0,0,1,4,66,71
Agatha Christie's The ABC Murders,XONE,Microids,Adventure,,T,"Feb 23, 2016",2,5,0,0,0,0,66,67
Oceanhorn: Monster of Uncharted Seas,PS4,Cornfox & Bros.,Action Adventure,No Online Multiplayer,E10+,"Sep  7, 2016",6,3,2,12,4,0,66,72
Unepic,PS4,A Crowd of Monsters,Action,,T,"Mar 29, 2016",3,5,1,2,0,0,66,66
Batman: The Telltale Series - Episode 1: Realm of Shadows,XONE,Telltale Games,Adventure,,M,"Aug  2, 2016",9,4,2,7,1,1,65,68
MXGP2: The Official Motocross Videogame,PS4,Milestone S.r.l,Racing,Up to 12 ,E,"Jun 21, 2016",5,9,2,2,0,0,65,65
Tharsis,PS4,Choice Provisions,Miscellaneous,,M,"Jan 12, 2016",7,7,2,2,3,0,65,61
Maize,PC,Finish Line Games,Adventure,No Online Multiplayer,,"Dec  1, 2016",3,13,1,5,2,2,65,74
Mario & Sonic at the Rio 2016 Olympic Games,WIIU,"Nintendo, Sega Sports R&D",Sports,,E10+,"Jun 24, 2016",7,17,2,8,2,5,65,79
Lovely Planet,XONE,QUICKTEQUILA,Action,,,"Jan  8, 2016",3,9,0,1,1,0,65,58
Battleship,XONE,Frima Studio,Miscellaneous,,E10+,"Aug  2, 2016",3,7,1,1,1,0,65,66
Trillion: God of Destruction,VITA,Compile Heart,Role-Playing,,T,"Mar 29, 2016",6,12,3,4,4,0,65,74
Party Hard,PS4,Pinokl Games,Action,,M,"Apr 26, 2016",2,8,0,1,6,0,65,66
The Walking Dead: Michonne - Episode 1: In Too Deep,XONE,Skybound LLC,Adventure,,M,"Feb 23, 2016",2,7,0,1,1,0,65,72
Sherlock Holmes: The Devil's Daughter,PC,Frogwares,Adventure,No Online Multiplayer,T,"Jun 10, 2016",5,12,2,6,6,5,65,73
Xenoraid,PS4,"10tons Entertainment, 10tons Ltd, 10tons",Action,,E10+,"Nov  8, 2016",3,7,0,0,0,0,65,62
Lucky's Tale,PC,Playful Corp.,Action,,,"Mar 28, 2016",3,9,0,4,1,1,64,50
Metroid Prime: Federation Force,3DS,"Next Level Games, Nintendo",Action,Up to 4 ,T,"Aug 19, 2016",15,35,6,29,9,13,64,54
Shadow of the Beast,PS4,Heavy Spectrum,Sci-Fi,No Online Multiplayer,M,"May 17, 2016",22,33,5,20,4,3,64,73
Californium,PC,Nova Production,Adventure,No Online Multiplayer,,"Feb 17, 2016",1,10,0,0,1,0,64,60
Robinson: The Journey,PS4,Crytek,Action Adventure,,,"Nov  8, 2016",9,36,1,12,7,7,64,67
The Silver Case,PC,Grasshopper Manufacture,Adventure,No Online Multiplayer,M,"Oct  6, 2016",7,3,2,2,0,0,64,76
Fallout 4: Nuka-World,PS4,Bethesda Game Studios,Role-Playing,,,"Aug 30, 2016",3,10,0,1,1,6,64,59
Gal*Gun: Double Peace,PS4,"Alchemist, Inti Creates",Action,,M,"Aug  2, 2016",7,10,4,3,1,0,64,67
Tom Clancy's The Division - Underground,PS4,Massive Entertainment,Action,,,"Jun 28, 2016",1,6,0,0,0,2,64,55
P-O-L-L-E-N,PC,Mindfield Games,Adventure,No Online Multiplayer,,"Apr 19, 2016",3,5,2,2,0,1,64,43
SwapQuest,VITA,Constantin Graf,Action,,E10+,"Feb 23, 2016",1,8,1,0,1,0,64,70
TRON RUN/r,PS4,Sanzaru Games,Action,,E10+,"Feb 16, 2016",4,5,0,2,0,2,64,64
Assassin's Creed Chronicles: India,XONE,"Ubisoft, Climax Studios",Action Adventure,,T,"Jan 12, 2016",5,14,1,1,4,3,64,47
Psycho-Pass: Mandatory Happiness,VITA,5pb,Adventure,,T,"Sep 13, 2016",6,3,2,2,0,0,64,73
The Town of Light,PC,LKA,Adventure,No Online Multiplayer,M,"Feb 26, 2016",8,12,2,8,2,1,64,69
Batman: The Telltale Series,PC,Telltale Games,Adventure,No Online Multiplayer,M,"Aug  2, 2016",5,9,2,7,11,2,64,69
Kholat,PS4,IMGN.PRO,Adventure,,T,"Mar  8, 2016",3,15,4,4,1,2,64,59
ADR1FT,PC,Three One Zero,Action,No Online Multiplayer,T,"Mar 28, 2016",7,32,1,2,1,2,64,51
Dead Island: Definitive Collection,PS4,Techland,Miscellaneous,Up to 4 ,M,"May 31, 2016",6,24,2,9,5,2,63,65
The Witch and the Hundred Knight: Revival Edition,PS4,Nippon Ichi Software,Role-Playing,,T,"Mar  1, 2016",4,15,1,3,0,1,63,67
Neon Chrome,PS4,"10tons Entertainment, 10tons",Action,,T,"May 31, 2016",4,8,1,3,1,0,63,65
Resident Evil 6,XONE,Capcom,Action Adventure,,M,"Mar 29, 2016",6,3,3,3,7,1,63,64
Assassin's Creed Chronicles: India,PS4,"Ubisoft, Climax Studios",General,,T,"Jan 13, 2016",6,35,0,0,2,7,63,39
Windlands,PS4,Psytec Games Ltd,Adventure,,E,"Oct 25, 2016",3,12,0,8,0,0,63,71
Obscuritas,PC,"Visual Imagination Software, Ravenscourt, VIS Games",Adventure,No Online Multiplayer,,"Mar 17, 2016",0,7,0,0,0,0,63,40
ReCore,XONE,"Armature Studio, comcept",Action Adventure,No Online Multiplayer,T,"Sep 13, 2016",16,53,6,94,22,28,63,67
Pang Adventures,PS4,Pasta Games,Action,,E,"Apr 19, 2016",0,9,1,3,0,0,63,53
Assassin's Creed Chronicles: India,PC,"Climax Group, Climax Studios",Action Adventure,No Online Multiplayer,T,"Jan 12, 2016",1,14,0,3,2,5,63,48
Exile's End,PS4,MagneticRealms,Action,,T,"Oct 25, 2016",1,13,1,0,0,0,63,63
Through the Woods,PC,Antagonist,General,No Online Multiplayer,,"Oct 27, 2016",2,7,1,1,1,3,63,59
Gemini: Heroes Reborn,XONE,Phosphor Games,Action Adventure,,T,"Jan 19, 2016",3,8,1,2,0,0,63,62
Wheels of Aurelia,PC,Santa Ragione,Racing,No Online Multiplayer,,"Sep 20, 2016",4,4,3,0,0,0,63,58
Dangerous Golf,XONE,Three Fields Entertainment,Sports,,E,"Jun  3, 2016",2,9,2,0,1,1,63,46
Sebastien Loeb Rally Evo,XONE,Milestone S.r.l,Racing,,E,"Jan 29, 2016",0,7,1,1,1,2,63,76
Cossacks 3,PC,GSC Game World,General,Online Multiplayer,,"Sep 20, 2016",3,14,2,10,7,18,63,54
Assetto Corsa,XONE,Kunos Simulazioni,Racing,,E,"Aug 30, 2016",2,8,0,6,0,6,63,66
Crush Your Enemies,PC,Vile Monarch,Strategy,Online Multiplayer,,"Jul 13, 2016",3,11,3,2,0,0,63,65
The Westport Independent,PC,Double Zero One Zero,Strategy,No Online Multiplayer,,"Jan 21, 2016",3,11,1,1,1,1,63,58
Sheltered,PC,Unicube,Strategy,No Online Multiplayer,,"Mar 15, 2016",2,7,1,2,6,4,62,45
Mafia III,PC,Hangar 13,Action Adventure,No Online Multiplayer,M,"Oct  6, 2016",6,22,3,43,54,157,62,36
Gas Guzzlers Extreme,XONE,Iceberg Interactive,Simulation,,T,"Nov  4, 2016",1,7,2,1,0,0,62,80
Sonic Boom: Fire & Ice,3DS,Sanzaru Games,Action,,E,"Sep 27, 2016",4,32,3,17,6,3,62,71
Between Me and The Night,PC,RainDance LX,Action Adventure,No Online Multiplayer,,"Jan 22, 2016",0,9,0,0,0,0,62,57
Little King's Story,PC,"Cingular mMode, Cing",Strategy,No Online Multiplayer,T,"Aug  5, 2016",5,9,3,0,0,0,62,77
Assassin's Creed Chronicles: Russia,XONE,"Ubisoft, Climax Studios",Action Adventure,,T,"Feb  9, 2016",4,17,3,2,0,5,62,41
Here They Lie,PS4,The Tangentlemen,Adventure,,M,"Oct 13, 2016",6,26,3,12,8,2,62,68
Tiny Troopers: Joint Ops,XONE,"Kukouri Mobile Entertainment, Epiphany Games",Action,No Online Multiplayer,T,"Feb 26, 2016",4,6,2,0,0,1,62,51
Moon Hunters,PC,Kitfox Games,Role-Playing,,E10+,"Mar 10, 2016",2,11,1,1,4,0,62,63
Senran Kagura: Bon Appetit! - Full Course,PC,Meteorise,Action,No Online Multiplayer,,"Nov 10, 2016",2,7,2,0,1,0,62,55
The Little Acre,PC,Pewter Games Studios,Action Adventure,,,"Dec 13, 2016",1,11,0,2,2,0,62,67
The Park,XONE,Funcom,Action Adventure,,M,"May  3, 2016",1,9,1,1,4,1,61,65
Gunscape,PS4,Blowfish Studios,Action,Up to 20 ,T,"Mar  1, 2016",2,4,1,2,0,1,61,50
Tharsis,PC,Choice Provisions,Miscellaneous,No Online Multiplayer,M,"Jan 11, 2016",3,17,3,8,5,7,61,46
Dungeons 2,PS4,Kalypso,Strategy,Up to 4 ,T,"May 24, 2016",1,7,1,4,0,0,61,69
Into the Stars,PC,Fugitive Games,Action Adventure,No Online Multiplayer,,"Mar  4, 2016",4,8,5,0,0,3,61,31
Filthy Lucre,PS4,Fabrik Games,Action,2 ,M,"Sep 16, 2016",1,7,0,1,1,0,61,64
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,CyberConnect2,Action,Up to 4 ,T,"Jun 28, 2016",6,25,4,4,4,1,61,72
Armikrog,XONE,"Versus Evil, Pencil Test Studios",Adventure,,E10+,"Aug 23, 2016",1,7,0,1,0,2,61,73
The Dwarves,PC,"KING Art, King Art Games",Role-Playing,No Online Multiplayer,M,"Dec  1, 2016",2,13,2,9,4,2,61,65
No Man's Sky,PC,Hello Games,Action,No Online Multiplayer,T,"Aug 12, 2016",2,13,2,139,77,419,61,29
MegaTagmension Blanc + Neptune VS Zombies,VITA,Compile Heart,Action,Up to 4 ,T,"May 10, 2016",4,14,4,3,2,2,61,66
Asemblance,PS4,Nilo Studios,Adventure,,T,"Jun 21, 2016",1,9,3,2,2,4,61,52
The Descendant,PC,Gaming Corps AB,Adventure,No Online Multiplayer,,"Mar 24, 2016",2,5,2,2,2,0,61,74
Tempest (2015),PC,Lion's Shade,Simulation,,,"Aug 22, 2016",2,7,1,0,0,1,60,65
The Dwarves,PS4,Nordic Games Publishing,Role-Playing,,M,"Dec  1, 2016",1,9,2,3,1,0,60,61
Lifeless Planet: Premier Edition,PS4,Stage 2 Studios,Action Adventure,,T,"Jul 19, 2016",0,9,1,1,1,4,60,46
Resident Evil 6,PS4,Capcom,Action Adventure,Up to 6 ,M,"Mar 29, 2016",6,10,3,15,10,8,60,66
We Are The Dwarves,PC,Whale Rock Games,Strategy,No Online Multiplayer,T,"Feb 25, 2016",2,19,2,7,1,0,60,77
EVE: Gunjack,PS4,CCP,Simulation,,T,"Oct 13, 2016",0,10,0,2,2,0,60,62
Mario & Sonic at the Rio 2016 Olympic Games,3DS,"Nintendo, Sega Sports R&D",Sports,,E10+,"Mar 18, 2016",0,27,3,7,3,2,60,68
Assassin's Creed Chronicles: Russia,PS4,"Ubisoft, Climax Studios",General,,T,"Feb  9, 2016",3,17,2,0,1,4,60,39
The Technomancer,PS4,Spiders,Role-Playing,,M,"Jun 28, 2016",7,24,7,11,5,7,60,67
One Piece: Burning Blood,XONE,Spike Chunsoft,Action,,T,"May 31, 2016",1,8,1,1,0,1,60,64
N.E.R.O.: Nothing Ever Remains Obscure,PS4,"Vertigo Games, Storm in a Teacup",Adventure,,E,"Jun 24, 2016",1,8,2,1,0,0,59,65
Lost Sea,PS4,EastAsiaSoft,Strategy,,,"Jul  4, 2016",0,13,1,0,1,0,59,62
Harvest Moon: Skytree Village,3DS,Natsume,General,,E,"Nov  8, 2016",0,6,1,3,0,0,59,65
Chase: Cold Case Investigations - Distant Memories,3DS,Arc System Works,Adventure,,T,"Oct 13, 2016",1,14,3,1,1,1,59,77
Necropolis,PC,Harebrained Schemes LLC,Action Adventure,,,"Jul 12, 2016",3,26,5,6,4,4,59,46
The Bunker,XONE,Splendy Games,Adventure,,T,"Sep 23, 2016",3,3,2,0,0,0,59,63
Mount & Blade: Warband,XONE,Taleworlds,Role-Playing,,T,"Sep 16, 2016",2,5,3,10,1,2,59,81
Drive!Drive!Drive!,PS4,different cloth,Racing,Up to 4 ,E,"Dec 13, 2016",2,4,2,2,0,0,59,50
MXGP2: The Official Motocross Videogame,XONE,Milestone S.r.l,Racing,,E,"Jun 21, 2016",2,8,3,3,1,1,59,67
PlayStation VR WORLDS,PS4,"SCEE London Studio, Sony Interactive Entertainment",Miscellaneous,,M,"Oct 10, 2016",3,40,5,7,12,2,59,67
GunWorld 2,XONE,M07 Games,Action,,E10+,"May 13, 2016",0,5,2,1,1,1,59,56
Lost Sea,XONE,EastAsiaSoft,Strategy,,E10+,"Jun 29, 2016",1,4,3,1,2,0,59,78
Shooting Stars!,PC,Bloodirony,Action,No Online Multiplayer,,"Jan 19, 2016",1,7,1,1,0,0,59,72
Star Ocean: Integrity and Faithlessness,PS4,Tri-Ace,Role-Playing,No Online Multiplayer,T,"Jun 28, 2016",9,50,8,24,23,26,58,65
Cornerstone: The Song of Tyrim,PC,Ascension Studios,Action Adventure,,,"Apr 26, 2016",0,8,1,0,2,0,58,70
ZHEROS,PC,Rimlight Studios,Action,No Online Multiplayer,,"Feb 15, 2016",1,4,2,0,0,1,58,61
Attractio,PS4,GameCoder Studios,Puzzle,,T,"Jan 19, 2016",2,12,2,1,2,1,58,61
Clockwork Empires,PC,Gaslamp Games,Fantasy,No Online Multiplayer,RP,"Oct 26, 2016",1,6,1,0,0,1,58,35
Space Hulk: Deathwing,PC,Streum On Studio,Action,Online Multiplayer,M,"Dec 14, 2016",4,37,5,14,9,13,58,53
Mitsurugi Kamui Hikae,PS4,Zenith Blue,Action,,T,"Feb 16, 2016",0,7,1,0,0,0,58,36
ReCore,PC,comcept,Action Adventure,,T,"Sep 13, 2016",2,15,4,14,4,2,58,61
The Dwarves,XONE,Nordic Games Publishing,Role-Playing,,M,"Dec  1, 2016",2,7,4,0,1,1,58,39
Touhou: Scarlet Curiosity,PS4,Mediascape,Role-Playing,,T,"Sep 22, 2016",5,10,5,3,0,0,58,73
Carnival Games VR,PS4,Cat Daddy Games,Action,,E10+,"Oct 28, 2016",2,6,2,0,0,1,58,64
Time Machine VR,PC,Minority Media Inc.,Adventure,No Online Multiplayer,,"May 19, 2016",0,5,2,6,0,0,58,84
Shadow Puppeteer,WIIU,Sarepta studio,Action,,T,"Jan 28, 2016",0,9,0,2,0,0,57,62
Mobile Suit Gundam: Extreme VS-Force,VITA,"Lancarse, Bandai Namco Games",Action,,E10+,"Jul 12, 2016",1,19,5,1,1,1,57,69
Uno,XONE,Ubisoft Chengdu,Miscellaneous,,E,"Aug 16, 2016",0,7,1,3,0,0,57,72
Goliath,PC,Whalebox Studio,Action Adventure,No Online Multiplayer,,"May 12, 2016",0,7,0,1,2,0,57,69
The Bunker,PC,"Slendy Interactive, Splendy Games",Action,No Online Multiplayer,,"Sep 20, 2016",1,5,1,0,3,0,57,58
ZHEROS,XONE,Rimlight Studios,Action,,E10+,"Jan 15, 2016",1,9,3,1,4,7,57,42
Aegis of Earth: Protonovus Assault,PS4,Acquire,Strategy,,T,"Mar 15, 2016",1,8,2,1,1,0,57,64
Soul Axiom,PC,Wales Interactive Ltd.,Sci-Fi,No Online Multiplayer,,"Feb 29, 2016",3,10,5,1,0,2,57,62
Catlateral Damage,PS4,Manekoware,Action,,E,"Mar 22, 2016",1,6,3,0,1,0,57,51
Trials of the Blood Dragon,XONE,RedLynx,Action,,T,"Jun 13, 2016",3,12,4,1,0,2,57,59
MeiQ: Labyrinth of Death,VITA,Compile Heart,General,,T,"Sep 13, 2016",0,16,5,2,0,0,56,74
The Technomancer,PC,"Spidersoft, Spiders",Role-Playing,No Online Multiplayer,M,"Jun 28, 2016",1,25,8,22,10,2,56,66
Q*bert: Rebooted: The XBOX One @!#?@! Edition,XONE,GPC Games,Action,,E10+,"Feb 12, 2016",1,5,1,0,0,1,56,61
Lethal VR,PS4,Team 17,Action,,T,"Dec 20, 2016",2,12,2,2,1,1,56,49
Dangerous Golf,PS4,Three Fields Entertainment,Sports,Up to 8 ,E,"Jun  3, 2016",2,15,5,2,1,0,56,49
ADR1FT,PS4,Three One Zero,Action,,T,"Jul 15, 2016",0,17,4,0,3,3,56,51
Hardware: Rivals,PS4,SCEA,Simulation,Up to 10 ,E10+,"Jan  5, 2016",1,20,3,5,15,8,56,52
Verdun,PS4,"Abstraction Games, Blackmill Games",Action,Up to 32 ,M,"Aug 30, 2016",4,10,5,7,2,4,56,70
Shattered Skies,PC,Free Reign Entertainment,Action,,,"Jul 21, 2016",3,4,3,3,0,2,56,52
Syndrome,PC,Camel 101,Action,No Online Multiplayer,,"Oct  6, 2016",3,10,5,5,1,1,56,56
Table Top Racing: World Tour,PS4,Playrise Edge Ltd.,Racing,Up to 8 ,E,"May  3, 2016",0,9,3,13,14,7,55,63
SportsBarVR,PS4,"Cherry Pop Games, Perilous Orbit",Sports,Up to 12 ,E,"Oct 18, 2016",1,10,3,2,1,1,55,60
The Assembly,PC,nDreams,Miscellaneous,No Online Multiplayer,,"Jul 19, 2016",1,9,0,1,2,1,55,59
Touhou Genso Rondo: Bullet Ballet,PS4,"Mediascape, CUBETYPE",Action,2 ,E10+,"Sep  6, 2016",2,11,6,5,3,3,55,53
Bohemian Killing,PC,The Moonwalls,Adventure,No Online Multiplayer,,"Jul 21, 2016",2,4,5,4,1,1,55,59
Trials of the Blood Dragon,PS4,RedLynx,Action,,T,"Jun 13, 2016",1,20,9,1,2,3,55,63
Mighty No. 9,XONE,Inti Creates,Platformer,,E10+,"Jun 21, 2016",2,7,4,11,4,6,55,41
The Park,PS4,Funcom,Action Adventure,,M,"May  3, 2016",2,6,6,0,3,2,55,53
Teenage Mutant Ninja Turtles: Mutants in Manhattan,XONE,PlatinumGames,Action,,T,"May 24, 2016",0,10,4,2,1,1,55,60
A.W.: Phoenix Festa,VITA,Bandai Namco Games,Role-Playing,,T,"Jul 26, 2016",1,10,6,0,0,1,55,45
Homefront: The Revolution,PC,Deep Silver Dambuster Studios,Shooter,,M,"May 17, 2016",2,34,12,15,15,34,54,38
POSTAL Redux,PC,Running With Scissors,Action,Online Multiplayer,,"May 20, 2016",1,7,2,2,0,2,54,67
Gemini: Heroes Reborn,PC,Phosphor Games,Action Adventure,No Online Multiplayer,T,"Jan 18, 2016",1,9,3,4,2,1,54,56
The Tomorrow Children,PS4,Q-Games,Sci-Fi,,T,"Sep  6, 2016",3,33,13,7,6,5,54,58
Sadame,3DS,"Mebius, Intergrow",Role-Playing,,T,"Feb 25, 2016",1,11,3,2,0,0,54,62
Breached,PC,Drama Drifters,Adventure,No Online Multiplayer,,"Jun 22, 2016",1,11,5,0,1,0,54,70
E.T. Armies,PC,Raspina Studio,Action,,,"Mar  3, 2016",0,7,5,8,0,0,54,69
Dangerous Golf,PC,Three Fields Entertainment,Sports,,,"Jun  2, 2016",0,10,4,0,0,3,54,32
Trials of the Blood Dragon,PC,RedLynx,Action,No Online Multiplayer,T,"Jun 13, 2016",0,6,2,1,0,0,54,66
Assassin's Creed Chronicles: Russia,PC,"Climax Group, Climax Studios",Action Adventure,No Online Multiplayer,T,"Feb  9, 2016",1,6,4,2,3,5,53,48
Active Soccer 2 DX,XONE,The Fox Software,Action,,E,"Mar 30, 2016",1,5,2,2,1,0,53,72
Planar Conquest,PC,Wastelands Interactive,Strategy,No Online Multiplayer,,"May 30, 2016",0,6,2,6,0,2,53,61
Phantaruk,PC,Polyslash,Action Adventure,No Online Multiplayer,,"Aug 16, 2016",1,11,2,2,4,0,53,77
