title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90,80
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,82
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
Ask the StoryBots,TV-Y,Suitable for all ages.,10,2016,NA,82
The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,NA,82
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,NA,82
Angry Birds,TV-G,Suitable for all ages.,35,2013,NA,82
Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,NA,82
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
The Little Rascals,PG,some rude dialogue,60,1994,86,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64,80
Annie,PG,adult content and mld violence,60,1982,68,80
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85,80
Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,NA,82
Bee Movie,PG,mild suggestive humor,60,2007,94,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56,80
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,NA,82
DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88,80
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
Pocoyo,TV-Y,Suitable for all ages.,10,2007,67,80
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,80
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,80
Paddington,PG,mild action and rude humor,60,2014,70,80
Larva,TV-G,Suitable for all ages.,35,2015,NA,82
Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,NA,82
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
All Hail King Julien,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,71,80
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
Minions,PG,action and rude humor,60,2015,96,80
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
The Little Prince,PG,mild thematic elements,60,2015,71,80
Word Party,TV-Y,Suitable for all ages.,10,2016,NA,82
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
Home: Adventures with Tip & Oh,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,82
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
Finding Dory,PG,mild thematic elements,60,2016,98,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
Talking Tom and Friends,TV-G,Suitable for all ages.,35,2016,61,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
The Little Rascals,PG,some rude dialogue,60,1994,86,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
Lilo & Stitch,PG,mild sci-fi action,60,2002,95,80
Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75,80
Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92,80
Curious George,G,General Audiences. Suitable for all ages.,35,2006,55,80
Bee Movie,PG,mild suggestive humor,60,2007,94,80
Kung Fu Panda,PG,sequences of martial arts action,60,2008,91,80
Coraline,PG,"thematic elements, scary images, some language and suggestive humor",60,2009,95,80
Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74,80
Super Why!,TV-Y,Suitable for all ages.,10,2015,68,80
Jessie,TV-G,Suitable for all ages.,35,2015,88,80
Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65,80
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
Masha and the Bear,TV-Y,Suitable for all ages.,10,2013,81,80
Sofia the First,TV-Y,Suitable for all ages.,10,2015,82,80
Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85,80
Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,NA,82
Home,PG,mild action and some rude humor,60,2015,94,80
Paddington,PG,mild action and rude humor,60,2014,70,80
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
Minions,PG,action and rude humor,60,2015,96,80
Dragons: Race to the Edge,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,88,80
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
Kung Fu Panda 3,PG,martial arts action and some mild rude humor,60,2016,92,80
Bunk'd,TV-G,Suitable for all ages.,35,2016,61,80
Zootopia,PG,"some thematic elements, rude humor and action",60,2016,97,80
The Jungle Book,PG,for some sequences of scary action and peril,60,2016,97,80
Open Season: Scared Silly,PG,rude humor and some action,60,2015,72,80
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
The Angry Birds Movie,PG,for rude humor and action,60,2016,92,80
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
Pete's Dragon,PG,"for action, peril and brief language",60,2016,93,80
Kubo and the Two Strings,PG,"thematic elements, scary images, action and peril",60,2016,96,80
Goldie & Bear,TV-Y,Suitable for all ages.,10,2016,77,80
Little Baby Bum: Nursery Rhyme Friends,TV-Y,Suitable for all ages.,10,2016,NA,82
Growing Up Wild,G,,35,2016,80,80
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,NA,82
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,NA,82
The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
Ernest & Celestine,PG,some scary moments,60,2012,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
PopPixie,TV-G,Suitable for all ages.,35,2011,NA,82
Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,NA,82
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,NA,82
The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,NA,82
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
Quackerz,PG,"rude and suggestive humor, and some action",60,2016,NA,82
Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,NA,82
Blinky Bill: The Movie,PG,some rude humor,60,2015,NA,82
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
Flubber,PG,slapstick action and mild language,60,1997,83,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86,80
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70,80
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,NA,82
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,NA,82
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,NA,82
The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,NA,82
Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,NA,82
The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,NA,82
Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,NA,82
Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,NA,82
Pound Puppies,TV-Y,Suitable for all ages.,10,2013,NA,82
Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,NA,82
Monster Math Squad,TV-G,Suitable for all ages.,35,2012,NA,82
Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,NA,82
Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,NA,82
Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,NA,82
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,NA,82
Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,NA,82
Ribbit,PG,some peril,60,2014,NA,82
Chuggington,TV-Y,Suitable for all ages.,10,2015,NA,82
Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,NA,82
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
Kong: King of the Apes,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2016,NA,82
My Animal Friends,TV-Y,Suitable for all ages.,10,2013,NA,82
Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,NA,82
Puffin Rock,TV-Y,Suitable for all ages.,10,2016,NA,82
Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70,80
Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93,80
Dinotrux,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2017,NA,82
The Mr. Peabody and Sherman Show,TV-Y7,Suitable for children ages 7 and older,41,2017,NA,82
Zoobabu,TV-Y,Suitable for all ages.,10,2010,NA,82
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
Gon,TV-G,Suitable for all ages.,35,2013,NA,82
Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,NA,82
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
LEGO Jurassic World: The Indominus Escape,TV-Y7,Suitable for children ages 7 and older,41,2016,NA,82
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81,80
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95,80
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64,80
The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95,80
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,NA,82
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,NA,82
The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,NA,82
Ernest & Celestine,PG,some scary moments,60,2012,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
PopPixie,TV-G,Suitable for all ages.,35,2011,NA,82
Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,NA,82
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,NA,82
The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,NA,82
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,NA,82
Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84,80
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
Alice Through the Looking Glass,PG,fantasy action/peril and some language,60,2016,96,80
Quackerz,PG,"rude and suggestive humor, and some action",60,2016,NA,82
Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,NA,82
Blinky Bill: The Movie,PG,some rude humor,60,2015,NA,82
The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,NA,82
Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61,80
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,NA,82
Cats & Dogs,PG,animal action and humor,60,2001,NA,82
Atlantis: The Lost Empire,PG,action violence,60,2001,96,80
FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70,80
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,NA,82
Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79,80
The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,NA,82
The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,NA,82
Annie,PG,adult content and mld violence,60,1982,68,80
Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,NA,82
An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,NA,82
Batched,G,General Audiences. Suitable for all ages.,35,2000,NA,82
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,NA,82
The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,NA,82
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85,80
Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,NA,82
Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,NA,82
Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91,80
Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57,80
The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,NA,82
Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,NA,82
We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,NA,82
Ernest & Celestine,PG,some scary moments,60,2012,NA,82
Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72,80
Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,NA,82
Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,NA,82
Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,NA,82
The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57,80
Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,NA,82
The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,NA,82
Ribbit,PG,some peril,60,2014,NA,82
Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,NA,82
Octonauts,TV-Y,Suitable for all ages.,10,2015,NA,82
The Land Before Time XIV: Journey of the Brave,G,General Audiences. Suitable for all ages.,35,2016,NA,82
Quackerz,PG,"rude and suggestive humor, and some action",60,2016,NA,82
Growing Up Wild,G,,35,2016,80,80
Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81,80
Mr. Magoo,PG,mild language and action sequences,60,1997,NA,82
Flubber,PG,slapstick action and mild language,60,1997,83,80
Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93,80
Antz,PG,moderate adult language and intense action,60,1998,80,80
Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,NA,82
Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,NA,82
The Road to El Dorado,PG,mild thematic material and language,60,2000,91,80
Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,NA,82
An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67,80
Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58,80
Cats & Dogs,PG,animal action and humor,60,2001,NA,82
Baby's Day Out,PG,mild language and comic action,60,1994,71,80
Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,NA,82
Balto,G,General Audiences. Suitable for all ages.,35,1995,64,80
Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,NA,82
Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93,80
Heavyweights,PG,some rude language and pranks,60,1995,74,80
Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,NA,82
Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,NA,82
Annie,PG,adult content and mld violence,60,1982,68,80
An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,NA,82
D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70,80
"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80,80
The Iron Giant,PG,fantasy action and mild language,60,1999,83,80
The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,NA,82
Air Buddies,PG,"some mild, rude humor",60,2006,NA,82
Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,NA,82
Flicka 2,PG,some reckless behavior,60,2010,NA,82
H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74,80
The Gruffalo,TV-Y,Suitable for all ages.,10,2009,NA,82
Dolphin Tale,PG,some mild thematic elements,60,2011,NA,82
Pound Puppies,TV-Y,Suitable for all ages.,10,2013,NA,82
Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,NA,82
The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81,80
Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,NA,82
PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74,80
Mia and Me,TV-Y,Suitable for all ages.,10,2015,NA,82
Paddington,PG,mild action and rude humor,60,2014,70,80
Russell Madness,PG,some rude humor and sports action,60,2015,NA,82
My Animal Friends,TV-Y,Suitable for all ages.,10,2013,NA,82
Dawn of the Croods,TV-Y7,Suitable for children ages 7 and older,41,2017,72,80
Alpha and Omega: Dino Digs,TV-G,Suitable for all ages.,35,2016,NA,82
Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,NA,82
Pup Star,G,General Audiences. Suitable for all ages.,35,2016,NA,82
The BFG,PG,"for action/peril, some scary moments and brief rude humor",60,2016,97,80
The Secret Life of Pets,PG,for action and some rude humor,60,2016,NA,81
