Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
370,00:04:00.380000,Suzy Favor Hamilton,USA,1968-08-08,3,Monaco,2001-07-20,Women,1500 m
370,00:04:00.380000,Jennifer Simpson,USA,1986-08-23,1,Stockholm,2014-08-21,Women,1500 m
373,00:04:00.390000,Laura Muir,GBR,1993-05-09,1,Oslo,2015-06-11,Women,1500 m
374,00:04:00.400000,Mary Slaney,USA,1958-04-08,2,Los Angeles,1984-06-24,Women,1500 m
375,00:04:00.420000,Lyudmila Medvedyeva,RUS,1957-01-18,2,Baku,1984-09-14,Women,1500 m
375,00:04:00.420000,Jennifer Simpson,USA,1986-08-23,2,Shanghai,2014-05-18,Women,1500 m
377,00:04:00.430000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Monaco,2007-07-25,Women,1500 m
378,00:04:00.440000,Gelete Burka,ETH,1986-02-15,1,Eugene,2008-06-08,Women,1500 m
379,00:04:00.460000,Regina Jacobs,USA,1963-08-28,2,Indianapolis,1988-07-23,Women,1500 m
379,00:04:00.460000,Sonia O'Sullivan,IRL,1969-11-28,1,Stockholm,1994-07-12,Women,1500 m
379,00:04:00.460000,Viola Kibiwott,KEN,1983-12-22,3,Zürich,2014-08-28,Women,1500 m
382,00:04:00.470000,Kutre Dulecha,ETH,1978-08-22,3,Bruxelles,1998-08-28,Women,1500 m
382,00:04:00.470000,Yelena Soboleva,RUS,1982-03-10,1,Tula,2006-06-15,Women,1500 m
384,00:04:00.480000,Gelete Burka,ETH,1986-02-15,1,Eugene,2007-06-10,Women,1500 m
384,00:04:00.480000,Jennifer Simpson,USA,1986-08-23,1,Monaco,2013-07-19,Women,1500 m
386,00:04:00.490000,Hind Dehiba,FRA,1979-03-17,7,Rieti,2005-08-28,Women,1500 m
387,00:04:00.500000,Giana Romanova,RUS,1955-10-03,2,Moskva,1979-07-29,Women,1500 m
387,00:04:00.500000,Zamira Zaytseva,UZB,1953-02-16,1,Moskva,1984-07-20,Women,1500 m
387,00:04:00.500000,Liu Dong,CHN,1973-12-24,1,Stuttgart,1993-08-22,Women,1500 m
387,00:04:00.500000,Latifa Essarokh,FRA,1973-11-12,2,Lausanne,2006-07-11,Women,1500 m
391,00:04:00.510000,Mary Slaney,USA,1958-04-08,1,Zürich,1985-08-21,Women,1500 m
392,00:04:00.520000,Dawit Seyaum,ETH,1996-07-27,2,Shanghai,2017-05-13,Women,1500 m
393,00:04:00.530000,Svetlana Popova,UKR,1959-03-02,6,Kiev,1982-07-27,Women,1500 m
393,00:04:00.530000,Gabriela Szabo,ROU,1975-11-14,2,Zürich,1998-08-12,Women,1500 m
393,00:04:00.530000,Natalya Gorelova,RUS,1973-04-18,2,Zürich,2001-08-17,Women,1500 m
393,00:04:00.530000,Kristina Ugarova,RUS,1987-10-22,4,Moskva,2012-06-13,Women,1500 m
393,00:04:00.530000,Laura Muir,GBR,1993-05-09,2,Oslo,2016-06-09,Women,1500 m
398,00:04:00.550000,Grete Waitz,NOR,1953-01-10,5,Praha,1978-09-03,Women,1500 m
398,00:04:00.550000,Maricica Puica,ROU,1950-07-29,2,Zürich,1985-08-21,Women,1500 m
400,00:04:00.560000,Yekaterina Podkopayeva,RUS,1952-11-06,2,Kiev,1984-06-24,Women,1500 m
401,00:04:00.570000,Nadezhda Ralldugina,RUS,1957-11-15,3,Kiev,1984-06-24,Women,1500 m
401,00:04:00.570000,Christina Cahill,GBR,1957-03-25,1,Gateshead,1984-07-06,Women,1500 m
401,00:04:00.570000,Gabriela Szabo,ROU,1975-11-14,1,Edmonton,2001-08-07,Women,1500 m
404,00:04:00.580000,Grete Waitz,NOR,1953-01-10,2,Zürich,1979-08-15,Women,1500 m
404,00:04:00.580000,Yekaterina Rozenberg,RUS,1980-01-23,3,Bruxelles,2003-09-05,Women,1500 m
406,00:04:00.590000,Mayte Zúñiga,ESP,1964-12-28,6,Barcelona,1992-08-08,Women,1500 m
406,00:04:00.590000,Yekaterina Rozenberg,RUS,1980-01-23,4,Saint-Denis,2003-08-31,Women,1500 m
406,00:04:00.590000,Anna Jakubczak,POL,1973-02-02,8,Rieti,2005-08-28,Women,1500 m
406,00:04:00.590000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Monaco,2011-07-22,Women,1500 m
410,00:04:00.600000,Tamara Sorokina,RUS,1950-08-15,2,Sochi,1980-05-23,Women,1500 m
410,00:04:00.600000,Andrea Hahmann,GER,1966-03-06,1,Berlin,1987-08-12,Women,1500 m
410,00:04:00.600000,Zahra Ouaziz,MAR,1969-12-20,1,Stuttgart,1998-07-19,Women,1500 m
410,00:04:00.600000,Carla Sacramento,POR,1971-10-12,3,Zürich,1998-08-12,Women,1500 m
410,00:04:00.600000,Kutre Dulecha,ETH,1978-08-22,4,Oslo,2000-07-28,Women,1500 m
410,00:04:00.600000,Natalya Yevkodimova,RUS,1978-03-17,3,Monaco,2005-09-09,Women,1500 m
416,00:04:00.610000,Laura Muir,GBR,1993-05-09,4,Roma,2015-06-04,Women,1500 m
417,00:04:00.620000,Ulrike Bruns,GDR,1953-11-17,5,Moskva,1980-08-01,Women,1500 m
417,00:04:00.620000,Maria Radu,ROU,1959-05-25,2,Bucuresti,1983-06-04,Women,1500 m
417,00:04:00.620000,Natalya Boborova,RUS,1959-12-02,2,Moskva,1984-07-20,Women,1500 m
420,00:04:00.630000,Natalya Boborova,RUS,1959-12-02,3,Moskva,1984-08-03,Women,1500 m
420,00:04:00.630000,Andrea Hahmann,GER,1966-03-06,5,Roma,1987-09-05,Women,1500 m
420,00:04:00.630000,Yelena Zadorozhnaya,RUS,1977-03-12,1,Paris,2002-09-14,Women,1500 m
420,00:04:00.630000,Olga Yegorova,RUS,1972-03-28,2,Tula,2005-07-13,Women,1500 m
424,00:04:00.640000,Christina Cahill,GBR,1957-03-25,4,Seoul,1988-10-01,Women,1500 m
425,00:04:00.650000,Zhang Lirong,CHN,1973-03-03,2,Beijing,1993-09-10,Women,1500 m
425,00:04:00.650000,Daniela Yordanova,BUL,1976-08-03,5,Zürich,2002-08-16,Women,1500 m
425,00:04:00.650000,Besu Sado,ETH,1996-12-01,7,Monaco,2015-07-17,Women,1500 m
428,00:04:00.660000,Laima Baikauskaité,LTU,1956-10-06,1,Kiev,1988-08-02,Women,1500 m
428,00:04:00.660000,Jackline Maranga,KEN,1977-12-16,5,Roma,1998-07-14,Women,1500 m
428,00:04:00.660000,Dawit Seyaum,ETH,1996-07-27,2,New York City,2014-06-14,Women,1500 m
431,00:04:00.670000,Natalya Artyomova,RUS,1963-05-01,1,Barcelona,1991-09-20,Women,1500 m
431,00:04:00.670000,Natalya Gorelova,RUS,1973-04-18,3,Bruxelles,2001-08-24,Women,1500 m
431,00:04:00.670000,Elvan Abeylegesse,TUR,1982-11-09,8,Athínai,2004-08-28,Women,1500 m
431,00:04:00.670000,Latifa Essarokh,FRA,1973-11-12,3,Saint-Denis,2006-07-08,Women,1500 m
431,00:04:00.670000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Athínai,2008-07-13,Women,1500 m
431,00:04:00.670000,Gelete Burka,ETH,1986-02-15,1,Lausanne,2009-07-07,Women,1500 m
431,00:04:00.670000,Sifan Hassan,NED,1993-01-01,1,Glasgow,2014-07-11,Women,1500 m
438,00:04:00.680000,Natalya Artyomova,RUS,1963-05-01,3,Rieti,1984-09-02,Women,1500 m
438,00:04:00.680000,Gelete Burka,ETH,1986-02-15,1,Saint-Denis,2007-07-06,Women,1500 m
440,00:04:00.690000,Irina Lishchinskaya,UKR,1976-01-15,2,Osaka,2007-09-02,Women,1500 m
441,00:04:00.700000,Tamara Sorokina,RUS,1950-08-15,2,Krasnodar,1983-05-30,Women,1500 m
441,00:04:00.700000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Bruxelles,2007-09-14,Women,1500 m
441,00:04:00.700000,Nancy Jebet Langat,KEN,1981-08-22,1,Stockholm,2010-08-06,Women,1500 m
444,00:04:00.720000,Sifan Hassan,NED,1993-01-01,4,Zürich,2014-08-28,Women,1500 m
445,00:04:00.730000,Kirsty Wade,GBR,1962-06-08,1,Gateshead,1987-07-26,Women,1500 m
445,00:04:00.730000,Doina Melinte,ROU,1956-12-27,1,Bucuresti,1992-06-24,Women,1500 m
445,00:04:00.730000,Gabriela Szabo,ROU,1975-11-14,1,Eugene,2000-06-24,Women,1500 m
448,00:04:00.750000,Natalya Artyomova,RUS,1963-05-01,1,Lausanne,1991-07-10,Women,1500 m
449,00:04:00.760000,Alesya Turova,BLR,1979-06-12,2,Bruxelles,2002-08-30,Women,1500 m
449,00:04:00.760000,Viola Kibiwott,KEN,1983-12-22,4,Ad-Dawhah,2013-05-10,Women,1500 m
451,00:04:00.770000,Mariem Alaoui Selsouli,MAR,1984-08-04,2,Bruxelles,2011-09-16,Women,1500 m
452,00:04:00.780000,Ulrike Bruns,GDR,1953-11-17,5,Athínai,1982-09-11,Women,1500 m
453,00:04:00.790000,Yekaterina Podkopayeva,RUS,1952-11-06,1,Leningrad,1983-07-26,Women,1500 m
453,00:04:00.790000,Zola Pieterse,GBR,1966-05-26,3,Zürich,1985-08-21,Women,1500 m
453,00:04:00.790000,Suzy Favor Hamilton,USA,1968-08-08,2,Eugene,2000-06-24,Women,1500 m
456,00:04:00.800000,Olga Dvirna,RUS,1953-11-02,1,Kaunas,1979-08-12,Women,1500 m
456,00:04:00.800000,Lyubov Smolka,UKR,1952-11-29,3,Sochi,1980-05-23,Women,1500 m
456,00:04:00.800000,Yekaterina Podkopayeva,RUS,1952-11-06,1,Moskva,1980-07-12,Women,1500 m
456,00:04:00.800000,Tamara Sorokina,RUS,1950-08-15,1,Rieti,1981-09-09,Women,1500 m
456,00:04:00.800000,Violeta Szekely,ROU,1965-03-26,1,Berlin,2001-08-31,Women,1500 m
461,00:04:00.810000,Jackline Maranga,KEN,1977-12-16,1,Bratislava,1998-06-09,Women,1500 m
461,00:04:00.810000,Natalya Pantelyeva,RUS,1983-08-18,2,Tula,2006-06-15,Women,1500 m
461,00:04:00.810000,Shannon Rowbury,USA,1984-09-19,4,Zürich,2009-08-28,Women,1500 m
464,00:04:00.820000,Daniela Yordanova,BUL,1976-08-03,3,Osaka,2007-09-02,Women,1500 m
465,00:04:00.830000,Zamira Zaytseva,UZB,1953-02-16,1,Leningrad,1981-07-11,Women,1500 m
465,00:04:00.830000,Doina Melinte,ROU,1956-12-27,1,Frankfurt,1991-06-30,Women,1500 m
465,00:04:00.830000,Svetlana Masterkova,RUS,1968-01-17,1,Atlanta,1996-08-03,Women,1500 m
468,00:04:00.840000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Athínai,2006-09-17,Women,1500 m
469,00:04:00.850000,Doina Melinte,ROU,1956-12-27,2,Bruxelles,1988-08-19,Women,1500 m
469,00:04:00.850000,Genzebe Dibaba,ETH,1991-08-02,3,Roma,2012-05-31,Women,1500 m
471,00:04:00.860000,Lynn Williams,CAN,1960-11-07,5,Seoul,1988-10-01,Women,1500 m
471,00:04:00.860000,Kutre Dulecha,ETH,1978-08-22,6,Roma,1998-07-14,Women,1500 m
471,00:04:00.860000,Oksana Zbrozhek,RUS,1978-12-01,2,Cheboksary,2009-07-26,Women,1500 m
474,00:04:00.870000,Mary Slaney,USA,1958-04-08,1,Philadelphia,1980-07-17,Women,1500 m
474,00:04:00.870000,Sifan Hassan,NED,1993-01-01,2,London,2016-07-22,Women,1500 m
476,00:04:00.880000,Anita Weyermann,SUI,1977-08-12,7,Roma,1998-07-14,Women,1500 m
477,00:04:00.890000,Doina Melinte,ROU,1956-12-27,2,Zürich,1989-08-16,Women,1500 m
477,00:04:00.890000,Yekaterina Podkopayeva,RUS,1952-11-06,1,Monaco,1994-08-02,Women,1500 m
479,00:04:00.900000,Mary Slaney,USA,1958-04-08,1,Helsinki,1983-08-14,Women,1500 m
480,00:04:00.910000,Yelena Romanova,RUS,1963-03-20,1,Monaco,1992-08-11,Women,1500 m
480,00:04:00.910000,Tatyana Tomashova,RUS,1975-01-07,3,Zürich,2003-08-15,Women,1500 m
482,00:04:00.920000,Kutre Dulecha,ETH,1978-08-22,2,Zürich,2000-08-11,Women,1500 m
482,00:04:00.920000,Violeta Szekely,ROU,1965-03-26,1,Roma,2001-06-29,Women,1500 m
484,00:04:00.930000,Sarah Jamieson,AUS,1975-03-24,2,Stockholm,2006-07-25,Women,1500 m
484,00:04:00.930000,Helen Obiri,KEN,1989-12-13,2,Monaco,2013-07-19,Women,1500 m
486,00:04:00.940000,Carla Sacramento,POR,1971-10-12,3,Zürich,2001-08-17,Women,1500 m
486,00:04:00.940000,Brenda Martinez,USA,1987-08-09,3,Monaco,2013-07-19,Women,1500 m
486,00:04:00.940000,Abeba Aregawi,SWE,1990-05-07,2,Glasgow,2014-07-11,Women,1500 m
486,00:04:00.940000,Faith Kipyegon,KEN,1994-10-01,2,Oslo,2015-06-11,Women,1500 m
490,00:04:00.950000,Mariem Alaoui Selsouli,MAR,1984-08-04,3,Monaco,2009-07-28,Women,1500 m
491,00:04:00.960000,Irina Lebedinskaya,RUS,1961-06-16,7,Kiev,1982-07-27,Women,1500 m
491,00:04:00.960000,Andrea Hahmann,GER,1966-03-06,6,Seoul,1988-10-01,Women,1500 m
491,00:04:00.960000,Zhang Lirong,CHN,1973-03-03,2,Jinan,1993-06-02,Women,1500 m
491,00:04:00.960000,Kutre Dulecha,ETH,1978-08-22,3,Sevilla,1999-08-29,Women,1500 m
491,00:04:00.960000,Dawit Seyaum,ETH,1996-07-27,1,Ad-Dawhah,2015-05-15,Women,1500 m
496,00:04:00.970000,Kalkidan Gezahegne,ETH,1991-08-05,2,Hengelo,2011-05-29,Women,1500 m
497,00:04:00.980000,Violeta Szekely,ROU,1965-03-26,4,Sevilla,1999-08-29,Women,1500 m
497,00:04:00.980000,Tatyana Tomashova,RUS,1975-01-07,4,Saint-Denis,2006-07-08,Women,1500 m
497,00:04:00.980000,Jennifer Simpson,USA,1986-08-23,1,Eugene,2015-05-30,Women,1500 m
500,00:04:00.990000,Natalya Boborova,RUS,1959-12-02,4,Leningrad,1981-07-26,Women,1500 m
500,00:04:00.990000,Violeta Szekely,ROU,1965-03-26,2,Bruxelles,2000-08-25,Women,1500 m
502,00:04:01,Lyubov Smolka,UKR,1952-11-29,4,Moskva,1980-06-12,Women,1500 m
502,00:04:01,Kutre Dulecha,ETH,1978-08-22,4,Zürich,1998-08-12,Women,1500 m
502,00:04:01,Olga Yegorova,RUS,1972-03-28,1,Roma,2003-07-11,Women,1500 m
502,00:04:01,Genzebe Dibaba,ETH,1991-08-02,2,Stockholm,2014-08-21,Women,1500 m
502,00:04:01,Sofia Ennaoui,POL,1995-08-30,8,Saint-Denis,2016-08-27,Women,1500 m
507,00:04:01.010000,Natalya Artyomova,RUS,1963-05-01,2,Frankfurt,1991-06-30,Women,1500 m
507,00:04:01.010000,Regina Jacobs,USA,1963-08-28,1,Sacramento,2000-07-16,Women,1500 m
507,00:04:01.010000,Alesya Turova,BLR,1979-06-12,1,Monaco,2002-07-19,Women,1500 m
507,00:04:01.010000,Christin Wurth-Thomas,USA,1980-11-07,5,Zürich,2009-08-28,Women,1500 m
507,00:04:01.010000,Nancy Jebet Langat,KEN,1981-08-22,1,Zürich,2010-08-19,Women,1500 m
512,00:04:01.020000,Svetlana Kitova,TJK,1960-06-25,2,Kiev,1988-08-02,Women,1500 m
512,00:04:01.020000,Regina Jacobs,USA,1963-08-28,2,Monaco,2002-07-19,Women,1500 m
512,00:04:01.020000,Yelena Gorbunova,RUS,1989-01-17,1,Barcelona,2011-07-22,Women,1500 m
515,00:04:01.030000,Paula Ivan,ROU,1963-07-20,1,Bucuresti,1987-05-23,Women,1500 m
515,00:04:01.030000,Abebe Arigawi,ETH,1990-05-07,1,London,2012-08-08,Women,1500 m
517,00:04:01.040000,Mariem Alaoui Selsouli,MAR,1984-08-04,1,Rieti,2011-09-10,Women,1500 m
518,00:04:01.050000,Lyubov Kremlyova,RUS,1961-12-21,2,Monaco,1994-08-02,Women,1500 m
518,00:04:01.050000,Hassiba Boulmerka,ALG,1968-10-07,1,London,1994-09-09,Women,1500 m
518,00:04:01.050000,Sonia O'Sullivan,IRL,1969-11-28,2,Bratislava,1998-06-09,Women,1500 m
521,00:04:01.060000,Regina Jacobs,USA,1963-08-28,3,Bruxelles,2002-08-30,Women,1500 m
522,00:04:01.070000,Hind Dehiba,FRA,1979-03-17,3,Rieti,2010-08-29,Women,1500 m
523,00:04:01.080000,Sonia O'Sullivan,IRL,1969-11-28,4,Bruxelles,1998-08-28,Women,1500 m
523,00:04:01.080000,Suzy Favor Hamilton,USA,1968-08-08,2,Paris,2002-09-14,Women,1500 m
523,00:04:01.080000,Faith Kipyegon,KEN,1994-10-01,2,Eugene,2013-06-01,Women,1500 m
526,00:04:01.090000,Ibtissam Lakhouad,MAR,1980-07-12,2,Monaco,2011-07-22,Women,1500 m
527,00:04:01.100000,Valentina Ilyinykh,RUS,1956-12-12,3,Moskva,1979-07-29,Women,1500 m
527,00:04:01.100000,Doina Melinte,ROU,1956-12-27,1,Köln,1986-08-17,Women,1500 m
527,00:04:01.100000,Sandra Gasser,SUI,1962-07-27,1,Oslo,1987-07-04,Women,1500 m
527,00:04:01.100000,Helen Clitheroe,GBR,1974-02-01,3,Monaco,2002-07-19,Women,1500 m
531,00:04:01.130000,Kelly Holmes,GBR,1970-04-19,2,Oslo,1996-07-05,Women,1500 m
532,00:04:01.140000,Yelena Soboleva,RUS,1982-03-10,3,Tula,2005-07-13,Women,1500 m
532,00:04:01.140000,Yelena Soboleva,RUS,1982-03-10,2,Zhukovskiy,2012-06-17,Women,1500 m
534,00:04:01.150000,Maricica Puica,ROU,1950-07-29,1,Nice,1986-07-15,Women,1500 m
534,00:04:01.150000,Svetlana Masterkova,RUS,1968-01-17,5,Oslo,2000-07-28,Women,1500 m
534,00:04:01.150000,Olga Yegorova,RUS,1972-03-28,1,Roma,2004-07-02,Women,1500 m
537,00:04:01.170000,Mary Slaney,USA,1958-04-08,1,Stuttgart,1980-07-12,Women,1500 m
537,00:04:01.170000,Tatyana Pozdnyakova,UKR,1956-04-03,4,Kiev,1984-06-24,Women,1500 m
537,00:04:01.170000,Tatyana Dorovskikh,UKR,1961-12-08,2,Monaco,1992-08-11,Women,1500 m
537,00:04:01.170000,Fanjanteino Félix,FRA,1980-01-26,4,Saint-Denis,2010-07-16,Women,1500 m
537,00:04:01.170000,Hind Dehiba,FRA,1979-03-17,2,Barcelona,2010-08-01,Women,1500 m
542,00:04:01.180000,Anna Bukis,POL,1953-08-09,1,Pescara,1981-08-02,Women,1500 m
542,00:04:01.180000,Carla Sacramento,POR,1971-10-12,6,Oslo,2000-07-28,Women,1500 m
542,00:04:01.180000,Violeta Szekely,ROU,1965-03-26,3,Zürich,2000-08-11,Women,1500 m
542,00:04:01.180000,Hayley Tullett,GBR,1973-02-17,4,Zürich,2003-08-15,Women,1500 m
546,00:04:01.190000,Zamira Zaytseva,UZB,1953-02-16,2,Helsinki,1983-08-14,Women,1500 m
546,00:04:01.190000,Ravilya Agletdinova,BLR,1960-10-02,1,Stuttgart,1986-08-31,Women,1500 m
546,00:04:01.190000,Tatyana Tomashova,RUS,1975-01-07,1,Tula,2003-08-10,Women,1500 m
546,00:04:01.190000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Stockholm,2012-08-17,Women,1500 m
546,00:04:01.190000,Sifan Hassan,NED,1993-01-01,3,Shanghai,2014-05-18,Women,1500 m
551,00:04:01.200000,Yekaterina Podkopayeva,RUS,1952-11-06,1,Sochi,1980-05-23,Women,1500 m
551,00:04:01.200000,Ulrike Bruns,GDR,1953-11-17,2,Potsdam,1980-07-05,Women,1500 m
551,00:04:01.200000,Lyudmila Shesterova,UKR,1956-12-10,2,Moskva,1980-07-12,Women,1500 m
551,00:04:01.200000,Maricica Puica,ROU,1950-07-29,1,Oslo,1986-07-05,Women,1500 m
551,00:04:01.200000,Yvonne Murray,GBR,1964-04-10,2,Oslo,1987-07-04,Women,1500 m
556,00:04:01.210000,Tatyana Tomashova,RUS,1975-01-07,2,Monaco,2006-08-20,Women,1500 m
557,00:04:01.220000,Galina Kireyeva,RUS,1956-01-03,8,Kiev,1982-07-27,Women,1500 m
557,00:04:01.220000,Tamara Sorokina,RUS,1950-08-15,6,Athínai,1982-09-11,Women,1500 m
557,00:04:01.220000,Lyudmila Rogachova,RUS,1966-10-10,1,Noisy-le-Grand,1992-07-04,Women,1500 m
557,00:04:01.220000,Jackline Maranga,KEN,1977-12-16,4,Bruxelles,2003-09-05,Women,1500 m
561,00:04:01.230000,Tatyana Kazankina,RUS,1951-12-17,2,Leningrad,1983-07-26,Women,1500 m
561,00:04:01.230000,Sonia O'Sullivan,IRL,1969-11-28,2,Zürich,1992-08-19,Women,1500 m
561,00:04:01.230000,Hayley Tullett,GBR,1973-02-17,7,Oslo,2000-07-28,Women,1500 m
561,00:04:01.230000,Nouria Mérah-Benida,ALG,1970-10-19,3,Bruxelles,2000-08-25,Women,1500 m
561,00:04:01.230000,Maryam Yusuf Jamal,BRN,1984-09-16,1,Stuttgart,2007-09-22,Women,1500 m
561,00:04:01.230000,Lisa Dobriskey,GBR,1983-12-23,1,Rieti,2009-09-06,Women,1500 m
567,00:04:01.240000,Doina Melinte,ROU,1956-12-27,2,Zürich,1988-08-17,Women,1500 m
568,00:04:01.250000,Gabriella Dorio,ITA,1957-06-26,6,Praha,1978-09-03,Women,1500 m
568,00:04:01.250000,Lyubov Smolka,UKR,1952-11-29,6,Moskva,1980-08-01,Women,1500 m
570,00:04:01.260000,Maricica Puica,ROU,1950-07-29,7,Moskva,1980-08-01,Women,1500 m
570,00:04:01.260000,Carla Sacramento,POR,1971-10-12,4,Monaco,2001-07-20,Women,1500 m
570,00:04:01.260000,Judit Varga,HUN,1976-04-16,6,Zürich,2002-08-16,Women,1500 m
570,00:04:01.260000,Mercy Cherono,KEN,1991-07-05,2,Eugene,2015-05-30,Women,1500 m
574,00:04:01.280000,Lyubov Kremlyova,RUS,1961-12-21,3,Monaco,1992-08-11,Women,1500 m
574,00:04:01.280000,Tatyana Tomashova,RUS,1975-01-07,3,München,2002-08-11,Women,1500 m
574,00:04:01.280000,Bouchra Ghézielle,FRA,1979-05-19,4,Monaco,2005-09-09,Women,1500 m
574,00:04:01.280000,Shannon Rowbury,USA,1984-09-19,4,Monaco,2013-07-19,Women,1500 m
578,00:04:01.290000,Christiane Wartenberg,GDR,1956-10-27,2,Los Angeles,1983-06-25,Women,1500 m
578,00:04:01.290000,Carla Sacramento,POR,1971-10-12,5,Sevilla,1999-08-29,Women,1500 m
578,00:04:01.290000,Gulnara Galkina,RUS,1978-09-07,1,Tula,2004-08-01,Women,1500 m
578,00:04:01.290000,Maryam Yusuf Jamal,BRN,1984-09-16,2,Rieti,2009-09-06,Women,1500 m
582,00:04:01.300000,Natalia Rodríguez,ESP,1979-02-06,2,Roma,2003-07-11,Women,1500 m
582,00:04:01.300000,Shannon Rowbury,USA,1984-09-19,5,Saint-Denis,2010-07-16,Women,1500 m
582,00:04:01.300000,Natalia Rodríguez,ESP,1979-02-06,3,Barcelona,2010-08-01,Women,1500 m
585,00:04:01.310000,Andrea Hahmann,GER,1966-03-06,1,Potsdam,1988-09-08,Women,1500 m
585,00:04:01.310000,Carla Sacramento,POR,1971-10-12,2,Berlin,2001-08-31,Women,1500 m
585,00:04:01.310000,Olga Yegorova,RUS,1972-03-28,3,Tula,2006-06-15,Women,1500 m
585,00:04:01.310000,Viola Kibiwott,KEN,1983-12-22,4,Shanghai,2014-05-18,Women,1500 m
589,00:04:01.320000,Paula Ivan,ROU,1963-07-20,1,Zagreb,1987-07-16,Women,1500 m
590,00:04:01.330000,Siham Hilali,MAR,1986-02-05,3,Hengelo,2011-05-29,Women,1500 m
591,00:04:01.340000,Margaret Crowley,AUS,1967-05-25,3,Oslo,1996-07-05,Women,1500 m
591,00:04:01.340000,Meraf Bahta,SWE,1989-06-24,5,Zürich,2014-08-28,Women,1500 m
593,00:04:01.350000,Carla Sacramento,POR,1971-10-12,4,Bruxelles,2002-08-30,Women,1500 m
594,00:04:01.360000,Lidia Chojecka,POL,1977-01-25,3,Zürich,1999-08-11,Women,1500 m
594,00:04:01.360000,Brenda Martinez,USA,1987-08-09,6,Zürich,2014-08-28,Women,1500 m
596,00:04:01.370000,Tamara Sorokina,RUS,1950-08-15,1,Zagreb,1981-08-16,Women,1500 m
596,00:04:01.370000,Svetlana Masterkova,RUS,1968-01-17,1,Oslo,1998-07-09,Women,1500 m
598,00:04:01.380000,Lyudmila Bragina,RUS,1943-07-24,1,München,1972-09-09,Women,1500 m
598,00:04:01.380000,Ulrike Bruns,GDR,1953-11-17,1,Erfurt,1984-06-03,Women,1500 m
598,00:04:01.380000,Elizabeth McColgan,GBR,1964-05-24,3,Oslo,1987-07-04,Women,1500 m
598,00:04:01.380000,Judit Varga,HUN,1976-04-16,4,Monaco,2002-07-19,Women,1500 m
598,00:04:01.380000,Yelena Zadorozhnaya,RUS,1977-03-12,2,Roma,2004-07-02,Women,1500 m
603,00:04:01.400000,Gunhild Hoffmeister,GDR,1944-06-07,2,Potsdam,1976-07-14,Women,1500 m
603,00:04:01.400000,Olga Dvirna,RUS,1953-11-02,4,Moskva,1979-07-29,Women,1500 m
603,00:04:01.400000,Valentina Ilyinykh,RUS,1956-12-12,2,Kaunas,1979-08-12,Women,1500 m
603,00:04:01.400000,Irina Lebedinskaya,RUS,1961-06-16,3,Krasnodar,1983-05-30,Women,1500 m
603,00:04:01.400000,Doina Melinte,ROU,1956-12-27,2,Bucuresti,1982-07-31,Women,1500 m
603,00:04:01.400000,Doina Melinte,ROU,1956-12-27,2,Lausanne,1991-07-10,Women,1500 m
603,00:04:01.400000,Maryam Yusuf Jamal,BRN,1984-09-16,3,Bruxelles,2011-09-16,Women,1500 m
603,00:04:01.400000,Sifan Hassan,NED,1993-01-01,2,Ad-Dawhah,2015-05-15,Women,1500 m
611,00:04:01.410000,Kirsty Wade,GBR,1962-06-08,6,Roma,1987-09-05,Women,1500 m
611,00:04:01.410000,Kelly Holmes,GBR,1970-04-19,1,Sheffield,1994-06-12,Women,1500 m
611,00:04:01.410000,Olga Yegorova,RUS,1972-03-28,1,Lausanne,2004-07-06,Women,1500 m
611,00:04:01.410000,Nancy Jebet Langat,KEN,1981-08-22,3,Eugene,2013-06-01,Women,1500 m
611,00:04:01.410000,Viola Kibiwott,KEN,1983-12-22,5,Roma,2015-06-04,Women,1500 m
616,00:04:01.420000,Kristina da Fonseca-Wöllheim,GER,1972-10-02,8,Roma,1998-07-14,Women,1500 m
616,00:04:01.420000,Olga Nelyubova,RUS,1964-12-06,9,Monaco,1998-08-08,Women,1500 m
616,00:04:01.420000,Olga Yegorova,RUS,1972-03-28,1,Kazan,2004-07-09,Women,1500 m
619,00:04:01.430000,Fita Lovin,ROU,1951-01-14,2,Bucuresti,1984-07-12,Women,1500 m
619,00:04:01.430000,Zamira Zaytseva,UZB,1953-02-16,4,Moskva,1984-08-03,Women,1500 m
619,00:04:01.430000,Anna Jakubczak,POL,1973-02-02,4,Zürich,1999-08-11,Women,1500 m
619,00:04:01.430000,Lidia Chojecka,POL,1977-01-25,5,Göteborg,2006-08-13,Women,1500 m
619,00:04:01.430000,Helen Obiri,KEN,1989-12-13,4,Saint-Denis,2012-07-06,Women,1500 m
624,00:04:01.440000,Ulrike Bruns,GDR,1953-11-17,2,Jena,1981-08-09,Women,1500 m
624,00:04:01.440000,Yvonne Murray,GBR,1964-04-10,2,Sheffield,1994-06-12,Women,1500 m
624,00:04:01.440000,Kristina da Fonseca-Wöllheim,GER,1972-10-02,5,Zürich,1999-08-11,Women,1500 m
