CountryCode,IOC,FIFA,ShortName,TableName,LongName,Alpha2Code,CurrencyUnit,SpecialNotes,Region,IncomeGroup,Wb2Code,NationalAccountsBaseYear,NationalAccountsReferenceYear,SnaPriceValuation,LendingCategory,OtherGroups,SystemOfNationalAccounts,AlternativeConversionFactor,PppSurveyYear,BalanceOfPaymentsManualInUse,ExternalDebtReportingStatus,SystemOfTrade,GovernmentAccountingConcept,ImfDataDisseminationStandard,LatestPopulationCensus,LatestHouseholdSurvey,SourceOfMostRecentIncomeAndExpenditureData,VitalRegistrationComplete,LatestAgriculturalCensus,LatestIndustrialData,LatestTradeData,LatestWaterWithdrawalData
JOR,JOR,JOR,Jordan,Jordan,Hashemite Kingdom of Jordan,JO,Jordanian dinar,NA,Middle East & North Africa,Upper middle income,JO,1994,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,Special Data Dissemination Standard (SDDS),2004,"Demographic and Health Survey (DHS), 2012","Expenditure survey/budget survey (ES/BS), 2010",NA,2007,2011,2013,2005
KAZ,KAZ,KAZ,Kazakhstan,Kazakhstan,Republic of Kazakhstan,KZ,Kazakh tenge,The new reference year for chain linked series is 2005.,Europe & Central Asia,Upper middle income,KZ,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,198795,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2010/11","Expenditure survey/budget survey (ES/BS), 2013",Yes,NA,NA,2013,2010
KEN,KEN,KEN,Kenya,Kenya,Republic of Kenya,KE,Kenyan shilling,Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2009.,Sub-Saharan Africa,Lower middle income,KE,2009,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2014","Integrated household survey (IHS), 2005/06",NA,2009. Population and Housing Census.,2011,2010,2003
KIR,KIR,NA,Kiribati,Kiribati,Republic of Kiribati,KI,Australian dollar,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",East Asia & Pacific,Lower middle income,KI,2006,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2010,"Kiribati Demographic and Health Survey (KDHS), 2009",NA,NA,NA,NA,2012,NA
KOR,KOR,KOR,Korea,"Korea, Rep.",Republic of Korea,KR,Korean won,The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,East Asia & Pacific,High income: OECD,KR,2010,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,NA,"Expenditure survey/budget survey (ES/BS), 1998",Yes,2010,2009,2013,2002
KSV,NA,NA,Kosovo,Kosovo,Republic of Kosovo,NA,Euro,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",Europe & Central Asia,Lower middle income,XK,2008,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,Actual,NA,NA,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2013/14","Integrated household survey (IHS), 2011",NA,NA,NA,NA,NA
KWT,KUW,KUW,Kuwait,Kuwait,State of Kuwait,KW,Kuwaiti dinar,Fiscal year end: June 30; reporting period for national accounts data: CY. Based on official government statistics; the new base year is 2010.,Middle East & North Africa,High income: nonOECD,KW,2010,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Family Health Survey (FHS), 1996",NA,Yes,NA,2011,2013,2002
KGZ,KGZ,KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,KG,Kyrgyz som,NA,Europe & Central Asia,Lower middle income,KG,Original chained constant price data are rescaled.,1995,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2009,"Multiple Indicator Cluster Survey (MICS), 2014","Expenditure survey/budget survey (ES/BS), 2013",Yes,2014,2010,2013,2006
LAO,LAO,LAO,Lao PDR,Lao PDR,Lao People's Democratic Republic,LA,Lao kip,NA,East Asia & Pacific,Lower middle income,LA,2002,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,NA,2005,"Multiple Indicator Cluster Survey (MICS), 2011/12","Expenditure survey/budget survey (ES/BS), 2012",NA,2010/11,NA,NA,2005
LCN,NA,NA,Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels),ZJ,NA,Latin America and Caribbean regional aggregate (including high-income economies).,NA,NA,ZJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAC,NA,NA,Latin America & Caribbean (developing only),Latin America & Caribbean,Latin America & Caribbean (developing only),XJ,NA,Latin America and Caribbean regional aggregate (does not include high-income economies).,NA,NA,XJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVA,LAT,LVA,Latvia,Latvia,Republic of Latvia,LV,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2014: 1 euro = 0.702804 Latvian lats. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: nonOECD,LV,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,198795,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2010,2011,2013,2002
LDC,NA,NA,Least developed countries: UN classification,Least developed countries: UN classification,Least developed countries: UN classification,XL,NA,Least developed countries (UN classification) aggregate.,NA,NA,XL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBN,LBN,LIB,Lebanon,Lebanon,Lebanese Republic,LB,Lebanese pound,NA,Middle East & North Africa,Upper middle income,LB,1997,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),1943,"Family Health Survey (FHS), 2004",NA,Yes,2011,2007,2013,2005
LSO,LES,LES,Lesotho,Lesotho,Kingdom of Lesotho,LS,Lesotho loti,Fiscal year end: March 31; reporting period for national accounts data: CY.,Sub-Saharan Africa,Lower middle income,LS,2004,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2014","Expenditure survey/budget survey (ES/BS), 2010",NA,2010,NA,2009,2e3
LBR,LBR,LBR,Liberia,Liberia,Republic of Liberia,LR,U.S. dollar,National accounts local currency data have been revised to be reported in U.S. dollars.,Sub-Saharan Africa,Low income,LR,2000,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2013","Core Welfare Indicator Questionnaire Survey (CWIQ), 2007",NA,2008. Population and Housing Census.,NA,NA,2e3
LBY,LBA,LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,Libyan dinar,National accounts data are revised from 2010 to 2013 based on IMF and World Bank staff estimates.,Middle East & North Africa,Upper middle income,LY,2003,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,1986,NA,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,NA,General Data Dissemination System (GDDS),2006,"Family Health Survey (FHS), 2007",NA,NA,2013/2014,NA,2010,2e3
LIE,LIE,LIE,Liechtenstein,Liechtenstein,Principality of Liechtenstein,LI,Swiss franc,NA,Europe & Central Asia,High income: nonOECD,LI,1990,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,NA,Special trade system,NA,NA,2010,NA,NA,Yes,NA,NA,NA,NA
LTU,LTU,LTU,Lithuania,Lithuania,Republic of Lithuania,LT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: nonOECD,LT,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,199095,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Expenditure survey/budget survey (ES/BS), 2012",Yes,2010,2011,2013,2007
LMY,NA,NA,Low & middle income,Low & middle income,Low & middle income,XO,NA,"Low and middle income group aggregate (all developing economies). Low- and middle-income economies are those in which 2014 GNI per capita was $12,735 or less.",NA,NA,XO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIC,NA,NA,Low income,Low income,Low income,XM,NA,"Low income group aggregate. Low-income economies are those in which 2014 GNI per capita was $1,045 or less.",NA,NA,XM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMC,NA,NA,Lower middle income,Lower middle income,Lower middle income,XN,NA,"Lower middle income group aggregate. Lower-middle-income economies are those in which 2014 GNI per capita was between $1,046 and $4,125.",NA,NA,XN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LUX,LUX,LUX,Luxembourg,Luxembourg,Grand Duchy of Luxembourg,LU,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,LU,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,NA,Yes,2010,2010,2013,1999
MAC,NA,MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,Macao pataca,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",East Asia & Pacific,High income: nonOECD,MO,2012,NA,Value added at basic prices (VAB),NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2011,NA,NA,Yes,NA,2011,2012,NA
MKD,MKD,MKD,Macedonia,"Macedonia, FYR",Former Yugoslav Republic of Macedonia,MK,Macedonian denar,New base year is 2005.,Europe & Central Asia,Upper middle income,MK,2005,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2002,"Multiple Indicator Cluster Survey (MICS), 2011","Expenditure survey/budget survey (ES/BS), 2010",Yes,2007,2010,2013,2007
MDG,MAD,MAD,Madagascar,Madagascar,Republic of Madagascar,MG,Malagasy ariary,NA,Sub-Saharan Africa,Low income,MG,1984,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,General Data Dissemination System (GDDS),1993,"Malaria Indicator Survey (MIS), 2013","Priority survey (PS), 2010",NA,NA,2006,2013,2e3
MWI,MAW,MWI,Malawi,Malawi,Republic of Malawi,MW,Malawi kwacha,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.",Sub-Saharan Africa,Low income,MW,2009,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,General Data Dissemination System (GDDS),2008,"Malaria Indicator Survey (MIS), 2014","Integrated household survey (IHS), 2010/11",NA,2006/ 2007,2010,2013,2005
MYS,MAS,MAS,Malaysia,Malaysia,Malaysia,MY,Malaysian ringgit,NA,East Asia & Pacific,Upper middle income,MY,2010,NA,Value added at producer prices (VAP),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),2010,"World Health Survey (WHS), 2003","Income survey (IS), 2012",Yes,2015,2010,2013,2005
MDV,MDV,MDV,Maldives,Maldives,Republic of Maldives,MV,Maldivian rufiyaa,April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.,South Asia,Upper middle income,MV,2003,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2014,"Demographic and Health Survey (DHS), 2009","Integrated household survey (IHS), 2010",Yes,NA,NA,2013,2008
MLI,MLI,MLI,Mali,Mali,Republic of Mali,ML,West African CFA franc,NA,Sub-Saharan Africa,Low income,ML,1987,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2009,"Demographic and Health Survey (DHS), 2012/13","Integrated household survey (IHS), 2009/10",NA,NA,NA,2012,2006
MLT,MLT,MLT,Malta,Malta,Republic of Malta,MT,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Middle East & North Africa,High income: nonOECD,MT,Original chained constant price data are rescaled.,2005,Value added at basic prices (VAB),NA,Euro area,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,NA,Yes,2010,2009,2013,2002
MHL,MHL,NA,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,U.S. dollar,Fiscal year ends on September 30; reporting period for national accounts data: FY.,East Asia & Pacific,Upper middle income,MH,2003/04,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,General trade system,NA,General Data Dissemination System (GDDS),2011,"Republic of the Marshall Islands Demographic and Health Survey (RMIDHS), 2007","Integrated household survey (IHS), 1999",NA,2011. Population and Housing Census.,NA,NA,NA
MRT,MTN,MTN,Mauritania,Mauritania,Islamic Republic of Mauritania,MR,Mauritanian ouguiya,Based on official statistics from the Ministry of Economic Affairs and Development; the base year has been returned to 2004.,Sub-Saharan Africa,Lower middle income,MR,2004,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,NA,General Data Dissemination System (GDDS),2013,"Multiple Indicator Cluster Survey (MICS), 2011","Integrated household survey (IHS), 2008",NA,NA,NA,2013,2005
MUS,MRI,MRI,Mauritius,Mauritius,Republic of Mauritius,MU,Mauritian rupee,NA,Sub-Saharan Africa,Upper middle income,MU,2006,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,NA,Special Data Dissemination Standard (SDDS),2011,"World Health Survey (WHS), 2003","Integrated household survey (IHS), 2012",Yes,2013/ 2014,2011,2013,2003
MEX,MEX,MEX,Mexico,Mexico,United Mexican States,MX,Mexican peso,The new base year is 2008.,Latin America & Caribbean,Upper middle income,MX,2008,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"National Survey of Demographic Dynamics (ENADID), 2009","Integrated household survey (IHS), 2012",NA,2007,2010,2013,2011
FSM,FSM,NA,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,U.S. dollar,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.",East Asia & Pacific,Lower middle income,FM,2003/04,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,NA,NA,General Data Dissemination System (GDDS),2010,NA,"Integrated household survey (IHS), 2000",NA,NA,NA,NA,NA
MEA,NA,NA,Middle East & North Africa (all income levels),Middle East & North Africa (all income levels),Middle East & North Africa (all income levels),ZQ,NA,Middle East and North Africa regional aggregate (including high-income economies).,NA,NA,ZQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MNA,NA,NA,Middle East & North Africa (developing only),Middle East & North Africa,Middle East & North Africa (developing only),XQ,NA,Middle East and North Africa regional aggregate (does not include high-income economies).,NA,NA,XQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIC,NA,NA,Middle income,Middle income,Middle income,XP,NA,"Middle income group aggregate. Middle-income economies are those in which 2014 GNI per capita was between $1,046 and $12,735.",NA,NA,XP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,MDA,MDA,Moldova,Moldova,Republic of Moldova,MD,Moldovan leu,NA,Europe & Central Asia,Lower middle income,MD,Original chained constant price data are rescaled.,1996,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,199095,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey (MICS), 2012","Expenditure survey/budget survey (ES/BS), 2012",Yes,2011,2011,2013,2007
MCO,MON,NA,Monaco,Monaco,Principality of Monaco,MC,Euro,NA,Europe & Central Asia,High income: nonOECD,MC,1990,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,NA,NA,NA,Special trade system,NA,NA,2008,NA,NA,Yes,NA,NA,NA,2009
MNG,MGL,MNG,Mongolia,Mongolia,Mongolia,MN,Mongolian tugrik,The new base year is 2010.,East Asia & Pacific,Upper middle income,MN,2010,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2013","Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2011,2013,2009
MNE,MNE,MNE,Montenegro,Montenegro,Montenegro,ME,Euro,"Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Europe & Central Asia,Upper middle income,ME,2000,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,NA,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2013","Expenditure survey/budget survey (ES/BS), 2013",Yes,2010,NA,2013,2010
MAR,MAR,MAR,Morocco,Morocco,Kingdom of Morocco,MA,Moroccan dirham,NA,Middle East & North Africa,Lower middle income,MA,2007,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2014,"Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","Expenditure survey/budget survey (ES/BS), 2007",NA,2012,2010,2012,2e3
MOZ,MOZ,MOZ,Mozambique,Mozambique,Republic of Mozambique,MZ,New Mozambican metical,Based on official government statistics; the new base year is 2009.,Sub-Saharan Africa,Low income,MZ,2009,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,199295,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2011","Expenditure survey/budget survey (ES/BS), 2008/09",NA,2009/ 2010,NA,2013,2001
MMR,MYA,MYA,Myanmar,Myanmar,Republic of the Union of Myanmar,MM,Myanmar kyat,Fiscal year end: March 31; reporting period for national accounts data: FY.,East Asia & Pacific,Lower middle income,MM,2005/06,NA,Value added at producer prices (VAP),IDA,NA,Country uses the 1968 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Estimate,General trade system,Consolidated central government,General Data Dissemination System (GDDS),2014,"Multiple Indicator Cluster Survey (MICS), 2009/10",NA,NA,2010,NA,2010,2e3
NAM,NAM,NAM,Namibia,Namibia,Republic of Namibia,NA,Namibian dollar,"Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 1980 onward; the new base year is 2010.",Sub-Saharan Africa,Upper middle income,NA,2010,NA,Value added at basic prices (VAB),IBRD,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2013","Expenditure survey/budget survey (ES/BS), 2009/10",NA,2014,NA,2013,2002
NPL,NEP,NEP,Nepal,Nepal,Nepal,NP,Nepalese rupee,Fiscal year end: July 14; reporting period for national accounts data: FY.,South Asia,Low income,NP,2000/01,NA,Value added at basic prices (VAB),IDA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2014","Living Standards Measurement Study Survey (LSMS), 2010/11",NA,2011/ 2012,2008,2013,2006
NLD,NED,NED,Netherlands,Netherlands,Kingdom of the Netherlands,NL,Euro,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Europe & Central Asia,High income: OECD,NL,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,Euro area,Country uses the 2008 System of National Accounts methodology.,NA,Rolling,"IMF Balance of Payments Manual, 6th edition.",NA,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,NA,"Integrated household survey (IHS), 2010",Yes,2010,2010,2013,2008
NCL,NA,NCL,New Caledonia,New Caledonia,New Caledonia,NC,CFP franc,NA,East Asia & Pacific,High income: nonOECD,NC,1990,NA,NA,NA,NA,Country uses the 1993 System of National Accounts methodology.,NA,2011 (household consumption only).,NA,NA,Special trade system,NA,NA,2009,NA,NA,Yes,NA,NA,2012,NA
NZL,NZL,NZL,New Zealand,New Zealand,New Zealand,NZ,New Zealand dollar,Fiscal year end: March 31; reporting period for national accounts data: CY.,East Asia & Pacific,High income: OECD,NZ,Original chained constant price data are rescaled.,2010,Value added at basic prices (VAB),NA,NA,Country uses the 2008 System of National Accounts methodology.,NA,2011,"IMF Balance of Payments Manual, 6th edition.",NA,General trade system,Consolidated central government,NA,2013,NA,NA,Yes,2012,2010,2013,2002
NIC,NCA,NCA,Nicaragua,Nicaragua,Republic of Nicaragua,NI,Nicaraguan gold cordoba,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.",Latin America & Caribbean,Lower middle income,NI,2006,NA,Value added at basic prices (VAB),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,196595,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2005,"Reproductive Health Survey (RHS), 2006/2007","Living Standards Measurement Study Survey (LSMS), 2009",NA,2011,NA,2013,2011
NER,NIG,NIG,Niger,Niger,Republic of Niger,NE,West African CFA franc,"Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.",Sub-Saharan Africa,Low income,NE,2006,NA,Value added at producer prices (VAP),IDA,HIPC,Country uses the 1993 System of National Accounts methodology.,1993,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,Special trade system,Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2012","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",NA,2004-2008,2002,2013,2005
NGA,NGR,NGA,Nigeria,Nigeria,Federal Republic of Nigeria,NG,Nigerian naira,"Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology. Nigeria reports using SNA 2008.",Sub-Saharan Africa,Lower middle income,NG,2010,NA,Value added at basic prices (VAB),Blend,NA,Country uses the 2008 System of National Accounts methodology.,197198,2011,"IMF Balance of Payments Manual, 6th edition.",Actual,General trade system,Budgetary central government,General Data Dissemination System (GDDS),2006,"Demographic and Health Survey (DHS), 2013","Integrated household survey (IHS), 2009/10",NA,2013,NA,2013,2005
NAC,NA,NA,North America,North America,North America,XU,NA,North America regional aggregate. There are no economies in North America classified as low or middle income.,NA,NA,XU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
