ranking,company,customer_satisfaction,employee_engagement_and_development,innovation,social_responsibility,financial_strength,effectiveness
791,HEICO Corp A,42,42.3,44.8,33.9,48.5,37.3
791,"UFP Industries, Inc",43.3,42.5,40.3,31.7,57.6,37.3
793,Dollar General Corp,34.4,30,48.5,41.7,55.5,37.2
793,Penn National Gaming Inc,41.3,40.8,43.2,37.3,47.4,37.2
795,Generac Holdings Inc,35.1,37.1,43,35.3,64.5,37.1
796,Brighthouse Financial Inc,28.8,58.1,42.7,44.3,28.8,37
797,Global Payments Inc,36.3,42,44.2,40.9,43.3,36.8
797,Rocket Companies Inc A,28.3,50.2,39.7,35.5,59.7,36.8
799,Molina Healthcare,39.3,45.9,40.5,33.5,52.2,36.7
800,"Covetrus, Inc",54.3,38.5,43,31.5,40.3,36.5
800,Equifax Inc,22.9,42.7,46,43.4,51.6,36.5
802,Globe Life Inc,35.7,32.2,44,46.4,46.1,36.4
802,SpartanNash Company,37.1,37.5,43.7,42.8,43.7,36.4
804,Atlas Air Worldwide Holdings Inc,37,42.9,43.5,36.2,47.5,36.2
804,"Caesars Entertainment, Inc",39.7,42.4,41.1,42,38.2,36.2
804,DISH Network Corp A,35.4,30.6,51.3,38.1,50.3,36.2
807,Evergy Inc,38.8,32.7,44.8,42.3,45.4,36.1
808,"Avantor, Inc",42.9,35.9,43.3,36.6,47.1,35.9
808,Colfax Corp,46.5,24.8,45.3,42.6,43.2,35.9
808,VEREIT Inc,40.4,37.7,40.2,41.3,44.9,35.9
811,Select Medical Holdings Corp,42.2,40.5,41.9,32.9,49.8,35.8
812,Old Republic Intl Corp,49.1,28.3,41.2,33.7,55.5,35.5
813,Sonic Automotive A,27,51.5,44.6,31.9,50.8,35.3
814,Community Health Systems,30,30.6,46.9,41.3,54.6,35.2
814,Knight-Swift Transportation Holdings Inc,41.2,33.9,41.8,38.8,47.1,35.2
816,Cable One Inc,26.6,42.4,40.8,43,49.4,35
817,Continental Resources Inc/OK,42.2,33.2,42.4,40.8,41.2,34.9
817,DraftKings Inc Class A,35.7,59.9,45.7,34.1,20.4,34.9
819,Liberty Latin America Cl A,36.5,45.5,42,34.1,43.5,34.7
820,Antero Resources Corp,44.5,28.3,42.9,42.5,39,34.6
820,World Fuel Services Corp,31,36,43,43.7,45.1,34.6
822,GameStop Corp A,41.7,18.9,48.4,41.5,48.4,34.5
823,Santander Consumer USA Holdings Inc,32.5,42.7,40.8,35.3,51.1,34.4
824,Hub Group Inc A,43.8,25.5,44.4,39.3,45.6,34.2
824,Thor Industries Inc,46.2,19.8,45.2,39,49.2,34.2
826,Dycom Industries Inc,37.9,31.1,43.8,41,41.9,33.8
827,Ubiquiti Inc,26.1,21.9,43.3,32.6,85.3,33.6
828,Murphy USA Inc,37.5,32.1,39.4,37.4,52.2,33.3
829,MDC Holdings Inc,50.8,12.7,44,36,54.7,33.2
829,"Nexstar Media Group, Inc",37.3,27,46.7,35.2,50.9,33.2
829,Universal Health Services B,30.3,35,43.8,38.3,49.2,33.2
832,"Spectrum Brands Holdings, Inc",32.8,36.5,44.8,35,47.4,33.1
833,SS&C Technologies Holdings Inc,42.2,30.3,43.9,33.3,46.2,32.9
834,TransDigm Group,28.9,37.8,43.3,38.3,45.8,32.8
835,Delek US Holdings,32.3,37.1,45.3,38.6,38.4,32.7
835,Silgan Hldgs Inc,39.4,33.2,44.2,31.9,47.2,32.7
837,Live Nation Entertainment Inc,26.1,49.8,45.8,42.4,21.7,32.6
838,AMERCO Inc,41.3,27.1,40.6,35.5,49.5,32.1
839,Norwegian Cruise Line Holdings Ltd,47.7,39.4,41.6,38.7,15.6,31.8
840,PBF Energy Inc A,24.4,46.1,42.8,34.5,34.8,29.9
841,Par Pacific Holdings Inc,33.9,51.1,37.1,31.4,27.6,29.4
842,Altice USA Inc-A,13,31.7,47.4,34.5,48.8,26.9
843,Cabot Oil & Gas A,29.9,19.4,41.7,38.6,43.7,26.8
844,Sinclair Broadcast Group A,35,29.1,44.4,31.1,31.7,26.7
845,CVR Energy Inc,30.6,26.4,40.2,32.9,40.5,25.7
846,GMS Inc,40.8,3,42.1,35.4,47.1,24.9
