Rank,Title,RatingTomatometer,No. of Reviews,Genres
72,Howards End (1992),94,63,romance
73,Million Dollar Baby (2004),91,264,romance
74,About a Boy (2002),93,186,romance
75,The General (1927),94,47,romance
76,Knocked Up (2007),90,248,romance
77,Monsoon Wedding (2002),95,120,romance
78,Masculin Feminin (1966),92,39,romance
79,Hamlet (1996),95,56,romance
80,Revanche (2009),96,81,romance
81,To All the Boys I've Loved Before (2018),96,55,romance
82,Out of Sight (1998),93,88,romance
83,The Graduate (1967),89,75,romance
84,The Remains of the Day (1993),95,40,romance
85,Strictly Ballroom (1992),95,41,romance
86,The Spectacular Now (2013),92,160,romance
87,Moonstruck (1987),93,55,romance
88,The Little Mermaid (1989),92,65,romance
89,The Duke Of Burgundy (2015),94,95,romance
90,Brief Encounter (1945),90,41,romance
91,The Piano (1993),92,60,romance
92,Southside With You (2016),91,151,romance
93,Y Tu Mama Tambien (2001),92,137,romance
94,Lone Star (1996),94,47,romance
95,Hannah and Her Sisters (1986),91,56,romance
96,Crazy Heart (2009),90,205,romance
97,Kung Fu Hustle (2005),90,185,romance
98,Open Hearts (Elsker Dig For Evigt) (2002),95,57,romance
99,Obvious Child (2014),90,157,romance
100,Husbands and Wives (1992),93,40,romance
1,Black Panther (2018),97,444,science_fiction|fantasy
2,The Wizard of Oz (1939),98,111,science_fiction|fantasy
3,Mad Max: Fury Road (2015),97,394,science_fiction|fantasy
4,Wonder Woman (2017),93,410,science_fiction|fantasy
5,E.T. The Extra-Terrestrial (1982),98,125,science_fiction|fantasy
6,Metropolis (1927),99,118,science_fiction|fantasy
7,Arrival (2016),94,389,science_fiction|fantasy
8,Star Wars: The Last Jedi (2017),91,419,science_fiction|fantasy
9,Logan (2017),93,371,science_fiction|fantasy
10,The Shape of Water (2017),92,392,science_fiction|fantasy
11,Gravity (2013),96,335,science_fiction|fantasy
12,Star Wars: Episode VII - The Force Awakens (2015),93,402,science_fiction|fantasy
13,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",97,62,science_fiction|fantasy
14,Snow White and the Seven Dwarfs (1937),98,47,science_fiction|fantasy
15,Thor: Ragnarok (2017),92,370,science_fiction|fantasy
16,The Bride of Frankenstein (1935),100,43,science_fiction|fantasy
17,Alien (1979),97,110,science_fiction|fantasy
18,Toy Story 2 (1999),100,163,science_fiction|fantasy
19,Spider-Man: Homecoming (2017),92,350,science_fiction|fantasy
20,War for the Planet of the Apes (2017),93,323,science_fiction|fantasy
21,Toy Story 3 (2010),98,299,science_fiction|fantasy
22,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),99,76,science_fiction|fantasy
23,Frankenstein (1931),100,46,science_fiction|fantasy
24,The Dark Knight (2008),94,332,science_fiction|fantasy
25,Captain America: Civil War (2016),91,381,science_fiction|fantasy
26,Pinocchio (1940),100,47,science_fiction|fantasy
27,Harry Potter and the Deathly Hallows - Part 2 (2011),96,320,science_fiction|fantasy
28,Aliens (1986),99,68,science_fiction|fantasy
29,Toy Story (1995),100,81,science_fiction|fantasy
30,Ant-Man and the Wasp (2018),88,364,science_fiction|fantasy
31,Star Wars: Episode IV - A New Hope (1977),93,114,science_fiction|fantasy
32,WALL-E (2008),96,252,science_fiction|fantasy
33,Sorry to Bother You (2018),93,263,science_fiction|fantasy
34,Invasion of the Body Snatchers (1956),98,56,science_fiction|fantasy
35,Star Trek (2009),94,342,science_fiction|fantasy
36,Kubo and the Two Strings (2016),97,207,science_fiction|fantasy
37,The Terminator (1984),100,59,science_fiction|fantasy
38,Marvel's The Avengers (2012),92,340,science_fiction|fantasy
39,The Martian (2015),91,346,science_fiction|fantasy
40,Mary Poppins (1964),100,48,science_fiction|fantasy
41,Beauty and The Beast (La Belle et la bête) (1946),95,63,science_fiction|fantasy
42,Miracle on 34th Street (1947),96,47,science_fiction|fantasy
43,Star Wars: Episode V - The Empire Strikes Back (1980),95,92,science_fiction|fantasy
44,Snowpiercer (2014),95,237,science_fiction|fantasy
45,2001: A Space Odyssey (1968),93,98,science_fiction|fantasy
46,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),98,50,science_fiction|fantasy
47,It's a Wonderful Life (1946),93,74,science_fiction|fantasy
48,Blade Runner 2049 (2017),87,389,science_fiction|fantasy
49,Her (2013),94,260,science_fiction|fantasy
50,How to Train Your Dragon (2010),98,205,science_fiction|fantasy
51,Avengers: Infinity War (2018),84,408,science_fiction|fantasy
52,8 1/2 (1963),98,47,science_fiction|fantasy
53,Yellow Submarine (1968),97,59,science_fiction|fantasy
54,Guardians of the Galaxy (2014),91,306,science_fiction|fantasy
55,Beauty and the Beast (1991),94,113,science_fiction|fantasy
56,Iron Man (2008),93,274,science_fiction|fantasy
57,The Princess Bride (1987),97,71,science_fiction|fantasy
58,Forbidden Planet (1956),98,42,science_fiction|fantasy
59,Ghostbusters (1984 Original) (1984),97,71,science_fiction|fantasy
60,The Nightmare Before Christmas (1993),95,94,science_fiction|fantasy
61,Big (1988),97,74,science_fiction|fantasy
62,Pan's Labyrinth (2006),95,229,science_fiction|fantasy
63,Fantasia (1940),96,50,science_fiction|fantasy
64,The Day the Earth Stood Still (1951),94,54,science_fiction|fantasy
65,"Monsters, Inc. (2001)",96,193,science_fiction|fantasy
66,Doctor Strange (2016),89,338,science_fiction|fantasy
67,X-Men: Days of Future Past (2014),90,306,science_fiction|fantasy
68,The Lord of the Rings: The Two Towers (2002),95,250,science_fiction|fantasy
69,Live Die Repeat: Edge of Tomorrow (2014),90,305,science_fiction|fantasy
70,Looper (2012),93,257,science_fiction|fantasy
71,Back to the Future (1985),96,77,science_fiction|fantasy
72,Groundhog Day (1993),96,77,science_fiction|fantasy
73,The Iron Giant (1999),96,136,science_fiction|fantasy
74,Spirited Away (2002),97,183,science_fiction|fantasy
75,Solaris (1976),96,56,science_fiction|fantasy
76,Wings of Desire (1987),98,51,science_fiction|fantasy
77,Gojira (1956),93,70,science_fiction|fantasy
78,Dawn Of The Planet Of The Apes (2014),90,297,science_fiction|fantasy
79,Song Of The Sea (2014),99,88,science_fiction|fantasy
80,Mad Max 2: The Road Warrior (1982),98,43,science_fiction|fantasy
81,Annihilation (2018),89,271,science_fiction|fantasy
82,Close Encounters of the Third Kind (1977),96,57,science_fiction|fantasy
83,Babe (1995),97,70,science_fiction|fantasy
84,Ex Machina (2015),92,251,science_fiction|fantasy
85,Jurassic Park (1993),91,123,science_fiction|fantasy
86,Brazil (1985),98,47,science_fiction|fantasy
87,10 Cloverfield Lane (2016),90,289,science_fiction|fantasy
88,Blade Runner (1982),90,110,science_fiction|fantasy
89,Repo Man (1984),98,44,science_fiction|fantasy
90,Jodorowsky's Dune (2014),97,115,science_fiction|fantasy
91,The Lord of the Rings: The Return of the King (2003),93,270,science_fiction|fantasy
92,The Seventh Seal (Det Sjunde inseglet) (1957),93,55,science_fiction|fantasy
93,Spider-Man 2 (2004),93,269,science_fiction|fantasy
94,Captain America: The Winter Soldier (2014),89,283,science_fiction|fantasy
95,Children of Men (2006),92,244,science_fiction|fantasy
96,The Secret World of Arrietty (2012),95,146,science_fiction|fantasy
97,Invasion of the Body Snatchers (1978),94,54,science_fiction|fantasy
98,The Evil Dead (1981),95,59,science_fiction|fantasy
99,District 9 (2009),90,307,science_fiction|fantasy
100,Eternal Sunshine Of The Spotless Mind (2004),93,238,science_fiction|fantasy
1,The Bride of Frankenstein (1935),100,43,special_interest
2,Frankenstein (1931),100,46,special_interest
3,Man on Wire (2008),100,157,special_interest
4,Life Itself (2014),97,196,special_interest
5,Miracle on 34th Street (1947),96,47,special_interest
6,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),98,50,special_interest
7,Her (2013),94,260,special_interest
8,Amy (2015),95,209,special_interest
9,Taxi to the Dark Side (2007),100,92,special_interest
10,Blackfish (2013),98,126,special_interest
11,Murderball (2005),98,138,special_interest
12,Groundhog Day (1993),96,77,special_interest
13,Inside Job (2010),98,146,special_interest
14,Jiro Dreams of Sushi (2012),99,92,special_interest
15,The Square (Al Midan) (2013),100,62,special_interest
16,Hoop Dreams (1994),98,55,special_interest
17,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",100,43,special_interest
18,Afghan Star (2009),100,60,special_interest
19,Capturing the Friedmans (2003),97,152,special_interest
20,Waltz with Bashir (2008),96,148,special_interest
21,The Overnighters (2014),99,69,special_interest
22,Jodorowsky's Dune (2014),97,115,special_interest
23,The Interrupters (2011),99,89,special_interest
24,How to Survive a Plague (2012),99,73,special_interest
25,56 Up (2013),99,67,special_interest
26,Last Train Home (2010),100,54,special_interest
27,The Invisible War (2012),99,70,special_interest
28,Spellbound (2002),97,139,special_interest
29,Enron: The Smartest Guys in the Room (2005),97,119,special_interest
30,Love Is Strange (2014),94,172,special_interest
31,The Act Of Killing (2013),95,147,special_interest
32,This Is Not a Film (2012),97,98,special_interest
33,Elaine Stritch: Shoot Me (2014),98,65,special_interest
34,The King of Kong: A Fistful of Quarters (2007),97,100,special_interest
35,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),96,140,special_interest
36,Bowling for Columbine (2002),95,169,special_interest
37,The Imposter (2012),96,113,special_interest
38,The War Tapes (2006),98,65,special_interest
39,Cave of Forgotten Dreams (2011),96,133,special_interest
40,Ai Weiwei: Never Sorry (2012),97,79,special_interest
41,Undefeated (2012),96,100,special_interest
42,L'année dernière à Marienbad (Last Year at Marienbad) (1961),94,47,special_interest
43,Sicko (2007),92,216,special_interest
44,Mea Maxima Culpa: Silence In The House Of God (2012),98,48,special_interest
45,Blindsight (2006),98,50,special_interest
46,The Devil Came on Horseback (2007),98,51,special_interest
47,Call Me Kuchu (2013),98,44,special_interest
48,For the Bible Tells Me So (2007),98,49,special_interest
49,Let The Fire Burn (2013),98,42,special_interest
50,Restrepo (2010),96,114,special_interest
51,The Life and Times of Hank Greenberg (2000),97,65,special_interest
52,Surfwise (2007),98,44,special_interest
53,Bus 174 (Ônibus 174) (2003),97,78,special_interest
54,Wordplay (2006),95,120,special_interest
55,Control Room (2004),96,110,special_interest
56,Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country) (2008),97,62,special_interest
57,No End in Sight (2007),96,95,special_interest
58,49 Up (2006),97,65,special_interest
59,Winged Migration (2003),95,133,special_interest
60,Muscle Shoals (2013),96,82,special_interest
61,The Queen of Versailles (2012),95,111,special_interest
62,Marley (2012),95,106,special_interest
63,Finding Vivian Maier (2014),95,96,special_interest
64,An Inconvenient Truth (2006),93,162,special_interest
65,A Film Unfinished (2010),97,64,special_interest
66,"Bigger, Stronger, Faster* (2008)",96,76,special_interest
67,Sweetgrass (2009),97,60,special_interest
68,Trouble the Water (2008),96,75,special_interest
69,To Be and to Have (Etre et Avoir) (2003),97,59,special_interest
70,"Food, Inc. (2009)",95,111,special_interest
71,The Wild Parrots of Telegraph Hill (2005),95,100,special_interest
72,Chasing Ice (2012),96,69,special_interest
73,"20,000 Days on Earth (2014)",95,84,special_interest
74,Exit Through The Gift Shop (2010),95,110,special_interest
75,Shaun of the Dead (2004),92,205,special_interest
76,The Gatekeepers (2013),94,109,special_interest
77,Touching the Void (2004),94,139,special_interest
78,Born Into Brothels (2004),95,107,special_interest
79,Crumb (1995),95,43,special_interest
80,I Am Divine (2013),96,51,special_interest
81,Manakamana (2014),96,48,special_interest
82,Deep Water (2006),96,55,special_interest
83,The Last of the Unjust (2014),96,47,special_interest
84,Cutie And The Boxer (2013),95,73,special_interest
85,Brooklyn Castle (2012),96,51,special_interest
86,Up the Yangtze (2007),96,52,special_interest
87,Good Hair (2009),95,83,special_interest
88,5 Broken Cameras (2012),96,45,special_interest
89,National Gallery (2014),95,64,special_interest
90,The Salt of the Earth (2015),94,89,special_interest
91,Last Days in Vietnam (2014),95,62,special_interest
92,Plagues & Pleasures on the Salton Sea (2004),96,49,special_interest
93,Promises (2002),96,47,special_interest
94,The Arbor (2011),96,46,special_interest
95,The Endurance (2001),95,65,special_interest
96,Eraserhead (1977),91,56,special_interest
97,Los Angeles Plays Itself (2003),96,45,special_interest
98,Super Size Me (2004),92,170,special_interest
99,My Winnipeg (2007),94,90,special_interest
100,The Story of the Weeping Camel (2004),94,102,special_interest
1,Murderball (2005),98,138,sports|fitness
2,Hoop Dreams (1994),98,55,sports|fitness
3,When We Were Kings (1996),98,47,sports|fitness
4,The King of Kong: A Fistful of Quarters (2007),97,100,sports|fitness
5,Rocky (1976),93,57,sports|fitness
6,Undefeated (2012),96,100,sports|fitness
7,The Life and Times of Hank Greenberg (2000),97,65,sports|fitness
8,Surfwise (2007),98,44,sports|fitness
9,Touching the Void (2004),94,139,sports|fitness
10,Red Army (2015),94,96,sports|fitness
11,Battle of the Sexes (2017),85,280,sports|fitness
12,The Fighter (2010),90,241,sports|fitness
13,The Crash Reel (2013),96,46,sports|fitness
14,Sugar (2008),92,134,sports|fitness
15,The Damned United (2009),92,136,sports|fitness
16,Boxing Gym (2010),95,42,sports|fitness
17,Riding Giants (2004),93,95,sports|fitness
18,Senna (2011),92,118,sports|fitness
19,Dogtown and Z-Boys (2001),92,95,sports|fitness
20,The Color of Money (1986),89,46,sports|fitness
21,Tristram Shandy: A Cock & Bull Story (2005),89,129,sports|fitness
22,Up for Grabs (2005),92,48,sports|fitness
23,Hoosiers (1986),88,43,sports|fitness
24,Field of Dreams (1989),86,58,sports|fitness
25,Girlfight (2000),87,95,sports|fitness
26,The Heart of the Game (2005),87,99,sports|fitness
27,Tyson (2009),85,143,sports|fitness
28,Chariots of Fire (1981),83,65,sports|fitness
29,The Hurricane (1999),83,113,sports|fitness
30,Looking for Eric (2010),85,98,sports|fitness
31,The Armstrong Lie (2013),82,116,sports|fitness
32,Major League (1989),82,39,sports|fitness
33,Goon (2012),82,104,sports|fitness
34,Beyond the Mat (1999),82,66,sports|fitness
35,The Boxer (1997),80,69,sports|fitness
36,Invictus (2009),76,240,sports|fitness
37,Fed Up (2014),81,68,sports|fitness
38,A League of Their Own (1992),78,63,sports|fitness
39,Step Into Liquid (2003),81,80,sports|fitness
40,Once in a Lifetime: The Extraordinary Story of the New York Cosmos (2006),81,59,sports|fitness
41,Stoked: The Rise and Fall of Gator (2003),81,47,sports|fitness
42,Talladega Nights: The Ballad of Ricky Bobby (2006),71,184,sports|fitness
43,Invincible (2006),72,134,sports|fitness
44,Gunnin' for That #1 Spot (2008),74,42,sports|fitness
45,Ultimate X: The Movie (2002),74,47,sports|fitness
46,The Blind Side (2009),66,200,sports|fitness
47,More Than a Game (2009),71,51,sports|fitness
48,Secretariat (2010),63,148,sports|fitness
49,Dust to Glory (2005),60,68,sports|fitness
50,NASCAR: The IMAX Experience (2004),61,44,sports|fitness
51,Glory Road (2006),56,151,sports|fitness
52,The Sandlot (1993),57,49,sports|fitness
53,Because of Winn-Dixie (2005),55,121,sports|fitness
54,The Perfect Game (2010),57,44,sports|fitness
55,Steep (2007),54,48,sports|fitness
56,First Descent (2005),52,64,sports|fitness
57,Soul Surfer (2011),45,103,sports|fitness
58,Goal! The Dream Begins (Goal!: The Impossible Dream) (2005),43,82,sports|fitness
59,The Replacements (2000),41,108,sports|fitness
60,Beerfest (2006),40,107,sports|fitness
61,Grudge Match (2013),30,136,sports|fitness
62,Jiminy Glick in Lalawood (2005),22,45,sports|fitness
63,Playing for Keeps (2012),5,88,sports|fitness
1,Life Itself (2014),97,196,television
2,Afghan Star (2009),100,60,television
3,49 Up (2006),97,65,television
4,Room 237 (2013),94,128,television
5,Behind the Candelabra (2013),95,101,television
6,A Film Unfinished (2010),97,64,television
7,The Return (2004),95,86,television
8,Being Elmo: A Puppeteer's Journey (2011),95,78,television
9,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",95,62,television
10,Los Angeles Plays Itself (2003),96,45,television
11,Lost in La Mancha (2003),94,100,television
12,Best Worst Movie (2010),95,64,television
13,Sing Your Song (2012),95,40,television
14,American Movie (1999),94,49,television
15,The Normal Heart (2014),94,50,television
16,"Yoo-hoo, Mrs. Goldberg (2009)",93,68,television
17,The Kid Stays in the Picture (2002),91,112,television
18,Side by Side (2012),92,66,television
19,Joan Rivers: A Piece Of Work (2010),91,105,television
20,F for Fake (1974),88,50,television
21,Duel (1972),88,41,television
22,Saraband (2003),91,85,television
23,Corman's World: Exploits Of A Hollywood Rebel (2011),92,50,television
24,"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012)",91,43,television
25,Tell Them Who You Are (2005),88,65,television
26,The Five Obstructions (2003),88,60,television
27,Doctor Zhivago (1965),82,45,television
28,This Film Is Not Yet Rated (2006),84,116,television
29,Trekkies (1999),86,42,television
30,Inside Deep Throat (2005),83,120,television
31,Outfoxed: Rupert Murdoch's War on Journalism (2004),85,60,television
32,Trumbo (2007),83,54,television
33,Confirmation (2016),82,44,television
34,Tupac: Resurrection (2003),78,89,television
35,Overnight (2004),78,77,television
36,Teacher's Pet (2004),76,74,television
37,POM Wonderful Presents: The Greatest Movie Ever Sold (2011),74,129,television
38,Fellini: I'm a Born Liar (2003),73,40,television
39,My Date With Drew (2004),71,65,television
40,Only Human (Seres queridos) (2006),71,52,television
41,Waking Sleeping Beauty (2010),70,50,television
42,Porn Star: The Legend of Ron Jeremy (2001),69,49,television
43,The Rugrats Movie (1998),59,49,television
44,I'm Still Here (2010),53,128,television
45,No Strings Attached (2011),49,167,television
46,Bamboozled (2000),48,97,television
47,The Real Cancun (2003),35,88,television
48,I Am (2011),36,47,television
49,15 Minutes (2001),32,124,television
50,Man of the Year (2006),22,143,television
51,Pokemon 3: The Movie (2001),21,56,television
52,The Honeymooners (2005),13,111,television
53,From Justin To Kelly (2003),10,63,television
1,The Treasure of the Sierra Madre (1948),100,45,western
2,"The Good, the Bad and the Ugly (1966)",97,68,western
3,High Noon (1952),96,50,western
4,The Searchers (1956),100,42,western
5,Rio Bravo (1959),100,40,western
6,Once Upon a Time in the West (1968),98,58,western
7,True Grit (2010),96,270,western
8,Unforgiven (1992),96,96,western
9,A Fistful of Dollars (Per un Pugno di Dollari) (1964),98,47,western
10,The Wild Bunch (1969),94,54,western
11,The Ballad of Buster Scruggs (2018),92,194,western
12,Johnny Guitar (1954),95,44,western
13,Giant (1956),95,40,western
14,Sweetgrass (2009),97,60,western
15,The Man Who Shot Liberty Valance (1962),93,43,western
16,Lone Star (1996),94,47,western
17,Butch Cassidy and the Sundance Kid (1969),90,48,western
18,3:10 to Yuma (2007),89,218,western
19,Django Unchained (2012),86,274,western
20,Blazing Saddles (1974),90,52,western
21,True Grit (1969),88,52,western
22,McCabe & Mrs. Miller (1971),89,47,western
23,Bone Tomahawk (2015),91,85,western
24,The Magnificent Seven (1960),88,42,western
25,Near Dark (1987),88,48,western
26,The Three Burials of Melquiades Estrada (2006),85,145,western
27,Meek's Cutoff (2011),86,126,western
28,The Proposition (2005),85,124,western
29,Dances With Wolves (1990),82,72,western
30,The Homesman (2014),81,147,western
31,The Hateful Eight (2015),74,308,western
32,"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom) (2010)",83,64,western
33,Open Range (2003),79,183,western
34,Shanghai Noon (2000),79,134,western
35,Appaloosa (2008),76,161,western
36,The Assassination of Jesse James by the Coward Robert Ford (2007),76,173,western
37,Hostiles (2018),71,201,western
38,Red Hill (2010),78,65,western
39,In a Valley of Violence (2016),76,67,western
40,The Keeping Room (2015),75,83,western
41,The Horse Whisperer (1998),74,57,western
42,Blackthorn (2011),75,73,western
43,Tombstone (1993),73,45,western
44,Fah talai jone (Tears of the Black Tiger) (2007),74,62,western
45,The Magnificent Seven (2016),63,289,western
46,The Salvation (2015),72,78,western
47,Dead Man (1995),70,50,western
48,The Rover (2014),66,165,western
49,Maverick (1994),66,53,western
50,The Claim (2000),62,84,western
51,The Missing (2003),58,173,western
52,Heaven's Gate (1980),57,42,western
53,Legends of the Fall (1994),56,55,western
54,The Quick and the Dead (1995),57,40,western
55,Sukiyaki Western Django (2008),56,54,western
56,The Killer Inside Me (2010),54,127,western
57,Seraphim Falls (2007),55,85,western
58,Ned Kelly (2003),56,54,western
59,Down in the Valley (2006),52,101,western
60,Cowboys & Aliens (2011),45,249,western
61,Forsaken (2016),43,44,western
62,Jane Got a Gun (2016),41,80,western
63,Brimstone (2017),41,71,western
64,A Million Ways to Die in the West (2014),33,197,western
65,The Lone Ranger (2013),31,235,western
66,The Alamo (2004),29,158,western
67,The Warrior's Way (2010),28,40,western
68,The Dark Tower (2017),16,248,western
69,Wild Wild West (1999),17,131,western
70,Priest (2011),15,97,western
71,American Outlaws (2001),14,103,western
72,September Dawn (2007),15,54,western
73,Jonah Hex (2010),12,147,western
74,Texas Rangers (2001),2,51,western
