"quote","movie","type","year"
"You're really lucky, you know that? You didn't have to wait your whole life to do something special.","El Camino","movie","2019"
"Even if we do ignore the previous data, Broly's latent abilities are quite remarkable.","Dragon Ball Super: Broly","movie","2019"
"My mother always tells me to smile and put on a happy face. She told me I had a purpose to bring laughter and joy to the world.","Joker","movie","2019"
"How truly magnificent! I think this battle is about to come to a rousing finale!","Dragon Ball Super: Broly","movie","2019"
"Today the impossible becomes the possible. ","The Current War","movie","2019"
"There is no punchline.","Joker","movie","2019"
"Is it just me, or is it getting crazier out there?’","Joker","movie","2019"
"That's MotherF****** street poetic justice.","Shaft","movie","2019"
"Maybe it's because I'm constantly fighting, destro…d to be a lower-class warrior... like my Kakarot.","Dragon Ball Super: Broly","movie","2019"
"These barbarians pretend to be submissive, but the…a sleeping beast down, before it can be awakened.","Dragon Ball Super: Broly","movie","2019"
"Time means nothing. Jeremy Bearimy, baby. We’ll just get through this. And then you and I can chill out in the dot of the I forever.","The Good Place","tv","2019"
"The worst part of having a mental illness is people expect you to behave as if you don't","Joker","movie","2019"
"You give me your loyalty, and I’ll guarantee that each and every one of you will have a chance to be a warrior, to actually be a part of history.","The Kill Team","movie","2019"
"What do you want most in the world?","Anna","movie","2019"
"I do what I do because of my dad. He was a hero. He gave his life for the pursuit of knowledge.","Ad Astra","movie","2019"
"You've got a lot to learn. Here on Earth, we like …have to listen to what the others tell you to do.","Dragon Ball Super: Broly","movie","2019"
"Following's not really my style.","Marvel's The Avengers","movie","2019"
"I have nothing to prove to you","Captain Marvel","movie","2019"
"Dude, you are on fire.","El Camino","movie","2019"
"This is me. This is how I win.","Uncut Gems","movie","2019"
"Why have average when you can have extraordinary?","The Boys","tv","2019"
"You are my lighting rod.","Avengers: Endgame","movie","2019"
"Bruce Lee: My hands are registered as lethal weapons. We get into a fight, I accidentally kill you... I go to jail.","Once Upon a Time in Hollywood","movie","2019"
"I'm as real as a donut, motherfucker.","Once Upon a Time in Hollywood","movie","2019"
"I used to think that my life was a tragedy. But now I realize, it’s a comedy.","Joker","movie","2019"
"I use the words you taught me. If they don't mean anything any more, teach me others. Or let me be silent.","Avengers: Endgame","movie","2019"
"I used to use this little gun when I was a prostitude.","Pineapple Express","movie","2019"
"If you want to get crazy. We can get crazy.","Us","movie","2019"
"If you can only do one thing, hone it to perfection. Hone it to the utmost limit!","Kimetsu no Yaiba","anime","2019"
"You get what you f***ing deserve !!","Joker","movie","2019"
"You don't listen, do you?","Joker","movie","2019"
"Never let your wings be stolen for you","Maleficent:The Mistress of Evil","movie","2019"
"Guns, lots of guns.","John Wick 3: Parabellum","movie","2019"
"I was so sure my strength was getting close to it'…on this planet... Then who would I train against.","Dragon Ball Super: Broly","movie","2019"
"No amount of money ever bought a second of time.","Avengers: Endgame","movie","2019"
"The end is in the beginning and yet you go on.","Avengers: Endgame","movie","2019"
"This meeting of The Losers Club has officially begun.","It Chapter Two","movie","2019"
" Spider-Pig, Spider-Pig. Does whatever a Spider-Pig does. Can he swing from a web? No he can't, he's a pig. Look out! He is a Spider-Pig!","The Simpsons Movie","movie","2019"
"Let’s do this.","Men in Black","movie","2019"
"It looks as though he's managed to transform someh… his human form, retaining his speed and agility.","Dragon Ball Super: Broly","movie","2019"
"I just hope my death makes more cents than my life.","Joker","movie","2019"
"I am Iron Man.","Avengers: Endgame","movie","2019"
"I didn't know if you were lost. Stick with me. I'll keep you safe.","Us","movie","2019"
"This guy's awesome! He's holding his own while still in his base form!","Dragon Ball Super: Broly","movie","2019"
"Murder is murder, it don’t matter who you are.","Black and Blue","movie","2019"
"You know what a lion is? A lion is a strong animal. They do what the fuck they wanna do. Take what they want, eat what they want, they run when they feel like it. Lion.","Between Two Ferns: The Movie","movie","2019"
"That was the best acting i've ever seen in my whole life.","Once Upon a Time in Hollywood","movie","2019"
