id,text,author,likes
2669,To love another person is to see the face of God.,Victor Hugo,2254 likes
2670,"Always be a poet, even in prose.",Charles Baudelaire,2254 likes
2671,"Imagination does not become great until human beings, given the courage and the strength, use it to create.",Maria Montessori,2254 likes
2672,"Whatever you can do or dream you can, begin it.",John Anster,2254 likes
2673,I don't think there is any truth. There are only points of view. ,Allen Ginsberg,2253 likes
2674,"If you are a student you should always get a good nights sleep unless you have come to the good part of your book, and then you should stay up all night and let your schoolwork fall by the wayside, a phrase which means 'flunk'.",Lemony Snicket,2253 likes
2675,"Love: It will kill you and save you, both",Lauren Oliver,2252 likes
2676,"We're staying together,"" he promised. ""You're not getting away from me. Never again.",Rick Riordan,2250 likes
2677,It's so strange how life works: You want something and you wait and wait and feel like it's taking forever to come. Then it happens and it's over and all you want to do is curl back up in that moment before things changed.,Lauren Oliver,2250 likes
2678,Spring is the time of plans and projects.,Leo Tolstoy,2250 likes
2679,"Katniss, the girl who was on fire!",Suzanne Collins,2249 likes
2680,"See, the problem is that God gives men a brain and a penis, and only enough blood to run one at a time.",Robin Williams,2249 likes
2681,"Life doesn't imitate art, it imitates bad television.",Woody Allen,2249 likes
2682,"I suspect the most we can hope for, and it's no small hope, is that we never give up, that we never stop giving ourselves permission to try to love and receive love.",Elizabeth Strout,2248 likes
2683,"She was a genius of sadness, immersing herself in it, separating its numerous strands, appreciating its subtle nuances. She was a prism through which sadness could be divided into its infinite spectrum.",Jonathan Safran Foer,2248 likes
2684,I am not interested in being original. I am interested in being true.,Agostinho da Silva,2247 likes
2685,"Because this is what happens when you try to run from the past. It just doesn’t catch up, it overtakes … blotting out the future.",Sarah Dessen,2246 likes
2686,"Only people who are capable of loving strongly can also suffer great sorrow, but this same necessity of loving serves to counteract their grief and heals them.",Leo Tolstoy,2245 likes
2687,"Have you ever asked yourself, do monsters make war, or does war make monsters?",Laini Taylor,2244 likes
2688,Everyone has secrets. It's just a matter of finding out what they are.,Stieg Larsson,2244 likes
2689,"May it be a light to you in dark places, when all other lights go out.",J.R.R. Tolkien,2243 likes
2690,The best way out is always through.,Robert Frost,2243 likes
2691,"what's your name?""",Richelle Mead,2241 likes
2692,Whoever is careless with the truth in small matters cannot be trusted with important matters,Albert Einstein,2241 likes
2693,Whenever people agree with me I always feel I must be wrong.,Oscar Wilde,2240 likes
2694,"If we listened to our intellect we'd never have a love affair. We'd never have a friendship. We'd never go in business because we'd be cynical: ""It's gonna go wrong."" Or ""She's going to hurt me."" Or,""I've had a couple of bad love affairs, so therefore . . ."" Well, that's nonsense. You're going to miss life. You've got to jump off the cliff all the time and build your wings on the way down.",Ray Bradbury,2240 likes
2695,Dress shabbily and they remember the dress; dress impeccably and they remember the woman.,Coco Chanel,2238 likes
2696,"if you love two people at the same time, choose the second. Because if you really loved the first one, you wouldn't have fallen for the second.",Johnny Depp,2237 likes
2697,". . . when it comes down to it, that’s what life is all about: showing up for the people you love, again and again, until you can’t show up anymore.",Rebecca Walker,2237 likes
2698,"There's no need to clarify my finger snap,"" said Magnus. ""The implication was clear in the snap itself.",Cassandra Clare,2236 likes
2699,"That was enterprising,"" Will sounded nearly impressed.",Cassandra Clare,2235 likes
2700,"You know, some people think Shadowhunters are just myths. Like mummies and genies."" Kyle grinned at Jace. ""Can you grant wishes?""",Cassandra Clare,2234 likes
2701,"People tend to complicate their own lives, as if living weren't already complicated enough.",Carlos Ruiz Zafón,2234 likes
2702,The finest of pleasures are always the unexpected ones.,Erin Morgenstern,2233 likes
2703,"Man, when you lose your laugh you lose your footing.",Ken Kesey,2233 likes
2704,"She wanted something to happen - something, anything: she did not know what.",Kate Chopin,2232 likes
2705,You don't love a girl because of beauty. You love her because she sings a song only you can understand.,L.J. Smith,2232 likes
2706,The worst thing about new books is that they keep us from reading the old ones.,Joseph Joubert,2231 likes
2707,A small but noteworthy note. I've seen so many young men over the years who think they're running at other young men. They are not. They are running at me.,Markus Zusak,2230 likes
2708,He stepped back and threw his arms out.,Richelle Mead,2230 likes
2709,"Yes, we praise women over 40 for a multitude of reasons. Unfortunately, it's not reciprocal. For every stunning, smart, well-coiffed, hot woman over 40, there is a bald, paunchy relic in yellow pants making a fool of himself with some 22-year old waitress. Ladies, I apologize. For all those men who say, ""Why buy the cow when you can get the milk for free?"", here's an update for you. Nowadays 80% of women are against marriage. Why? Because women realize it's not worth buying an entire pig just to get a little sausage!",Andy Rooney,2230 likes
2710,Your thorns are the best part of you.,Marianne Moore,2230 likes
2711,"The question is not what you look at, but what you see.",Henry David Thoreau,2230 likes
2712,"I like people too much or not at all. I've got to go down deep, to fall into people, to really know them.",Sylvia Plath,2229 likes
2713,لا تجزع من جرحك، وإلا فكيف للنور أن يتسلل إلى باطنك؟,جلال الدين الرومي,2228 likes
2714,Never miss a good chance to shut up.,Will Rogers,2228 likes
2715,Please believe that one single positive dream is more important than a thousand negative realities.,Adeline Yen Mah,2227 likes
2716,Here's to the kids.,Pete Wentz,2226 likes
2717,"It matters not how strait the gate, ",William Ernest Henley,2226 likes
2718,"If you love something set it free, but don't be surprised if it comes back with herpes.",Chuck Palahniuk,2226 likes
2719,"Laugh and the world laughs with you, snore and you sleep alone.",Anthony Burgess,2226 likes
2720,He felt that his whole life was some kind of dream and he sometimes wondered whose it was and whether they were enjoying it.,Douglas Adams,2225 likes
2721,All thinking men are atheists.,Ernest Hemingway,2224 likes
2722,Be awesome! Be a book nut!,Dr. Seuss,2223 likes
2723,"I was born with an enormous need for affection, and a terrible need to give it.",Audrey Hepburn,2223 likes
2724,"Our greatest glory is not in never falling, but in rising every time we fall.",Oliver Goldsmith,2220 likes
2725,Be steady and well-ordered in your life so that you can be fierce and original in your work.,Gustave Flaubert,2220 likes
2726,Maybe some people are just meant to be in the same story.,Jandy Nelson,2218 likes
2727,Sometimes it takes a good fall to really know where you stand,Hayley Williams,2217 likes
2728,"I didn’t go to religion to make me happy. I always knew a bottle of Port would do that. If you want a religion to make you feel really comfortable, I certainly don’t recommend Christianity.",C.S. Lewis,2217 likes
2729,There's a bluebird in my heart that wants to get out,Charles Bukowski,2216 likes
2730,"After all, Ginger Rogers did everything that Fred Astaire did. She just did it backwards and in high heels.",Ann Richards,2215 likes
2731,My wish is that you may be loved to the point of madness.,André Breton,2214 likes
2732,"Sometimes the Bible in the hand of one man is worse than a whisky bottle in the hand of (another)... There are just some kind of men who - who're so busy worrying about the next world they've never learned to live in this one, and you can look down the street and see the results.",Harper Lee,2214 likes
2733,Behind this mask there is more than just flesh. Beneath this mask there is an idea... and ideas are bulletproof.,Alan Moore,2213 likes
2734,"If the moon smiled, she would resemble you.",Sylvia Plath,2210 likes
2735,"I believe in God, but not as one thing, not as an old man in the sky. I believe that what people call God is something in all of us. I believe that what Jesus and Mohammed and Buddha and all the rest said was right. It's just that the translations have gone wrong.",John Lennon,2210 likes
2736,There is a crack in everything.,Leonard Cohen,2210 likes
2737,"You're beautiful and sad,"" I said finally, not looking at him when I did. ""Just like your eyes. You're like a song that I heard when I was a little kid but forgot I knew until I heard it again."" For a long moment there was only the whirring sound of the tires on the road, and then Sam said softly, ""Thank you.",Maggie Stiefvater,2209 likes
2738,The easy confidence with which I know another man's religion is folly teaches me to suspect that my own is also.,Mark Twain,2209 likes
2739,"When I look at my life and its secret colours, I feel like bursting into tears.",Albert Camus,2208 likes
2740,But Dumbledore says he doesn't care what they do as long as they don't take him off the Chocolate Frog cards.,J.K. Rowling,2208 likes
2741,That was one of the virtues of being a pessimist: nothing was ever as bad as you thought it would be.,James  Jones,2208 likes
2742,"If everyone demanded peace instead of another television set, then there'd be peace.",John Lennon,2208 likes
2743,"I am not afraid of storms, for I am learning how to sail my ship.",Louisa May Alcott,2207 likes
2744,"They say time heals all wounds, but that presumes the source of the grief is finite",Cassandra Clare,2206 likes
2745,"The starting point of all achievement is DESIRE. Keep this constantly in mind. Weak desire brings weak results, just as a small fire makes a small amount of heat.",Napoleon Hill,2205 likes
2746,The present changes the past. Looking back you do not find what you left behind.,Kiran Desai,2204 likes
2747,You can't lie to your soul.,Irvine Welsh,2204 likes
2748,"That's the thing about girls. Every time they do something pretty, even if they're not much to look at, or even if they're sort of stupid, you fall in love with them, and then you never know where the hell you are. Girls. Jesus Christ. They can drive you crazy. They really can.",J.D. Salinger,2204 likes
2749,Be happy for this moment. This moment is your life.,Omar Khayyám,2204 likes
2750,"If the person you are talking to doesn't appear to be listening, be patient. It may simply be that he has a small piece of fluff in his ear.",A.A. Milne,2204 likes
2751,The difference between sex and love is that sex relieves tension and love causes it.,Woody Allen,2202 likes
2752,"Even when you have doubts, take that step. Take chances. Mistakes are never a failure—they can be turned into wisdom.",Cat Cora,2200 likes
2753,"When we are young, the words are scattered all around us. As they are assembled by experience, so also are we, sentence by sentence, until the story takes shape.",Louise Erdrich,2198 likes
2754,"If you want to keep a secret, you must also hide it from yourself.",George Orwell,2198 likes
2755,"There is a saying in Tibetan, 'Tragedy should be utilized as a source of strength.'",Dalai Lama XIV,2198 likes
2756,Music is ... A higher revelation than all Wisdom & Philosophy,Ludwig van Beethoven,2198 likes
2757,"Alone. Yes, that's the key word, the most awful word in the English tongue. Murder doesn't hold a candle to it and hell is only a poor synonym.",Stephen King,2197 likes
2758,Feminism is the radical notion that women are human beings.,Cheris Kramarae,2197 likes
2759,"Words, I think, are such unpredictable creatures.",Tahereh Mafi,2196 likes
2760,"In the end that was the choice you made, and it doesn't matter how hard it was to make it. It matters that you did.",Cassandra Clare,2196 likes
2761,Maybe this world is another planet’s hell.,Aldous Huxley,2196 likes
2762,I have spread my dreams under your feet.,W.B. Yeats,2195 likes
2763,"I sought to hear the voice of God and climbed the topmost steeple, but God declared: ""Go down again - I dwell among the people.",John Henry Newman,2194 likes
2764,لا تقدم ابداً شروحاً لأحد.. أصدقاؤك الحقيقيون ليسوا فى حاجة إليها و أعداؤك لن يصدقوها,أحلام مستغانمي,2193 likes
2765,"I walk around the school hallways and look at the people. I look at the teachers and wonder why they're here. If they like their jobs. Or us. And I wonder how smart they were when they were fifteen. Not in a mean way. In a curious way. It's like looking at all the students and wondering who's had their heart broken that day, and how they are able to cope with having three quizzes and a book report due on top of that. Or wondering who did the heart breaking. And wondering why.",Stephen Chbosky,2193 likes
2766,One of the deep secrets of life is that all that is really worth the doing is what we do for others.,Lewis Carroll,2193 likes
2767,"If I should have a daughter…Instead of Mom, she’s gonna call me Point B. Because that way, she knows that no matter what happens, at least she can always find her way to me. And I’m going to paint the solar system on the back of her hands so that she has to learn the entire universe before she can say Oh, I know that like the back of my hand.",Sarah Kay,2192 likes
2768,"So we shall let the reader answer this question for himself: who is the happier man, he who has braved the storm of life and lived or he who has stayed securely on shore and merely existed?",Hunter S. Thompson,2192 likes
2769,"If my doctor told me I had only six minutes to live, I wouldn't brood. I'd type a little faster.",Isaac Asimov,2191 likes
2770,"Laugh, even when you feel too sick or too worn out or tired. ",Alysha Speer,2190 likes
2771,"We all bear scars,... Mine just happen to be more visible than most.",Sarah J. Maas,2189 likes
2772,"Question everything. Your love, your religion, your passion. If you don't have questions, you'll never find answers.",Colleen Hoover,2189 likes
2773,"To me, FEARLESS is not the absence of fear. It’s not being completely unafraid. To me, FEARLESS is having fears. FEARLESS is having doubts. Lots of them. To me, FEARLESS is living in spite of those things that scare you to death. FEARLESS is falling madly in love again, even though you’ve been hurt before. FEARLESS is walking into your freshmen year of high school at fifteen. FEARLESS is getting back up and fighting for what you want over and over again… even though every time you’ve tried before, you’ve lost. It’s FEARLESS to have faith that someday things will change. FEARLESS is having the courage to say goodbye to someone who only hurts you, even if you can’t breathe without them. I think it’s FEARLESS to fall for your best friend, even though he’s in love with someone else. And when someone apologizes to you enough times for things they’ll never stop doing, I think it’s FEARLESS to stop believing them. It’s FEARLESS to say you’re NOT sorry, and walk away. I think loving someone despite what people think is FEARLESS. I think allowing yourself to cry on the bathroom floor is FEARLESS. Letting go is FEARLESS. Then, moving on and being alright…That’sFEARLESS too. But no matter what love throws at you, you have to believe in it. You have to believe in love stories and prince charmings and happily ever after. That’s why I write these songs. Because I think love is FEARLESS.",Taylor Swift,2189 likes
2774,"I want you always to remember me. Will you remember that I existed, and that I stood next to you here like this?",Haruki Murakami,2189 likes
2775,No one ever told me that grief felt so like fear.,C.S. Lewis,2189 likes
2776,Man only likes to count his troubles; he doesn't calculate his happiness.,Fyodor Dostoyevsky,2189 likes
2777,Black hair and blue eyes are my favorite combination.,Cassandra Clare,2188 likes
2778,"If you ever meet the man who could take advantage of Isabelle, you’ll have to let me know. I’d like to shake his hand. Or run away from him very fast, I’m not sure which.",Cassandra Clare,2188 likes
2779,"Here's what's not beautiful about it: from here, you can't see the rust or the cracked paint or whatever, but you can tell what the place really is. You can see how fake it all is. It's not even hard enough to be made out of plastic. It's a paper town. I mean, look at it, Q: look at all those culs-de-sac, those streets that turn in on themselves, all the houses that were built to fall apart. All those paper people living in their paper houses, burning the future to stay warm. All the paper kids drinking beer some bum bought for them at the paper convenience store. Everyone demented with the mania of owning things. All the things paper-thin and paper-frail. And all the people, too. I've lived here for eighteen years and I have never once in my life come across anyone who cares about anything that matters.",John Green,2188 likes
2780,You get what anybody gets - you get a lifetime.,Neil Gaiman,2188 likes
2781,"I don't know where I'm going, but I'm on my way.",Carl Sandburg,2188 likes
2782,A man who dares to waste one hour of time has not discovered the value of life.,Charles Darwin,2186 likes
2783,My religion is very simple. My religion is kindness.,Dalai Lama XIV,2186 likes
2784,You can’t tell me,Jamie McGuire,2185 likes
2785,"When one is in love, one always begins by deceiving one's self, and one always ends by deceiving others. That is what the world calls a romance.",Oscar Wilde,2185 likes
2786,"And then I felt sad because I realized that once people are broken in certain ways, they can't ever be fixed, and this is something nobody ever tells you when you are young and it never fails to surprise you as you grow older as you see the people in your life break one by one. You wonder when your turn is going to be, or if it's already happened.",Douglas Coupland,2185 likes
2787,"There will be a few times in your life when all your instincts will tell you to do something, something that defies logic, upsets your plans, and may seem crazy to others. When that happens, you do it. Listen to your instincts and ignore everything else. Ignore logic, ignore the odds, ignore the complications, and just go for it.",Judith McNaught,2184 likes
2788,I hate men who are afraid of women's strength.,Anaïs Nin,2184 likes
2789,"What a kid I got, I told him about the birds and the bees and he told me about the butcher and my wife.",Rodney Dangerfield,2184 likes
2790,Today is the sort of day where the sun only comes up to humiliate you.,Chuck Palahniuk,2184 likes
2791,في داخلي شُرْفَةٌ,Mahmoud Darwish,2183 likes
2792,"Your emotions are the slaves to your thoughts, and you are the slave to your emotions.",Elizabeth Gilbert,2182 likes
2793,"I always worried someone would notice me, and then when no one did, I felt lonely.",Curtis Sittenfeld,2181 likes
2794,"Book collecting is an obsession, an occupation, a disease, an addiction, a fascination, an absurdity, a fate. It is not a hobby. Those who do it must do it. Those who do not do it, think of it as a cousin of stamp collecting, a sister of the trophy cabinet, bastard of a sound bank account and a weak mind.",Jeanette Winterson,2180 likes
2795,Only someone who is well prepared has the opportunity to improvise.,Ingmar Bergman,2179 likes
2796,"Love is . . . Being happy for the other person when they are happy, Being sad for the person when they are sad, Being together in good times, And being together in bad times.",Susan Polis Schutz,2179 likes
2797,Most men would rather deny a hard truth than face it.,George R.R. Martin,2178 likes
2798,Blessed are the hearts that can bend; they shall never be broken.,Albert Camus,2178 likes
2799,"You think because he doesn't love you that you are worthless. You think that because he doesn't want you anymore that he is right -- that his judgement and opinion of you are correct. If he throws you out, then you are garbage. You think he belongs to you because you want to belong to him. Don't. It's a bad word, 'belong.' Especially when you put it with somebody you love. Love shouldn't be like that. Did you ever see the way the clouds love a mountain? They circle all around it; sometimes you can't even see the mountain for the clouds. But you know what? You go up top and what do you see? His head. The clouds never cover the head. His head pokes through, beacuse the clouds let him; they don't wrap him up. They let him keep his head up high, free, with nothing to hide him or bind him. You can't own a human being. You can't lose what you don't own. Suppose you did own him. Could you really love somebody who was absolutely nobody without you? You really want somebody like that? Somebody who falls apart when you walk out the door? You don't, do you? And neither does he. You're turning over your whole life to him. Your whole life, girl. And if it means so little to you that you can just give it away, hand it to him, then why should it mean any more to him? He can't value you more than you value yourself.",Toni Morrison,2177 likes
2800,"أسوء تعذيب فى العالم هو الشخص المُصر على الكلام بينما أنت مُثقل بالهموم , ترغب فى أن تبقى صامتاً وأن تصغى لأفكارك.",أحمد خالد توفيق,2177 likes
2801,Laugh all you want and cry all you want and whistle at pretty men in the street and to hell with anybody who thinks you're a damned fool!,Armistead Maupin,2176 likes
2802,I just did some calculations and I've been able to determine that you're full of shit.,John Green,2176 likes
2803,Those who cannot change their minds cannot change anything.,George Bernard Shaw,2176 likes
2804,"There is no such thing as a ""broken family."" Family is family, and is not determined by marriage certificates, divorce papers, and adoption documents. Families are made in the heart. The only time family becomes null is when those ties in the heart are cut. If you cut those ties, those people are not your family. If you make those ties, those people are your family. And if you hate those ties, those people will still be your family because whatever you hate will always be with you.",C. JoyBell C.,2175 likes
2805,The price good men pay for indifference to public affairs is to be ruled by evil men.,Plato,2175 likes
2806,You can go through life and make new friends every year - every month practically - but there was never any substitute for those friendships of childhood that survive into adult years. Those are the ones in which we are bound to one another with hoops of steel.,Alexander McCall Smith,2175 likes
2807,"It isn't what we say or think that defines us, but what we do.",Jane Austen,2174 likes
2808,I am a part of all that I have met.,Alfred Tennyson,2174 likes
2809,That's what fiction is for. It's for getting at the truth when the truth isn't sufficient for the truth.,Tim O'Brien,2174 likes
2810,"Grown-ups don't look like grown-ups on the inside either. Outside, they're big and thoughtless and they always know what they're doing. Inside, they look just like they always have. Like they did when they were your age. Truth is, there aren't any grown-ups. Not one, in the whole wide world.",Neil Gaiman,2173 likes
2811,She was ready to deny the existence of space and time rather than admit that love might not be eternal.,Simone de Beauvoir,2173 likes
2812,"The bond forged between us was not one that could be broken by absence, distance, or time. And no matter how much more special or beautiful or brilliant or perfect than me he might be, he was as irreversibly altered as I was. As I would always belong to him, so would he always be mine.",Stephenie Meyer,2171 likes
2813,"Child, child, do you not see? For each of us comes a time when we must be more than what we are.",Lloyd Alexander,2170 likes
2814,"The unhappiest people in this world, are those who care the most about what other people think.",C. JoyBell C.,2169 likes
2815,Courage isn't having the strength to go on - it is going on when you don't have strength.,Napoléon Bonaparte,2169 likes
2816,I’ve known people that the world has thrown everything at to discourage them...to break their spirit. And yet something about them retains a dignity. They face life and don’t ask quarters.,Horton Foote,2168 likes
2817,Charm is the ability to make someone else think that both of you are pretty wonderful.,Kathleen Winsor,2167 likes
2818,To hurt is as human as to breathe.,J.K. Rowling,2167 likes
2819,"Therefore, dear Sir, love your solitude and try to sing out with the pain it causes you. For those who are near you are far away... and this shows that the space around you is beginning to grow vast.... be happy about your growth, in which of course you can't take anyone with you, and be gentle with those who stay behind; be confident and calm in front of them and don't torment them with your doubts and don't frighten them with your faith or joy, which they wouldn't be able to comprehend. Seek out some simple and true feeling of what you have in common with them, which doesn't necessarily have to alter when you yourself change again and again; when you see them, love life in a form that is not your own and be indulgent toward those who are growing old, who are afraid of the aloneness that you trust.... and don't expect any understanding; but believe in a love that is being stored up for you like an inheritance, and have faith that in this love there is a strength and a blessing so large that you can travel as far as you wish without having to step outside it.",Rainer Maria Rilke,2166 likes
2820,Just tell me how to be different in a way that makes sense.,Stephen Chbosky,2166 likes
2821,"It is always sad when someone leaves home, unless they are simply going around the corner and will return in a few minutes with ice-cream sandwiches.",Lemony Snicket,2165 likes
2822,"I found myself thinking about President William McKinley, the third American president to be assassinated. He lived for several days after he was shot, and towards the end, his wife started crying and screaming, ""I want to go too! I want to go too!"" And with his last measure of strength, McKinley turned to her and spoke his last words: ""We are all going.",John Green,2165 likes
2823,Peace cannot be kept by force; it can only be achieved by understanding.,Albert Einstein,2165 likes
2824,Ordinary life is pretty complex stuff.,Harvey Pekar,2164 likes
2825,There is nothing more dreadful than the habit of doubt. Doubt separates people. It is a poison that disintegrates friendships and breaks up pleasant relations. It is a thorn that irritates and hurts; it is a sword that kills.,Gautama Buddha,2163 likes
2826,"Every couple needs to argue now and then. Just to prove that the relationship is strong enough to survive. Long-term relationships, the ones that matter, are all about weathering the peaks and the valleys.",Nicholas Sparks,2162 likes
2827,"Dimitri: ""Why did you come here?""",Richelle Mead,2162 likes
2828,Never be afraid to sit awhile and think.,Lorraine Hansberry,2162 likes
2829,"The real voyage of discovery consists not in seeking new landscapes, but in having new eyes.",Marcel Proust,2162 likes
2830,لا تجالس أنصاف العشاق، ولا تصادق أنصاف الأصدقاء، لا تقرأ لأنصاف الموهوبين،لا تعش نصف حياة، ولا تمت نصف موت،لا تختر نصف حل، ولا تقف في منتصف الحقيقة، لا تحلم نصف حلم، ولا تتعلق بنصف أمل، إذا صمتّ.. فاصمت حتى النهاية، وإذا تكلمت.. فتكلّم حتى النهاية، لا تصمت كي تتكلم، ولا تتكلم كي تصمت.,Kahlil Gibran,2161 likes
2831,"You forget what you want to remember, and you remember what you want to forget.",Cormac McCarthy,2161 likes
2832,The way to get started is to quit talking and begin doing. ,Walt Disney Company,2161 likes
2833,"Where is Wood?"" said Harry, suddenly realizing he wasn't there.",J.K. Rowling,2161 likes
2834,"I don't care,"" Clary said. ""He'd do it for me. Tell me he wouldn't. If I were missing-"" ",Cassandra Clare,2160 likes
2835,I’m not in this world to live up to your expectations and you’re not in this world to live up to mine.,Bruce Lee,2160 likes
2836,"He allowed himself to be swayed by his conviction that human beings are not born once and for all on the day their mothers give birth to them, but that life obliges them over and over again to give birth to themselves.",Gabriel García Márquez,2159 likes
2837,"If you don't go after what you want, you'll never have it. If you don't ask, the answer is always no. If you don't step forward, you're always in the same place.",Nora Roberts,2159 likes
2838,"What I've come to learn is that the world is never saved in grand messianic gestures, but in the simple accumulation of gentle, soft, almost invisible acts of compassion.",Chris Abani,2158 likes
2839,Kind people have a way of working their way inside me and rooting there.,Suzanne Collins,2158 likes
2840,"If you know someone who’s depressed, please resolve never to ask them why. Depression isn’t a straightforward response to a bad situation; depression just is, like the weather.",Stephen Fry,2157 likes
2841,"We are who we are, be­cause of those we choose to love and be­cause of those who love us.",Kate Mosse,2157 likes
2842,"Your lucky enough to be different, never change",Taylor Swift,2156 likes
2843,Stay is a charming word in a friend's vocabulary.,Amos Bronson Alcott,2154 likes
2844,"Laugh loudly, laugh often, and most important, laugh at yourself.",Chelsea Handler,2153 likes
2845,Keep your face always toward the sunshine - and shadows will fall behind you.,Walt Whitman,2153 likes
2846,Freedom (n.): To ask nothing. To expect nothing. To depend on nothing.,Ayn Rand,2153 likes
2847,The greatness of a nation and its moral progress can be judged by the way its animals are treated.,Mahatma Gandhi,2153 likes
2848,"I can't eat and I can't sleep. I'm not doing well in terms of being a functional human, you know?",Ned Vizzini,2152 likes
2849,"There were things I wanted to tell him. But I knew they would hurt him. So I buried them, and let them hurt me.",Jonathan Safran Foer,2152 likes
2850,"Is there some particular reason that you're here?"" ...",Cassandra Clare,2152 likes
2851,In the middle of difficulty lies opportunity,Albert Einstein,2151 likes
2852,"It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to than I have ever known.",Charles Dickens,2151 likes
2853,"When the enemy has no face, society will invent one.",Susan Faludi,2150 likes
2854,"I know not all that may be coming, but be it what it will, I'll go to it laughing.",Herman Melville,2149 likes
2855,"I forgot that's what gets you all hot and bothered, Jace, girls killing things.""",Cassandra Clare,2148 likes
2856,Do not be afraid; our fate,Dante Alighieri,2148 likes
2857,"From now on, I don't care if my tea leaves spell 'Die, Ron, Die,' I'm chucking them in the bin where they belong.",J.K. Rowling,2146 likes
2858,Adventure is worthwhile in itself.,Amelia Earhart,2145 likes
2859,"Sometimes I lie awake at night, and I ask, 'Where have I gone wrong'.",Charles M. Schulz,2145 likes
2860,"Throw your dreams into space like a kite, and you do not know what it will bring back, a new life, a new friend, a new love, a new country.",Anaïs Nin,2144 likes
2861,I'm so glad I live in a world where there are Octobers.,L.M. Montgomery,2143 likes
2862,"So you're a Shadowhunter,' Nate said. 'De Quincey told me that you lot were monsters.'",Cassandra Clare,2143 likes
2863,"Chaos often breeds life, when order breeds habit.",Henry Adams,2143 likes
2864,"It is not the length of life, but the depth.",Ralph Waldo Emerson,2143 likes
2865,"Whatever you do, you need courage. Whatever course you decide upon, there is always someone to tell you that you are wrong. There are always difficulties arising that tempt you to believe your critics are right. To map out a course of action and follow it to an end requires some of the same courage that a soldier needs. Peace has its victories, but it takes brave men and women to win them.",Ralph Waldo Emerson,2143 likes
2866,"Stories you read when you're the right age never quite leave you. You may forget who wrote them or what the story was called. Sometimes you'll forget precisely what happened, but if a story touches you it will stay with you, haunting the places in your mind that you rarely ever visit.",Neil Gaiman,2142 likes
2867,"If we have no peace, it is because we have forgotten that we belong to each other.",Mother Teresa,2142 likes
2868,"We never know the quality of someone else's life, though we seldom resist the temptation to assume and pass judgement.",Tami Hoag,2141 likes
2869,He cleared his throat and held up one hand dramatically.,Rick Riordan,2140 likes
2870,The main reason Santa is so jolly is because he knows where all the bad girls live.,George Carlin,2140 likes
2871,Men marry women with the hope they will never change. Women marry men with the hope they will change. Invariably they are both disappointed.,H.M. Harwood,2140 likes
2872,"Jane, be still; don't struggle so like a wild, frantic bird, that is rending its own plumage in its desperation.""",Charlotte Brontë,2140 likes
2873,"If you want to be happy, be.",Leo Tolstoy,2140 likes
2874,Literature is a luxury; fiction is a necessity.,G.K. Chesterton,2140 likes
2875,The sad truth is the truth is sad.,Lemony Snicket,2139 likes
2876,"If you were music, I would listen to you ceaselessly, and my low spirits would brighten up.",Anna Akhmatova,2138 likes
2877,The advantage of a bad memory is that one enjoys several times the same good things for the first time.,Friedrich Nietzsche,2138 likes
2878,She's strong! And scary...I bet she's single...I'd put money on it..,Masashi Kishimoto,2138 likes
2879,The earth laughs in flowers.,Ralph Waldo Emerson,2138 likes
2880,The desire to reach for the stars is ambitious. The desire to reach hearts is wise.,Maya Angelou,2137 likes
2881,"sometimes you don't need a goal in life, you don't need to know the big picture. you just need to know what you're going to do next!",Sophie Kinsella,2137 likes
2882,Dare to live the life you have dreamed for yourself. Go forward and make your dreams come true.,Ralph Waldo Emerson,2137 likes
2883,"livid, ",David Levithan,2136 likes
2884,Children begin by loving their parents; as they grow older they judge them; sometimes they forgive them.,Oscar Wilde,2136 likes
2885,I just want you to know that you’re very special… and the only reason I’m telling you is that I don’t know if anyone else ever has.,Stephen Chbosky,2135 likes
2886,"Five exclamation marks, the sure sign of an insane mind.",Terry Pratchett,2135 likes
2887,"I won't ever leave you, even though you're always leaving me.",Audrey Niffenegger,2134 likes
2888,The Bhagavad Gita--that ancient Indian Yogic text--says that it is better to live your own destiny imperfectly than to live an imitation of somebody else's life with perfection.,Elizabeth Gilbert,2134 likes
2889,Life is like a prism. What you see depends on how you turn the glass.,Jonathan Kellerman,2133 likes
2890,"I know all those words, but that sentence makes no sense to me.",Matt Groening,2133 likes
2891,The Voice,Shel Silverstein,2132 likes
2892,Poetry is what gets lost in translation.,Robert Frost,2132 likes
2893,"Lord, what fools these mortals be!",William Shakespeare,2131 likes
2894,Ideas are easy. It's the execution of ideas that really separates the sheep from the goats.,Sue Grafton,2130 likes
2895,"I’m glad we had the times together just to laugh and sing a song, seems like we just got started and then before you know it, the times we had together were gone.",Dr. Seuss,2130 likes
2896,Strength is the capacity to break a Hershey bar into four pieces with your bare hands - and then eat just one of the pieces.,Judith Viorst,2130 likes
2897,Lovers don't finally meet somewhere. They're in each other all along.,Jalaluddin Rumi,2129 likes
2898,Life is far too important a thing ever to talk seriously about.,Oscar Wilde,2129 likes
2899,"It takes a lot of time to be a genius. You have to sit around so much, doing nothing, really doing nothing.",Gertrude Stein,2128 likes
2900,"Sleep, he says. I'll fight the bad dreams off if they come to get you. With what? My bare hands, obviously.",Veronica Roth,2127 likes
2901,A concept is a brick. It can be used to build a courthouse of reason. Or it can be thrown through the window.,Gilles Deleuze,2127 likes
