#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Shadow,Catch Difficulty,Vision,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
56.0,anchovy,https://acnhcdn.com/latest/MenuIcon/Fish81.png,https://acnhcdn.com/latest/BookFishIcon/FishAntyobiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAntyobi.png,200.0,Sea,Small,Very Easy,Very Wide,0.0,2–5,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,1x1,No,"There are more than 140 species of anchovy, but they do all have some things in common. They are small and feed by simply swimming with their mouths open to filter food particles from the sea. (In my sleepier moments, I sometimes wish I could do that...)",I caught an anchovy! Stay away from my pizza!,71.0,Pet,Blue,Red,No lighting,Fish81,FishAntyobi,FtrFishAntyobi,4201.0,LzuWkSQP55uEpRCP5
8.0,pop-eyed goldfish,https://acnhcdn.com/latest/MenuIcon/Fish8.png,https://acnhcdn.com/latest/BookFishIcon/FishDemekinCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishDemekin.png,1300.0,Pond,X-Small,Easy,Medium,0.0,1–2,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"Pop-eyed goldfish have, as the name suggests, huge round eyes. But as babies they look like other goldfish! As they grow, their eyes begin to pop out and they gain their, hoo, distinct appearance... Imagine the poor fish fancier who unknowingly bought one! Their eyes might well pop out just as far!",I got a pop-eyed goldfish! It looks so...surprised!,71.0,Pet,Black,Light blue,No lighting,Fish8,FishDemekin,FtrFishDemekin,2221.0,RvqzuA438gGqRJ7NG
55.0,puffer fish,https://acnhcdn.com/latest/MenuIcon/Fish45.png,https://acnhcdn.com/latest/BookFishIcon/FishHarisenbonCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishHarisenbon.png,250.0,Sea,Medium,Easy,Medium,0.0,7–8,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Like its cousin the blowfish, when the puffer fish feels threatened it inflates into a spiky balloon. The biggest difference between them is that the puffer fish is not deadly poisonous like its kin. So while it may look scary, the substantially reduced risk to life and limb makes it much better company.","I caught a puffer fish! I thought you would be tougher, fish!",71.0,Pet,Beige,Black,Fluorescent,Fish45,FishHarisenbon,FtrFishHarisenbon,2263.0,jNkgaybfSsv8MkaQ2
39.0,rainbowfish,https://acnhcdn.com/latest/MenuIcon/Fish80.png,https://acnhcdn.com/latest/BookFishIcon/FishRainbowfishCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRainbowfish.png,800.0,River,X-Small,Hard,Narrow,0.0,2–3,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,NA,NA,NA,NA,NA,NA,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"The rainbowfish is a tropical fish known for its metallic colors and beautiful fins. There are over 50 different species, each unique and pleasing color. I must say, it does make me wish for feathers of a more exciting hue than ""underbaked brownie.""",I caught a rainbowfish! Where's my pot of goldfish?,71.0,Pet,Orange,Black,Fluorescent,Fish80,FishRainbowfish,FtrFishRainbowfish,4194.0,XJfkdS4C2MPYiscST
9.0,ranchu goldfish,https://acnhcdn.com/latest/MenuIcon/Fish85.png,https://acnhcdn.com/latest/BookFishIcon/FishRanchuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishRanchu.png,4500.0,Pond,Small,Hard,Narrow,20.0,1–2,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,9 AM – 4 PM,1x1,No,"The ranchu goldfish is a charming relative of the goldfish with a bumpy head and stout, round body. They have ordinary heads when born, but develop impressive rectangular heads after about three years. Supposedly their head shape changes depending on factors like the size of their tank... So ranchu goldfish enthusiasts aim to raise perfectly shaped specimens and work hard to achieve this. Of course, no one asks the ranchu goldfish themselves what shape they want their heads to be...",I caught a ranchu goldfish! But I prefer balsamicu goldfish!,71.0,Pet,Red,Black,No lighting,Fish85,FishRanchu,FtrFishRanchu,5254.0,4NE2SteWKEaBYjgWb
71.0,ray,https://acnhcdn.com/latest/MenuIcon/Fish59.png,https://acnhcdn.com/latest/BookFishIcon/FishEiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishEi.png,3000.0,Sea,X-Large,Easy,Medium,20.0,2,NA,NA,NA,NA,NA,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,4 AM – 9 PM,NA,NA,NA,NA,NA,NA,NA,2x1,Yes,"The ray is an unusually shaped fish with a flat body and a long body, somewhat related to sharks. Seen from the bottom, the mouth on its stomach appears to be smiling, which is objectively adorable. But be cautious—unlike most cute animals, some rays are extremely venomous. BEWARE THE SMILE.",I caught a ray! A few more and I'll have a tan!,71.0,Pet,Brown,Black,Fluorescent,Fish59,FishEi,FtrFishEi,2277.0,gP5F7wWFvFqiZzuGw
60.0,red snapper,https://acnhcdn.com/latest/MenuIcon/Fish49.png,https://acnhcdn.com/latest/BookFishIcon/FishTaiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTai.png,3000.0,Sea,Large,Hard,Medium,0.0,5–7,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Red snapper' is the common name of dozens of fish species, and I wonder why it is so popular. Are there so many types of fish that are both a shade of red and have a tendency to snap? Were there no other names? What about 'burgundy biter'? 'Garnet grasper'? 'Puce pincher'?",I caught a red snapper! It looks pretty dapper!,71.0,Pet,Red,Black,Fluorescent,Fish49,FishTai,FtrFishTai,2267.0,iY4zfgojAfLskW4CQ
65.0,ribbon eel,https://acnhcdn.com/latest/MenuIcon/Fish71.png,https://acnhcdn.com/latest/BookFishIcon/FishHanahigeutuboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishHanahige.png,600.0,Sea,Long,Hard,Very Narrow,0.0,2,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,2x1,Yes,"The ribbon eel is related to the moray eel, though its bright coloration distinguishes it. It also has an unusual plant-like appendage at the tip of its nose that flutters as the creature moves. I like to think of it as having an extremely friendly nose that waves a greeting to those nearby!",I caught a ribbon eel! Can it tie itself into a bow?,71.0,Pet,Blue,Black,Fluorescent,Fish71,FishHanahigeutubo,FtrFishHanahige,2272.0,T9zeSBHpB5qyAZTxu
45.0,saddled bichir,https://acnhcdn.com/latest/MenuIcon/Fish68.png,https://acnhcdn.com/latest/BookFishIcon/FishEndorikeriiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishEndlicheri.png,4000.0,River,Large,Hard,Narrow,20.0,1,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,NA,NA,NA,9 PM – 4 AM,2x1,Yes,"What an elegant specimen you've found. The saddled bichir has a look entirely its own. They have poor eyesight, so they use their fine-tuned sniffers to seek out prey. Can you imagine relying solely on your sense of smell to find food? And if one nostril became clogged, would you be unable to tell how far away the scent was?",Wow! A saddled bichir! And me without my tiny riding crop...,71.0,Pet,Brown,Black,Fluorescent,Fish68,FishEndorikerii,FtrFishEndlicheri,2254.0,bcTmnwZxrw2iJsQmf
31.0,salmon,https://acnhcdn.com/latest/MenuIcon/Fish27.png,https://acnhcdn.com/latest/BookFishIcon/FishSakeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSake.png,700.0,River (mouth),Large,Medium,Medium,0.0,20,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,2x1,Yes,"Ah, salmon! Did you know their coloration is due specifically to their diet? Indeed, this is the case! The more they fill their diet with crustaceans such as krill and shrimp, the deeper shade of pink they are. If they ate a bushel of carrots, might they turn orange?",I caught a salmon! It's all upstream from here!,71.0,Pet,Brown,Black,Fluorescent,Fish27,FishSake,FtrFishSake,2242.0,iwXhnZcSezNxqdNQf
72.0,saw shark,https://acnhcdn.com/latest/MenuIcon/Fish74.png,https://acnhcdn.com/latest/BookFishIcon/FishNokogirizameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNokogiri.png,12000.0,Sea,X-Large w/Fin,Hard,Very Narrow,50.0,1,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,2x1,Yes,"As you might expect from the name, the saw shark is a shark with a head that resembles a saw. This unusual appendage is used both to dig potential prey out of the sand and as a weapon against said prey. Given that, it seems like a more appropriate name would have been ""shovel-sword shark,"" eh wot?",I caught a saw shark! You could call it a sea saw!,71.0,Pet,Brown,Black,Fluorescent,Fish74,FishNokogirizame,FtrFishNokogiri,2281.0,tsrT7a8cbtwZrmJTz
59.0,sea bass,https://acnhcdn.com/latest/MenuIcon/Fish48.png,https://acnhcdn.com/latest/BookFishIcon/FishSuzukiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSuzuki.png,400.0,Sea,X-Large,Easy,Wide,0.0,11–18,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,2x1,Yes,"Sea bass is a name given to a variety of different species of saltwater fish. They are a varied bunch with some as small as four inches and some as staggeringly ginormous as eight feet! 'Sea bass' is a bit pedestrian though. Many species have better names, such as 'redbanded perch.' Or the delightfully whimsical dusky grouper! Or the potato cod! WILL NO ONE THINK OF THE PINK MAOMAO?!","I caught a sea bass! No, wait- it's at least a C+!",71.0,Pet,Gray,Black,Fluorescent,Fish48,FishSuzuki,FtrFishSuzuki,2266.0,LkA5hzibm6uiHDB9g
47.0,sea butterfly,https://acnhcdn.com/latest/MenuIcon/Fish37.png,https://acnhcdn.com/latest/BookFishIcon/FishKurioneCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKurione.png,1000.0,Sea,X-Small,Easy,Very Narrow,0.0,10–11,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,1x1,No,"Such mystery! Such grace! Did you know that the sea butterfly's scientific name is Thecosomata? A very rough translation of that is 'shell body.' Indeed, this illustrious creature is related to snails! However, it reminds me much more of an elegant feathered friend, the way it flies through the water. With such grace in flying, one shouldn't wonder if it's related to the owl, hoo hoo!",I caught a sea butterfly! Try not to confuse it for a sea moth!,71.0,Pet,White,Black,Fluorescent,Fish37,FishKurione,FtrFishKurione,2255.0,kd5beizyQGeyjeM79
48.0,sea horse,https://acnhcdn.com/latest/MenuIcon/Fish39.png,https://acnhcdn.com/latest/BookFishIcon/FishTatsunootoshigoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTatsunootoshigo.png,1100.0,Sea,X-Small,Medium,Narrow,0.0,5–7,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Ah, a favorite of mine, to be sure! The sea horse is such a very unique creature and is indeed a fish! Though, as far as fish go, sea horses are not great swimmers. The sea horse, you see, has but a wee fin on its back, which propels it through water rather poorly. Thus these fish are often found using their prehensile tails to hold tight in amongst the sea grass. And here's one final fact for you... Sea horses have no stomach and so must constantly feed to stay alive! Indeed, the life of a land horse sounds far easier than that of the hardworking horse of the sea.",I caught a sea horse! But...where's its sea jockey?,71.0,Pet,Orange,Black,Fluorescent,Fish39,FishTatsunootoshigo,FtrFishTatsunootoshigo,2256.0,Pw5oZqC29NWEGRfyS
13.0,snapping turtle,https://acnhcdn.com/latest/MenuIcon/Fish78.png,https://acnhcdn.com/latest/BookFishIcon/FishKamitsukigameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKamitukigame.png,5000.0,River,Large,Hard,Medium,0.0,2–3,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,NA,NA,NA,NA,NA,9 PM – 4 AM,9 PM – 4 AM,9 PM – 4 AM,1x1,No,"The snapping turtle is a large turtle known for it's crocodile-like body and long claws. No, wait-- it is better known for it's ferocious bite, which it can deliver with shocking speed for a turtle. NO, WAIT-- it is BEST known for that time one chased me across a parking lot and I had to climb on top of a car.",I caught a snapping turtle! How can it snap without fingers?,71.0,Pet,Brown,Black,No lighting,Fish78,FishKamitsukigame,FtrFishKamitukigame,4192.0,SJa3LLde3Yuz4H3D7
12.0,soft-shelled turtle,https://acnhcdn.com/latest/MenuIcon/Fish65.png,https://acnhcdn.com/latest/BookFishIcon/FishSupponCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishSuppon.png,3750.0,River,Large,Hard,Narrow,20.0,4,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,No,"These relatives of common turtles will not let go when they decide to bite down on something. Although they can be quite shy, they will become a bit aggressive when threatened. They are often found in water and are very good swimmers because of the flat shape of their shells. They swim with their snouts over the surface of the water so they can breathe. Soft-shelled turtles aren't safe to hold because they are so prone to biting at the slightest movement. However, if one bites down on you, it will usually let go when you put it safely back in the water.",I caught a soft-shelled turtle! It's more sensitive than other turtles.; I caught a soft-shelled turtle! I should take a shellfie!,71.0,Pet,Green,Black,No lighting,Fish65,FishSuppon,FtrFishSuppon,2224.0,izuY2f4GtEGT3BtuR
63.0,squid,https://acnhcdn.com/latest/MenuIcon/Fish52.png,https://acnhcdn.com/latest/BookFishIcon/FishIkaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishIka.png,500.0,Sea,Medium,Easy,Wide,0.0,7–10,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Well, first off, squids are members of the mollusk family, just like the octopus. Many mollusks like snails and clams have shells, but the squid's body is almost completely soft. The exception is a long, narrow bit of hard material going through its main body - the last remnant of its shell. Of course, having your shell INSIDE is not a best practice. Perhaps they lost the owner's manual!","I caught a squid! It's off the hook!; I caught a squid! I had an inkling I might!; I caught a squid! Do they... not actually ""bloop""?",71.0,Pet,Beige,Black,Fluorescent,Fish52,FishIka,FtrFishIka,2270.0,qxHJ6BGgyQujkC28w
30.0,stringfish,https://acnhcdn.com/latest/MenuIcon/Fish26.png,https://acnhcdn.com/latest/BookFishIcon/FishItouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishItou.png,15000.0,River (clifftop),X-Large,Very Hard,Very Narrow,100.0,1,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,NA,NA,NA,NA,NA,4 PM – 9 AM,NA,NA,NA,NA,NA,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,4 PM – 9 AM,NA,NA,NA,2x1,Yes,"The stringfish grows slowly, but also lives quite a long time for a fish, with up to 15 years being typical. Consequently, while it takes a while, they can get quite large-perhaps even up to six feet long! The stringfish is perhaps the best embodiment in the fish world of 'slow and steady wins the race'",OH MY GOSH! I caught a stringfish! Five more and I'll have a guitarfish!,71.0,Pet,Brown,Black,Fluorescent,Fish26,FishItou,FtrFishItou,2241.0,APXg8kSzjcmoGGWSP
46.0,sturgeon,https://acnhcdn.com/latest/MenuIcon/Fish75.png,https://acnhcdn.com/latest/BookFishIcon/FishTyouzameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishTyouzame.png,10000.0,River (mouth),XX-Large,Very Hard,Very Narrow,20.0,1–4,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,All day,All day,All day,NA,NA,NA,2x1,Yes,"The sturgeon is a large and long-lived fish which has changed little in the last 300 million years. One curious behavior of theirs is leaping high out of the water and falling back in on their sides. The smacking sounds of their re-entry can be heard for up to half a mile away, likely more underwater! No one knows why they do it, but I like to think it's their impression of bread popping out of a toaster!",I caught a sturgeon! Wonder if it can perform sturgery...,71.0,Pet,Black,Black,Fluorescent,Fish75,FishTyouzame,FtrFishTyouzame,4189.0,XabKYtzYDNSNrFvpw
76.0,suckerfish,https://acnhcdn.com/latest/MenuIcon/Fish83.png,https://acnhcdn.com/latest/BookFishIcon/FishKobanzameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishKobanzame.png,1500.0,Sea,X-Large w/Fin,Very Easy,Very Wide,20.0,2,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,1x1,Yes,"The suckerfish is a curious fish that likes to attach itself with its sucker mouth to larger marine animals. The benefit to the suckerfish is that it gets to eat smaller parasites and dead skin off the host's body. Amusingly, some people have used suckerfish on cords to catch large turtles with the fish's own suction! I imagine this practice is the cause of some awkward conversations between fish and turtle, eh wot","I caught a suckerfish! I thought it was a shark! Oh, wait - now I get it. ""Sucker""...",71.0,Pet,Black,Black,Fluorescent,Fish83,FishKobanzame,FtrFishKobanzame,4203.0,FPpwmMDn9rYAJazyS
50.0,surgeonfish,https://acnhcdn.com/latest/MenuIcon/Fish41.png,https://acnhcdn.com/latest/BookFishIcon/FishNanyouhagiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishNanyouhagi.png,1000.0,Sea,Small,Easy,Medium,0.0,2,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,1x1,No,"Hoo! Careful, now! These fish are particularly dangerous, despite their seemingly docile appearance. With its saturated blue and yellow tones, the surgeonfish is quite breathtaking. It's got to keep up with all the other vibrant fish that live in the coral too, I wager. Quite the competition! Its spine is sharp as a blade, so care must be taken when handling these beauties...",I caught a surgeonfish! Scalpel! Forceps! Fish hook!,71.0,Pet,Blue,Black,Fluorescent,Fish41,FishNanyouhagi,FtrFishNanyouhagi,2258.0,s7iioofF5C7PzCZyF
26.0,sweetfish,https://acnhcdn.com/latest/MenuIcon/Fish22.png,https://acnhcdn.com/latest/BookFishIcon/FishAyuCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishAyu.png,900.0,River,Medium,Hard,Medium,0.0,5–10,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Sweetfish are the damp heralds of summer! These slippery fellows appear in numbers when it warms up. They hatch in a river, then swim to the ocean. Once mature, they return to the river where they were born. But when they return depends on the river temperature— if it's too cold their fishing season will start later. Some even say summer can't start without sweetfish despite the KEY role played by the earth's axial tilt!",I caught a sweetfish! Hope it's not artificially sweet!,71.0,Pet,Green,Black,Fluorescent,Fish22,FishAyu,FtrFishAyu,2237.0,dWgg2bjCicuiZjXW6
14.0,tadpole,https://acnhcdn.com/latest/MenuIcon/Fish64.png,https://acnhcdn.com/latest/BookFishIcon/FishOtamajakusiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishOtama.png,100.0,Pond,X-Small,Easy,Very Wide,0.0,5–6,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,NA,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,All day,All day,1x1,No,"Undoubtedly you know that tadpoles eventually turn into frogs. I must say, I find them impossibly adorable with their squiggly little tails. But even cuter... when they sprout legs! Why, we can witness accelerated evolution in these squirmy little ones. Hoo, it makes me so emotional!",I caught a tadpole... It's just a tad small.,71.0,Pet,Black,Blue,No lighting,Fish64,FishOtamajakusi,FtrFishOtama,2225.0,rb8MsjWopKYWuQK8s
23.0,tilapia,https://acnhcdn.com/latest/MenuIcon/Fish76.png,https://acnhcdn.com/latest/BookFishIcon/FishThirapiaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishThirapia.png,800.0,River,Medium,Hard,Medium,0.0,7–9,NA,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,1x1,Yes,"Wherever the waters are warm, the tilapia can be found. It is a highly adaptable river fish. They mainly feed on algae, but they will also eat larvae and dead fish— or whatever fits in their mouths. I will confess that, as a growing owlet, I similarly defined food as 'anything that fits in my beak.'",I caught a tilapia! It makes me happy-a!,71.0,Pet,Black,Black,Fluorescent,Fish76,FishThirapia,FtrFishThirapia,4190.0,as78rnkwY3ahrTkBY
66.0,tuna,https://acnhcdn.com/latest/MenuIcon/Fish57.png,https://acnhcdn.com/latest/BookFishIcon/FishMaguroCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishMaguro.png,7000.0,Pier,XX-Large,Very Hard,Narrow,50.0,2,All day,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,2x1,Yes,"The tuna is a large ocean fish that can reach upwards of nine feet long. Besides its great size, it's notable for continuing to swim even when it's sleeping! Well, to be fair, if it doesn't keep swimming, it won't be able to breathe and will of course die... But sleep should be restful, eh wot! If I were the tuna I would feel very hard done by!",I caught a tuna! It's a little off-key!,71.0,Pet,Blue,Black,Fluorescent,Fish57,FishMaguro,FtrFishMaguro,2274.0,4PnGXx9DSb866AeCM
75.0,whale shark,https://acnhcdn.com/latest/MenuIcon/Fish72.png,https://acnhcdn.com/latest/BookFishIcon/FishJinbeezameCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishJinbee.png,13000.0,Sea,X-Large w/Fin,Very Hard,Very Narrow,50.0,1,NA,NA,NA,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,All day,3x2,No,"The mighty whale shark is the largest species of fish in the world with specimens up to 60 feet long! Unlike many of their kin in the shark family, whale sharks are nonviolent, eating only plankton and such. They grow slowly and live long, relaxed lives of filter feeding and leisure in warm waters. So if you ever have to choose a fish as a roommate, you could do worse than the whale shark. Unless you can't swim.","Thar she blows! I caught a whale shark! I'm tellin' ya, it was thiiiiiiiiiiiiiiiiiiiis big!",71.0,Pet,Black,Blue,No lighting,Fish72,FishJinbeezame,FtrFishJinbee,2282.0,r3RAtJsXENwnFvQh7
21.0,yellow perch,https://acnhcdn.com/latest/MenuIcon/Fish18.png,https://acnhcdn.com/latest/BookFishIcon/FishYellowparchCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishYellowparch.png,300.0,River,Medium,Medium,Narrow,0.0,7–10,All day,All day,All day,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,All day,NA,NA,NA,1x1,Yes,"The yellow perch is certainly worth squawking about. I find it a sight to behold! That jagged dorsal fin! Those brilliant stripes! Those glorious colours! Hoo, truly it is quite the specimen. I would be thrilled to witness it firsthand in its natural environment... But the yellow perch's peak season is winter, I'm afraid. (So very afraid... of winter's biting chill...)",I caught a yellow perch! Those yellow birds have to sit somewhere!,71.0,Pet,Yellow,Black,Fluorescent,Fish18,FishYellowparch,FtrFishYellowparch,2233.0,bLgE5dicZniF5zZDW
53.0,zebra turkeyfish,https://acnhcdn.com/latest/MenuIcon/Fish44.png,https://acnhcdn.com/latest/BookFishIcon/FishMinokasagoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrFishMinokasago.png,500.0,Sea,Medium,Very Easy,Wide,0.0,6–8,NA,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,All day,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,1x1,Yes,"The sheer brilliance and diversity found in the aquatic underworld never cease to amaze me. This zebra turkeyfish is as stunning to gaze upon as it is deadly. Those spines that are part of its defining physique are chock-full of venom. Fortunately, zebra turkeyfish are not susceptible to another's venom. Though solitary, I imagine they give one another a mean fin bump when passing each other by.","I caught a zebra turkeyfish! Land, air, water--make up your mind!",71.0,Pet,Red,Black,Fluorescent,Fish44,FishMinokasago,FtrFishMinokasago,2261.0,h7fa7Fh3Ay7vAxgE2
