Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Wallpaper,Flooring,Furniture List,Furniture Name List,Filename,Unique Entry ID
Judy,https://acnhcdn.com/latest/NpcIcon/cbr19.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr19.png,https://acnhcdn.com/drivesync/render/houses/cbr19_88_Judy.png,Cub,Female,Snooty,A,Music,3/10,myohmy,K.K. Lullaby,I'm dancing my dreams away.,Cute,Elegant,Pink,White,8869.0,starry wall,blue dot flooring,6827;6827;6827;6827;1557;6827;6827;1565;6827;3208;1559;5543;6827;6827;6827;6827;6827;1836;2558;1558;4111;1561;3205,starry garland;starry garland;starry garland;starry garland;wooden-block bed;starry garland;starry garland;wooden-block table;starry garland;wooden-block wall clock;wooden-block bench;wooden-blockstool;starry garland;starry garland;starry garland;starry garland;starry garland;humidifier;wooden-block chair;wooden-block bookshelf;old-fashioned alarm clock;wooden-block chest;wooden-block stereo,cbr19,nEbMBNS4EztR8Ysxv
Julia,https://acnhcdn.com/latest/NpcIcon/ost05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOst05.png,https://acnhcdn.com/drivesync/render/houses/ost05_272_Julia.png,Ostrich,Female,Snooty,A,Education,7/31,dahling,K.K. Sonata,"Cut once, measure twice... Wait— reverse that.",Elegant,Gorgeous,Purple,Red,8817.0,green molded-panel wall,simple blue flooring,4052;4048;4015;4054;3468;4051;4047;4046;4338;7382;4080;4030;7382,rattan bed;rattan towel basket;shower booth;rattan low table;beach towel;rattan vanity;rattan stool;rattan end table;portable record player;black wooden-deck rug;long bathtub;bathroom towel rack;black wooden-deck rug,ost05,z8F5zPavZfhe6xqEi
Julian,https://acnhcdn.com/latest/NpcIcon/hrs13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlHrs13.png,https://acnhcdn.com/drivesync/render/houses/hrs13_218_Julian.png,Horse,Male,Smug,A,Music,3/15,glitter,Space K.K.,Never trot when you can prance.,Gorgeous,Cool,Purple,Blue,4418.0,starry-sky wall,cloud flooring,5956;5959;6827;3774;5955;5960;3961;5962;6829;6827;6827;6827;5954;6827;6827;5964;6827;6827;5957;5961;6827;6827;6827;5963;5958;6827,Aquarius urn;Cancer table;starry garland;Libra scale;Virgo harp;Gemini closet;fortune-telling set;Scorpio lamp;crescent-moon chair;starry garland;starry garland;starry garland;Aries rocking chair;starry garland;starry garland;Leo sculpture;starry garland;starry garland;Capricorn ornament;Taurus bathtub;starry garland;starry garland;starry garland;Pisces lamp;Sagittarius arrow;starry garland,hrs13,CqhXFKr8hdfYSYpRA
June,https://acnhcdn.com/latest/NpcIcon/cbr13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr13.png,https://acnhcdn.com/drivesync/render/houses/cbr13_390_June.png,Cub,Female,Normal,A,Nature,5/21,rainbow,K.K. Island,"Dream big, expect little.",Cute,Simple,White,Red,8189.0,ocean-horizon wall,starry-sands flooring,3977;3983;5150;3984;3982;3978,shell arch;shell bed;shell speaker;shell lamp;shell fountain;shell partition,cbr13,kYaqSE3C2y7EYSXfi
Kabuki,https://acnhcdn.com/latest/NpcIcon/cat09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat09.png,https://acnhcdn.com/drivesync/render/houses/cat09_60_Kabuki.png,Cat,Male,Cranky,B,Music,11/29,meooo-OH,K.K. Jongara,"If you make your opponent flinch, you have already won.",Simple,Simple,Purple,Red,6024.0,dojo wall,tatami,3553;3553;2775;3230;4008;3580;725;5636,bamboo partition;bamboo partition;squat toilet;futon;kettle bathtub;bonsai shelf;paper lantern;wooden-plank sign,cat09,d2DY8aRv5AfFtkneg
Katt,https://acnhcdn.com/latest/NpcIcon/cat21.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat21.png,https://acnhcdn.com/drivesync/render/houses/cat21_72_Katt.png,Cat,Female,Big Sister,A,Music,4/27,purrty,K.K. Disco,MeowMEOWmeow!,Cool,Cool,Purple,Black,5292.0,white perforated-board wall,steel flooring,849;1823;3672;3672;957;1645;1803;1241;3672;1861;3559;950;4338;4141,amp;trash bags;cardboard box;cardboard box;ventilation fan;electric guitar;drum set;DIY workbench;cardboard box;stacked magazines;iron wall lamp;effects rack;portable record player;diner sofa,cat21,6rE8fTRLqKCERS4dQ
Keaton,https://acnhcdn.com/latest/NpcIcon/pbr08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPbr08.png,https://acnhcdn.com/drivesync/render/houses/pbr08_285_Keaton.png,Eagle,Male,Smug,A,Music,6/1,wingo,Drivin',"Even in a room full of fools, someone is the smartest.",Gorgeous,Cool,Blue,White,4212.0,tree-lined wall,parking flooring,4759;4759;1881;146;146;7262;4759;4140;144;3556;3672;1708,throwback race-car bed;throwback race-car bed;plastic canister;cone;cone;metal can;throwback race-car bed;retro gas pump;manhole cover;bamboo stopblock;cardboard box;cassette player,pbr08,WRueK9fukhKgMrWZa
Ken,https://acnhcdn.com/latest/NpcIcon/chn13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn13.png,https://acnhcdn.com/drivesync/render/houses/chn13_97_Ken.png,Chicken,Male,Smug,A,Education,12/23,no doubt,K.K. Rally,C'est la vie!,Cool,Simple,Purple,Blue,3460.0,standard tearoom wall,tatami,3622;722;7391;725;10743;10742;3802;3407;5636;7282,floor seat;hearth;tatami bed;paper lantern;bamboo speaker;bamboo stool;pine bonsai tree;katana;wooden-plank sign;hanging scroll,chn13,gQZ4xwZeRvqmswoGY
Ketchup,https://acnhcdn.com/latest/NpcIcon/duk13.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk13.png,https://acnhcdn.com/drivesync/render/houses/duk13_144_Ketchup.png,Duck,Female,Peppy,A,Play,7/27,bitty,Neapolitan,"When in doubt, eat a tomato!",Cute,Cute,Light blue,White,4737.0,ivy wall,backyard lawn,4003;1157;1143;5970;1631;3962;2020;4043;3619;3946;7405;1082;3960,cute music player;brick oven;smoker;firewood;garden faucet;inflatable sofa;director's chair;log round table;soup kettle;outdoor table;red vinyl sheet;picnic basket;handy water cooler,duk13,CaQE3xJ4A7tgQXDMW
Kevin,https://acnhcdn.com/latest/NpcIcon/pig15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig15.png,https://acnhcdn.com/drivesync/render/houses/pig15_311_Kevin.png,Pig,Male,Jock,A,Play,4/26,weeweewee,K.K. Rockabilly,Sometimes it's OK to get dirty.,Active,Simple,Black,Red,4366.0,gray shanty wall,concrete flooring,1452;4026;4013;7845;9766;7800;7339;7529;7152;3672;7151;787;3431,weight bench;utility sink;punching bag;pull-up-bar stand;mini fridge;protein shaker bottle;rubber mud mat;folding chair;neutral corner;cardboard box;red corner;tape deck;wall fan,pig15,fGznAwhaxGN66K38Q
Kid Cat,https://acnhcdn.com/latest/NpcIcon/cat10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat10.png,https://acnhcdn.com/drivesync/render/houses/cat10_61_Kid%20Cat.png,Cat,Male,Jock,B,Fitness,8/1,psst,Go K.K. Rider,Crime doesn't pay!,Active,Simple,Red,Red,6888.0,chain-link fence,sandlot,1452;2556;7845;1567;144;2614;4226;3672;787,weight bench;garbage pail;pull-up-bar stand;oil barrel;manhole cover;mountain bike;basketball hoop;cardboard box;tape deck,cat10,Jd6z54x98v4uJhubB
Kidd,https://acnhcdn.com/latest/NpcIcon/goa07.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGoa07.png,https://acnhcdn.com/drivesync/render/houses/goa07_181_Kidd.png,Goat,Male,Smug,B,Education,6/28,wut,K.K. Tango,"Be yourself, everyone else is already taken.",Elegant,Cool,Gray,White,3474.0,gray molded-panel wall,purple desert-tile flooring,2554;4052;4080;4129;2776;1851;742;794;4046;4030;4114;4017,double sofa;rattan bed;long bathtub;monstera;tankless toilet;rocket lamp;fireplace;phonograph;rattan end table;bathroom towel rack;tissue box;shower set,goa07,Pv4qNLnQ4NquvddfQ
Kiki,https://acnhcdn.com/latest/NpcIcon/cat04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat04.png,https://acnhcdn.com/drivesync/render/houses/cat04_56_Kiki.png,Cat,Female,Normal,B,Education,10/8,kitty cat,Only Me,"Nothing ventured, nothing gained.",Simple,Simple,Brown,Beige,3579.0,mod wall,simple white flooring,3950;1081;3952;8465;3271;4003;915;3270;3943,antique chair;upright piano;antique table;velvet stool;ironwood cupboard;cute music player;cuckoo clock;ironwood kitchenette;ironwood DIY workbench,cat04,QTwru2TFs99vCznLg
Kitt,https://acnhcdn.com/latest/NpcIcon/kgr00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKgr00.png,https://acnhcdn.com/drivesync/render/houses/kgr00_228_Kitt.png,Kangaroo,Female,Normal,B,Education,10/11,child,Stale Cupcakes,Funny parents have funny kids.,Elegant,Simple,Purple,Red,4290.0,arched-window wall,simple white flooring,4041;1081;3681;3270;4043;4027;3282;6818;5543;742;8395;9547;88;794;1495,log bed;upright piano;piano bench;ironwood kitchenette;log round table;floral swag;pop-up toaster;ornament mobile;wooden-blockstool;fireplace;yellow kitchen mat;yellow small round mat;ringtoss;phonograph;dolly,kgr00,jjReK7y42rnNZmQe6
Kitty,https://acnhcdn.com/latest/NpcIcon/cat14.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat14.png,https://acnhcdn.com/drivesync/render/houses/cat14_65_Kitty.png,Cat,Female,Snooty,B,Fashion,2/15,mrowrr,K.K. Chorale,"If you want something done well, do it yourself.",Elegant,Gorgeous,Green,Gray,8954.0,blue molded-panel wall,arabesque flooring,3951;3957;1081;2554;3681;4106;742;794,antique console table;antique bed;upright piano;double sofa;piano bench;pendulum clock;fireplace;phonograph,cat14,E6MnPthbMdNSvhHE5
Klaus,https://acnhcdn.com/latest/NpcIcon/bea14.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBea14.png,https://acnhcdn.com/drivesync/render/houses/bea14_31_Klaus.png,Bear,Male,Smug,A,Education,3/31,strudel,K.K. Sonata,Pride goes before a fall.,Simple,Simple,Gray,White,3570.0,stately wall,stone tile,1840;4098;2776;3468;4073;5959;5956;5338;794;4017,whirlpool bath;bidet;tankless toilet;beach towel;classic pitcher;Cancer table;Aquarius urn;simple panel;phonograph;shower set,bea14,cFgAWnZ4nhq7DfrN7
Knox,https://acnhcdn.com/latest/NpcIcon/chn11.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlChn11.png,https://acnhcdn.com/drivesync/render/houses/chn11_95_Knox.png,Chicken,Male,Cranky,B,Education,11/23,cluckling,K.K. Chorale,A chicken's coop is its castle.,Elegant,Gorgeous,Brown,Red,8229.0,palace wall,palace tile,1081;5956;7348;7348;8825;8825;8825;8825;3772;3772;3772;3772;5959;794,upright piano;Aquarius urn;red carpet;red carpet;golden casket;golden casket;golden casket;golden casket;golden candlestick;golden candlestick;golden candlestick;golden candlestick;Cancer table;phonograph,chn11,25GGGSHzwEnKmepJk
Kody,https://acnhcdn.com/latest/NpcIcon/cbr04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr04.png,https://acnhcdn.com/drivesync/render/houses/cbr04_78_Kody.png,Cub,Male,Jock,B,Fitness,9/28,grah grah,My Place,The sky's the limit!,Active,Simple,Colorful,White,8477.0,blue playroom wall,blue dot flooring,4759;4761;3439;5543;3122;4762;3438;3449;4111;2560;4756;4753;4003,throwback race-car bed;throwback rocket;wooden table;wooden-blockstool;mini DIY workbench;throwback container;wooden end table;wooden stool;old-fashioned alarm clock;wooden chest;throwback wall clock;throwback wrestling figure;cute music player,cbr04,j9pPANZ9zsm6Mobh2
Kyle,https://acnhcdn.com/latest/NpcIcon/wol10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol10.png,https://acnhcdn.com/drivesync/render/houses/wol10_386_Kyle.png,Wolf,Male,Smug,A,Music,12/6,alpha,K.K. Metal,Never trust a sheep in wolf's clothing.,Gorgeous,Cool,Black,White,3676.0,gray shanty wall,steel flooring,1875;3681;1803;950;4338;9503;1645;1412;849;7161,grand piano;piano bench;drum set;effects rack;portable record player;mic stand;electric guitar;TV camera;amp;cardboard bed,wol10,Q68JosFG2FvzG7QC3
Leonardo,https://acnhcdn.com/latest/NpcIcon/tig04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlTig04.png,https://acnhcdn.com/drivesync/render/houses/tig04_374_Leonardo.png,Tiger,Male,Jock,B,Fitness,5/15,flexin',K.K. Metal,That's the way the energy bar crumbles.,Active,Gorgeous,Red,Blue,4343.0,skull wall,leopard-print flooring,8096;4441;4138;3943;3200;7525;1644;950;7257;7528;3672;4687;1850;796,record box;diner mini table;diner counter chair;ironwood DIY workbench;ironwood bed;tool shelf;rock guitar;effects rack;pedal board;tool cart;cardboard box;toolbox;laptop;retro stereo,tig04,bZqAHvDsp82Ptify8
Leopold,https://acnhcdn.com/latest/NpcIcon/lon04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlLon04.png,https://acnhcdn.com/drivesync/render/houses/lon04_239_Leopold.png,Lion,Male,Smug,A,Education,8/14,lion cub,Mr. K.K.,"The bigger the fish, the bigger your dinner.",Elegant,Gorgeous,Purple,Green,3599.0,green painted-wood wall,natural-block flooring,1326;833;3584;2014;3968;2014;4099;870;1330;3428;1750;2013;833,skeleton;upright locker;writing poster;lecture-hall desk;homework set;lecture-hall desk;formal paper;book stands;basic teacher's desk;wall-mounted TV (50 in.);document stack;lecture-hall bench;upright locker,lon04,nn3GdKz434cBryvyC
Lily,https://acnhcdn.com/latest/NpcIcon/flg00.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlFlg00.png,https://acnhcdn.com/drivesync/render/houses/flg00_159_Lily.png,Frog,Female,Normal,B,Education,2/4,toady,Farewell,Don't jump to conclusions!,Cute,Simple,White,Yellow,9576.0,misty-garden wall,blue dot flooring,3251;4052;1757;4017;3445;3683;5543;4048;4046;4003;4054;7234;9766;3400;4030;5338;5338,gas range;rattan bed;claw-foot tub;shower set;standard umbrella stand;plain sink;wooden-blockstool;rattan towel basket;rattan end table;cute music player;rattan low table;hyacinth lamp;mini fridge;dish-drying rack;bathroom towel rack;simple panel;simple panel,flg00,CQG32Qp7hhepeaRbg
Limberg,https://acnhcdn.com/latest/NpcIcon/mus01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlMus01.png,https://acnhcdn.com/drivesync/render/houses/mus01_251_Limberg.png,Mouse,Male,Cranky,B,Education,10/17,squinky,K.K. Folk,Don't build a better mousetrap.,Simple,Cool,Green,Blue,3164.0,autumn wall,mossy-garden flooring,10743;7408;1111;4271;4271;7788;7390,bamboo speaker;maple-leaf pond stone;outdoor bath;red-leaf pile;red-leaf pile;leaf campfire;leaf stool,mus01,BnXXdXegMXE9HmZiy
Lionel,https://acnhcdn.com/latest/NpcIcon/lon08.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlLon08.png,https://acnhcdn.com/drivesync/render/houses/lon08_242_Lionel.png,Lion,Male,Smug,A,Music,7/29,precisely,K.K. Moody,Love is blind.,Gorgeous,Active,Green,Gray,3171.0,cityscape wall,simple blue flooring,1840;3957;2554;3958;3951;794;3784;9766;2731;3783,whirlpool bath;antique bed;double sofa;antique mini table;antique console table;phonograph;den chair;mini fridge;digital alarm clock;den desk,lon08,EQYQEL4crTYEN9yJs
Lobo,https://acnhcdn.com/latest/NpcIcon/wol01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlWol01.png,https://acnhcdn.com/drivesync/render/houses/wol01_378_Lobo.png,Wolf,Male,Cranky,B,Education,11/5,ah-rooooo,K.K. Rock,"If it's not one thing, it's another.",Cool,Active,Black,Beige,4401.0,rustic-stone wall,rosewood flooring,793;4037;8417;4041;4044;3064;4036;4043;4119;2770;3943;3992;3967,high-end stereo;log wall-mounted clock;wall-mounted tool board;log bed;log extra-long sofa;cooler box;log decorative shelves;log round table;macrame tapestry;chessboard;ironwood DIY workbench;key holder;broom and dustpan,wol01,9QsHyDimk75LPvBsn
Lolly,https://acnhcdn.com/latest/NpcIcon/cat18.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCat18.png,https://acnhcdn.com/drivesync/render/houses/cat18_69_Lolly.png,Cat,Female,Normal,B,Music,3/27,bonbon,Forest Life,Laughter is the best medicine.,Simple,Simple,Gray,Pink,3631.0,modern wood wall,green vinyl flooring,2554;1557;4109;3449;1561;4338;1558;998;3122;4111;3208;3785;3785,double sofa;wooden-block bed;double-door refrigerator;wooden stool;wooden-block chest;portable record player;wooden-block bookshelf;kitchen island;mini DIY workbench;old-fashioned alarm clock;wooden-block wall clock;potted ivy;potted ivy,cat18,ucvTsRXewrZsFj64Y
Lopez,https://acnhcdn.com/latest/NpcIcon/der05.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDer05.png,https://acnhcdn.com/drivesync/render/houses/der05_113_Lopez.png,Deer,Male,Smug,A,Education,8/20,badoom,K.K. Jazz,Always look both ways before crossing the street.,Gorgeous,Gorgeous,Gray,Gray,4507.0,modern wood wall,modern wood flooring,4117;2713;3200;1103;3270;3951;4338;3275;3340;3195;954;3271;1043;3993;7334;704,wood-burning stove;refrigerator;ironwood bed;rocking chair;ironwood kitchenette;antique console table;portable record player;ironwood clock;deer decoration;ironwood cart;espresso maker;ironwood cupboard;microwave;analog kitchen scale;ivory small round mat;tapestry,der05,wBJRdKXMHcPyHDPEj
Louie,https://acnhcdn.com/latest/NpcIcon/gor04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlGor04.png,https://acnhcdn.com/drivesync/render/houses/gor04_187_Louie.png,Gorilla,Male,Jock,A,Fitness,3/26,hoo hoo ha,K.K. Fusion,It's all about the muscle.,Active,Simple,Gray,Red,4267.0,white perforated-board wall,colorful tile flooring,4015;1452;7528;1232;833;7845;287;4013;1816;3307;4046;787;546;3428;4099;7380;7380;4133;7800,shower booth;weight bench;tool cart;water cooler;upright locker;pull-up-bar stand;exercise bike;punching bag;changing room;digital scale;rattan end table;tape deck;stadiometer;wall-mounted TV (50 in.);formal paper;natural wooden-deck rug;natural wooden-deck rug;double-sided wall clock;protein shaker bottle,gor04,emwaesnBa9EmWvW89
Lucha,https://acnhcdn.com/latest/NpcIcon/brd15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlBrd15.png,https://acnhcdn.com/drivesync/render/houses/brd15_42_Lucha.png,Bird,Male,Smug,A,Fitness,12/12,cacaw,K.K. Western,"Birds of a feather, et cetera, et cetera...",Active,Cool,Black,Gray,7199.0,ringside seating,boxing-ring mat,1452;4013;7151;7152;7653;7528;1708,weight bench;punching bag;red corner;neutral corner;speed bag;tool cart;cassette player,brd15,se8G8LxivnMhgBiRE
Lucky,https://acnhcdn.com/latest/NpcIcon/dog02.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog02.png,https://acnhcdn.com/drivesync/render/houses/dog02_120_Lucky.png,Dog,Male,Lazy,B,Play,11/4,rrr-owch,K.K. Dirge,Don't bite the hand that feeds you.,Simple,Simple,Beige,White,4715.0,ramshackle wall,swamp flooring,2592;343;343;3446;3446;3446;4271;1326;4757,tin bucket;tiki torch;tiki torch;western-style stone;western-style stone;western-style stone;red-leaf pile;skeleton;throwback skull radio,dog02,WtvwKvChcpgZ4WcQB
Lucy,https://acnhcdn.com/latest/NpcIcon/pig04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig04.png,https://acnhcdn.com/drivesync/render/houses/pig04_303_Lucy.png,Pig,Female,Normal,B,Music,6/2,snoooink,K.K. Sonata,The best is yet to come.,Cute,Elegant,Pink,Red,4403.0,heavy-curtain wall,wooden-knot flooring,7348;7348;1875;7348;7348;3681;3958;794;7529;7529;7529;7529;1221;7527;7527,red carpet;red carpet;grand piano;red carpet;red carpet;piano bench;antique mini table;phonograph;folding chair;folding chair;folding chair;folding chair;video camera;flower stand;flower stand,pig04,8FpMvE2W6YJtmTpiQ
Lyman,https://acnhcdn.com/latest/NpcIcon/kal09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKal09.png,https://acnhcdn.com/drivesync/render/houses/kal09_226_Lyman.png,Koala,Male,Jock,A,Play,10/12,chips,K.K. Safari,Eucalyptus is the spice of life.,Simple,Active,Light blue,Yellow,3677.0,jungle wall,light parquet flooring,3623;3943;2605;4129;1913;3439;7353;2560;7454;4757,toy box;ironwood DIY workbench;wooden simple bed;monstera;wooden chair;wooden table;botanical rug;wooden chest;wooden toolbox;throwback skull radio,kal09,cnByupc7McZQg8sNJ
Mac,https://acnhcdn.com/latest/NpcIcon/dog14.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog14.png,https://acnhcdn.com/drivesync/render/houses/dog14_1_Mac.png,Dog,Male,Jock,B,Fitness,11/11,woo woof,My Place,Sometimes life is rough.,Active,Cool,Red,Black,2674.0,ivy wall,sandlot,1631;7142;1799;3348;7802;3229;1620;4113;4393;4042;1432;3697,garden faucet;simple DIY workbench;doghouse;plastic pool;pet bed;clothesline;hammock;hose reel;old-fashioned washtub;log bench;lantern;portable radio,dog14,bLyixhvrCHgBYzvoX
Maddie,https://acnhcdn.com/latest/NpcIcon/dog09.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog09.png,https://acnhcdn.com/drivesync/render/houses/dog09_127_Maddie.png,Dog,Female,Peppy,A,Play,1/11,yippee,K.K. Stroll,The IT revolution is under way.,Simple,Cute,Purple,Pink,8378.0,meadow vista,wildflower meadow,4003;6033;7599;975;2614;3962;3064;1082;4042;3619;3960;7463,cute music player;outdoor picnic set;board game;fruit basket;mountain bike;inflatable sofa;cooler box;picnic basket;log bench;soup kettle;handy water cooler;peach checked rug,dog09,ebHEDLT4WnnnPtDzK
Maelle,https://acnhcdn.com/latest/NpcIcon/duk03.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk03.png,https://acnhcdn.com/drivesync/render/houses/duk03_136_Maelle.png,Duck,Female,Snooty,B,Fashion,4/8,duckling,Café K.K.,A wise duck takes care of its bill.,Cool,Simple,Pink,White,3597.0,tree-lined wall,sidewalk flooring,1626;1626;7236;1185;4412;1866;1627;3270;918;954;2014;8297;1092,iron garden chair;iron garden chair;lily record player;phone box;cotton-candy stall;menu chalkboard;iron garden table;ironwood kitchenette;coffee cup;espresso maker;lecture-hall desk;stovetop espresso maker;popcorn machine,duk03,bHTDLovALeQz9PK4z
Maggie,https://acnhcdn.com/latest/NpcIcon/pig10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlPig10.png,https://acnhcdn.com/drivesync/render/houses/pig10_307_Maggie.png,Pig,Female,Normal,A,Nature,9/3,schep,Drivin',All a plant needs is love...and sun and water and soil.,Cute,Elegant,Green,Yellow,8886.0,backyard-fence wall,flagstone flooring,8419;8419;8419;1626;1627;3943;4003;1625;1628,garden wagon;garden wagon;garden wagon;iron garden chair;iron garden table;ironwood DIY workbench;cute music player;iron garden bench;garden lantern,pig10,ByLM9r2q7mRAMbgXs
Mallary,https://acnhcdn.com/latest/NpcIcon/duk06.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDuk06.png,https://acnhcdn.com/drivesync/render/houses/duk06_139_Mallary.png,Duck,Female,Snooty,B,Fashion,11/17,quackpth,K.K. Bossa,Purple is the color of royalty.,Cool,Gorgeous,Blue,White,2655.0,mossy-garden wall,backyard lawn,1631;4113;4003;4100;3775;3509;1829;1628;1624;8419,garden faucet;hose reel;cute music player;fire pit;hanging terrarium;garden bench;cypress plant;garden lantern;garden gnome;garden wagon,duk06,jhXJGTWpk3ycr6kZC
Maple,https://acnhcdn.com/latest/NpcIcon/cbr01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlCbr01.png,https://acnhcdn.com/drivesync/render/houses/cbr01_75_Maple.png,Cub,Female,Normal,B,Education,6/15,honey,Forest Life,"Waste not, want not.",Simple,Cute,Beige,Green,8194.0,green blossoming wall,wooden-knot flooring,3251;2605;1032;865;4117;7144;3949;3438;4003;9766;1125;4119;7466;7134;3586;1870;928;1501,gas range;wooden simple bed;magazine rack;birdcage;wood-burning stove;Mom's cushion;anthurium plant;wooden end table;cute music player;mini fridge;revolving spice rack;macrame tapestry;retro dotted rug;wooden low table;magazine;mug;pot rack;Baby bear,cbr01,xgPhy4TnDmnzSkZ6o
Marcel,https://acnhcdn.com/latest/NpcIcon/dog15.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlDog15.png,https://acnhcdn.com/drivesync/render/houses/dog15_129_Marcel.png,Dog,Male,Lazy,B,Play,12/31,non,Comrade K.K.,There's not a dog so bad that he won't wag his tail.,Simple,Cool,Green,Blue,4407.0,modern shoji-screen wall,rush tatami,4393;3622;1849;3230;7047;10743;725;7323;7048;7323;717;10742;329,old-fashioned washtub;floor seat;kotatsu;futon;zen cushion;bamboo speaker;paper lantern;brown wooden-deck rug;pile of zen cushions;brown wooden-deck rug;clay furnace;bamboo stool;goldfish,dog15,63FsmgrS7QPpFvL3N
Marcie,https://acnhcdn.com/latest/NpcIcon/kgr10.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlKgr10.png,https://acnhcdn.com/drivesync/render/houses/kgr10_235_Marcie.png,Kangaroo,Female,Normal,A,Nature,5/31,pouches,K.K. Aria,The road to a friend's house is never long.,Cute,Elegant,Pink,Beige,4429.0,pink quilt wall,pine-board flooring,7134;7336;3616;7531;2740;4109;88;2560;7132;4003;3305;9542;3996;9565,wooden low table;white simple small mat;system kitchen;ironing board;automatic washer;double-door refrigerator;ringtoss;wooden chest;wooden double bed;cute music player;baby chair;Mom's playful kitchen mat;cute wall-mounted clock;mobile,kgr10,mSJuJRK54zTu3BkHr
Margie,https://acnhcdn.com/latest/NpcIcon/elp04.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlElp04.png,https://acnhcdn.com/drivesync/render/houses/elp04_152_Margie.png,Elephant,Female,Normal,B,Education,1/28,tootie,K.K. Marathon,Keep your feet on the ground.,Elegant,Cute,Pink,Red,3248.0,olive desert-tile wall,bamboo flooring,4051;3971;4052;4130;4047;4046;3974;4045;1792;4129;997;4033;4054;4338,rattan vanity;imperial partition;rattan bed;coconut wall planter;rattan stool;rattan end table;imperial low table;rattan waste bin;cushion;monstera;incense burner;traditional tea set;rattan low table;portable record player,elp04,rnFzZ3Z4gFAv6ouqG
Marina,https://acnhcdn.com/latest/NpcIcon/ocp01.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlOcp01.png,https://acnhcdn.com/drivesync/render/houses/ocp01_266_Marina.png,Octopus,Female,Normal,B,Music,6/26,blurp,Soulful K.K.,"If you can't say something nice, don't say anything at all.",Cute,Cute,Pink,Red,3635.0,strawberry-chocolate wall,berry-chocolates flooring,1757;3624;4002;3998;2776;3995;4001;4000;4003,claw-foot tub;cute bed;cute floor lamp;cute sofa;tankless toilet;cute DIY table;cute vanity;cute tea table;cute music player,ocp01,BQCu2GxBFFTuigDAY
Marshal,https://acnhcdn.com/latest/NpcIcon/squ17.png,https://acnhcdn.com/latest/NpcBromide/NpcNmlSqu17.png,https://acnhcdn.com/drivesync/render/houses/squ17_368_Marshal.png,Squirrel,Male,Smug,A,Music,9/29,sulky,K.K. Bossa,Seize the day.,Elegant,Cool,Light blue,Blue,4277.0,blue delicate-blooms wall,modern wood flooring,2554;1081;3681;9766;1161;3615;1845;8394;3271;3560;915;7337;4338;920;954;8297;1866;3194;918,double sofa;upright piano;piano bench;mini fridge;cream and sugar;open-frame kitchen;simple kettle;blue kitchen mat;ironwood cupboard;iron worktable;cuckoo clock;iron entrance mat;portable record player;coffee grinder;espresso maker;stovetop espresso maker;menu chalkboard;ironwood low table;coffee cup,squ17,ZZJJbE5zFrcDXfLEF
