Name,Image,VFX,VFX Type,DIY,Buy,Sell,Color 1,Color 2,Miles Price,Source,Source Notes,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Catalog,Version Added,Version Unlocked,Filename,Internal ID,Unique Entry ID
perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard01.png,No,NA,No,1180.0,295.0,Brown,Brown,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,music,facility,None,Pegboard Walls,For sale,1.0.0,1.0.0,RoomTexWallPegboard01,4921.0,BThQrmfp4EnBqyfv3
pink blossoming wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCountry01.png,No,NA,No,1760.0,440.0,Pink,Brown,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Curtains,Red Checkered,Stone,151.0,fancy,living room,None,Country,For sale,1.0.0,1.0.0,RoomTexWallCountry01,4895.0,zgZSrtarnCJG53AdD
pink diner wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDiner01.png,No,NA,No,2420.0,605.0,Pink,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,151.0,fancy,shop,None,Diner Walls,For sale,1.0.0,1.0.0,RoomTexWallDiner01,7242.0,MXeKHor4q66HH3GJs
pink flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlower00.png,No,NA,No,1780.0,445.0,Pink,Pink,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,Curtains,Pink,Cloth,151.0,fancy,living room,None,Flower Walls,For sale,1.0.0,1.0.0,RoomTexWallFlower00,4893.0,eCN5rZb7sXsoWSCmW
pink heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart01.png,No,NA,No,1280.0,320.0,Pink,Pink,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Wood,151.0,fancy,child's room,None,Heart Walls,For sale,1.0.0,1.0.0,RoomTexWallHeart01,4875.0,4f732CJdDvXxHDQsd
pink painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood02.png,No,NA,No,1650.0,412.0,Pink,Pink,NA,Nook's Cranny,,Four Pane,White Wood,Glass,None,NA,Cloth,151.0,fancy,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexWallPaintWood02,4802.0,tjx2TsuHTcr4jaMHM
pink playroom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallToy01.png,No,NA,No,2540.0,635.0,Pink,Pink,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Cloth,151.0,child's room,fancy,None,Toy Walls,For sale,1.0.0,1.0.0,RoomTexWallToy01,4889.0,xYNWemEyTsD9zG8iC
pink quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse00.png,No,NA,No,2150.0,537.0,Pink,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,151.0,fancy,child's room,None,Dollhouse Walls,For sale,1.0.0,1.0.0,RoomTexWallDollhouse00,7274.0,gToedZLPo7MbMvpah
pink shanty wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTin01.png,No,NA,No,620.0,155.0,Pink,Pink,NA,Nook's Cranny,,Single Pane,Gray Wood,Glass,Slatted Blinds,White Plastic,Wood,151.0,garage,None,None,Tin Walls,For sale,1.0.0,1.0.0,RoomTexWallTin01,4924.0,WfmPknxrLpp25SMbS
pink simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple02.png,No,NA,No,750.0,187.0,Pink,Pink,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White,Tile,151.0,child's room,living room,None,Simple Walls,For sale,1.0.0,1.0.0,RoomTexWallSimple02,4868.0,mH2zs7NpfPgERmHwm
pink-crown wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCrown02.png,No,NA,No,2350.0,587.0,Pink,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Cloth,151.0,fancy,expensive,None,Crown Walls,For sale,1.0.0,1.0.0,RoomTexWallCrown02,4816.0,cwBg3xvzjfh2qm7Lg
pink-striped wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStripe01.png,No,NA,No,1520.0,380.0,Pink,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,151.0,fancy,child's room,None,Stripe Walls,For sale,1.0.0,1.0.0,RoomTexWallStripe01,4943.0,Pwd2z87xxFm52tA28
pirate wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallPirates00.png,Yes,,No,NFS,750.0,Brown,Yellow,NA,Gullivarrr,,None,NA,NA,None,NA,Wood,451.0,ocean,none,pirate,Special Walls,Not for sale,1.3.0,1.3.0,RoomSpWallPirates00,12567.0,DydGczJz6fqyAZJuA
purple camo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallCamouflage02.png,No,NA,No,1150.0,287.0,Purple,Purple,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,151.0,party,child's room,None,Camouflage,For sale,1.0.0,1.0.0,RoomTexWallCamouflage02,4885.0,AY2jSyyAd4BD74xQ7
purple desert-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMorocco02.png,No,NA,No,2440.0,610.0,Purple,Purple,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Wood,151.0,bathroom,facility,None,Morocco,For sale,1.0.0,1.0.0,RoomTexWallMorocco02,6864.0,2y5jPPPs3so7APToC
purple dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot04.png,No,NA,No,1100.0,275.0,Purple,White,NA,Nook's Cranny,,Four Pane,Natural Wood,Glass,Curtains,White,Cloth,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexWallDot04,4902.0,JRu4Xs5kYG4ognk2P
purple puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle03.png,No,NA,No,1540.0,385.0,Purple,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,151.0,None,None,None,Puzzle Walls,For sale,1.0.0,1.0.0,RoomTexWallPuzzle03,6875.0,iG8MR3f2F2jDsLjT9
purple quilt wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDollhouse03.png,No,NA,No,2150.0,537.0,Purple,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,151.0,fancy,child's room,None,Dollhouse Walls,For sale,1.0.0,1.0.0,RoomTexWallDollhouse03,7275.0,tmY5uczEnYXA6fdeQ
purple-rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose01.png,No,NA,No,1720.0,430.0,Purple,Purple,NA,Nook's Cranny,,Arch,Gray Metal,Glass,None,NA,Stone,151.0,fancy,None,None,Rose Walls,For sale,1.0.0,1.0.0,RoomTexWallRose01,4907.0,kHEHhFZSfDXTHtZAa
rammed-earth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHanchiku00.png,No,NA,No,1800.0,450.0,Brown,Beige,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,folk art,None,None,Stone Walls,For sale,1.0.0,1.0.0,RoomTexWallHanchiku00,4845.0,9AafcLh3QkLp2tdWj
ramshackle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRuins00.png,No,NA,No,3000.0,750.0,Brown,Beige,NA,Saharah,,Four Pane,Dark Wood,Glass,None,NA,Wood,451.0,horror,None,None,Stone Walls,Not for sale,1.0.0,1.0.0,RoomTexWallRuins00,5225.0,bTb98gEchXobwaqdt
red art-deco wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallArtDeco01.png,No,NA,No,2780.0,695.0,Red,Black,NA,Nook's Cranny,,Arch,Gray Metal,Glass,None,NA,Wood,151.0,child's room,living room,None,Art Deco Walls,For sale,1.0.0,1.0.0,RoomTexWallArtDeco01,4818.0,R3zgKkrxc3ar4y9A8
red delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor01.png,No,NA,No,1900.0,475.0,Red,Brown,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151.0,expensive,living room,None,Manor Walls,For sale,1.0.0,1.0.0,RoomTexWallManor01,4897.0,F7oWFwEAh4evtkJcb
red dotted wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallDot02.png,No,NA,No,1100.0,275.0,Red,Red,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White,Cloth,151.0,fancy,child's room,None,Dot,For sale,1.0.0,1.0.0,RoomTexWallDot02,4900.0,3mfqbt8sXR88eDfTk
red heart-pattern wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHeart03.png,No,NA,No,1280.0,320.0,Red,Red,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Roller Shades,White,Wood,151.0,fancy,child's room,None,Heart Walls,For sale,1.0.0,1.0.0,RoomTexWallHeart03,6870.0,TPrtAkkWJa7KpLady
red intricate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFlowerPop03.png,No,NA,No,1570.0,392.0,Red,White,NA,Nook's Cranny,,Four Pane,Gray Wood,Glass,Roller Shades,White,Tile,151.0,living room,shop,None,Flower Pop Walls,For sale,1.0.0,1.0.0,RoomTexWallFlowerPop03,6879.0,yasngHr44QgXc9tYs
red perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard03.png,No,NA,No,1180.0,295.0,Red,Red,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,music,facility,None,Pegboard Walls,For sale,1.0.0,1.0.0,RoomTexWallPegboard03,6853.0,TCLSE3BdkCQeiM7wX
red two-toned tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTwoToneTile03.png,No,NA,No,1850.0,462.0,Red,Red,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Wood,151.0,bathroom,facility,None,Two-Tone Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallTwoToneTile03,6856.0,u9dKmtft32t4cxxiW
red-brick wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBrick01.png,No,NA,No,1000.0,250.0,Red,Brown,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,None,NA,Wood,151.0,facility,shop,None,Brick,For sale,1.0.0,1.0.0,RoomTexWallBrick01,4928.0,Hu3jyiCP23j78PCdX
retro flower-print wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallKitsch00.png,No,NA,No,1660.0,415.0,Green,Green,NA,Nook's Cranny,,Four Pane,White Wood,Glass,Curtains,White Lace,Plain,151.0,fancy,living room,None,Cloth Walls,For sale,1.0.0,1.0.0,RoomTexWallKitsch00,4847.0,MdWwebM7zyeBdykxp
rice-paddy wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFarm00.png,Yes,Synchro,No,3000.0,750.0,Light blue,Green,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,garden,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallFarm00,5487.0,TnHvGeJGKioxc95mH
ringside seating,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWrestling00.png,Yes,NA,No,3000.0,750.0,Black,Black,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,fitness,None,None,Special Walls,Not for sale,1.0.0,1.0.0,RoomSpWallWrestling00,5512.0,bg9rQRYAbzeD8rLCw
rock-climbing wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBouldering00.png,No,NA,No,3000.0,750.0,White,Colorful,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,fitness,None,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallBouldering00,4851.0,CRvqDNWfXzY2ibXvG
rose wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRose00.png,No,NA,No,1720.0,430.0,Red,White,NA,Nook's Cranny,,Arch,Wood,Glass,None,NA,Stone,151.0,fancy,None,None,Rose Walls,For sale,1.0.0,1.0.0,RoomTexWallRose00,4906.0,azgSWFRcgeuopRWrH
ruins wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRemains00.png,No,NA,No,3000.0,750.0,Black,Gray,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,horror,folk art,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallRemains00,5228.0,ZHiKhqts5brebhYH9
rustic-stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStone00.png,No,NA,Yes,NFS,1750.0,Gray,Gray,NA,Crafting,,Four Pane,Dark Wood,Glass,None,NA,Wood,103.0,facility,shop,None,Stone Walls,Not for sale,1.0.0,1.0.0,RoomTexWallStone00,4813.0,xP7S673w2oNwNHowp
sakura-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSolidWood00.png,No,NA,Yes,NFS,3200.0,Pink,Pink,NA,Crafting,,Four Pane,Gray Wood,Glass,Curtains,Pink,Tile,201.0,child's room,fancy,cherry blossoms,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallSolidWood00,4947.0,jFtMrj8NBC3o4ALzG
sci-fi wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSF00.png,Yes,Random,Yes,NFS,7500.0,Black,Black,NA,Crafting,,None,NA,NA,None,NA,Wood,103.0,space,facility,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallSF00,5510.0,y48TLWMbXCbrWQp5a
screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFusuma00.png,No,NA,No,3000.0,750.0,White,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Plain,151.0,zen-style,facility,None,Japanese Style,For sale,1.0.0,1.0.0,RoomTexWallFusuma00,4819.0,wk4ST89FjabXnZPXy
sea view,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSeaView00.png,Yes,Synchro,No,3000.0,750.0,Light blue,Blue,NA,Saharah,,None,NA,NA,None,NA,Tile,451.0,ocean,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallSeaView00,5501.0,fHQn9EzoTxznm7nJ9
security-monitors wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMonitor00.png,Yes,Random,No,3000.0,750.0,Black,Gray,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,facility,None,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallMonitor00,5491.0,N6T3rBvQdYoJoXkrH
sepia puzzle wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPuzzle02.png,No,NA,No,1540.0,385.0,Beige,Colorful,NA,Nook's Cranny,,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,151.0,fancy,child's room,None,Puzzle Walls,For sale,1.0.0,1.0.0,RoomTexWallPuzzle02,6874.0,2mtYv7D25wDqMWi6P
server-room wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallServer00.png,Yes,Random,No,3000.0,750.0,Black,Black,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,facility,None,None,Special Inorganic Walls,Not for sale,1.0.0,1.0.0,RoomSpWallServer00,5490.0,ycnhxNaWfeXEq5x7A
shoji screen,https://acnhcdn.com/latest/FtrIcon/RoomSpWallShoji00.png,Yes,NA,No,1880.0,470.0,Beige,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,zen-style,None,None,Japanese Style,For sale,1.0.0,1.0.0,RoomSpWallShoji00,4863.0,5RdqeAZAvdCR5QxqM
shutter wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallShutter00.png,No,NA,No,3000.0,750.0,White,Gray,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,facility,shop,None,Iron Walls,Not for sale,1.0.0,1.0.0,RoomTexWallShutter00,4825.0,4ez74JDpR9kmiroQr
ski-slope wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGelande00.png,Yes,Synchro,Yes,NFS,3200.0,White,White,NA,Crafting,,None,NA,NA,None,NA,Cloth,201.0,freezing cold,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallGelande00,5498.0,hCdDcFDBWEe6pmctp
skull wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSkull00.png,Yes,LightOff,No,3000.0,750.0,Black,Black,NA,Nook's Cranny,,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Plain,151.0,horror,child's room,None,Special Inorganic Walls,For sale,1.0.0,1.0.0,RoomSpWallSkull00,5520.0,7GLt2YDxMDyp8EJth
sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallCloud00.png,Yes,Synchro,No,3000.0,750.0,Light blue,White,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,fancy,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallCloud00,5504.0,9YmTrPqSZRCvxRtLi
skyscraper wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSkyscraper00.png,No,NA,No,3000.0,750.0,Black,Gray,NA,Saharah,,None,NA,NA,None,NA,Cloth,451.0,expensive,None,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallSkyscraper00,4852.0,Ah36ZRM9QBHBt7HZF
snowflake wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSnowCrystal00.png,No,NA,Yes,NFS,4800.0,Light blue,Light blue,NA,Crafting,,Four Pane,Gray Wood,Glass,Roller Shades,White,Wood,201.0,freezing cold,None,None,Cloth Walls,Not for sale,1.0.0,1.0.0,RoomTexWallSnowCrystal00,4855.0,w5MEjbgphAwDo42mk
soothing tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud01.png,No,NA,No,1750.0,437.0,White,Beige,NA,Nook's Cranny,,Circle,Natural Wood,Screen,None,NA,Wood,151.0,zen-style,shop,None,Tea Room Walls,For sale,1.0.0,1.0.0,RoomTexWallMud01,11177.0,Bke28iGoY3LhDagx4
stacked-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallFireWood00.png,No,NA,Yes,NFS,1800.0,Brown,Brown,NA,Crafting,,None,NA,NA,None,NA,Plain,103.0,garage,facility,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallFireWood00,4844.0,TZi9bo7GYzJxPJNNe
stadium wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStadium00.png,Yes,NA,No,3000.0,750.0,Colorful,Colorful,NA,Saharah,,None,NA,NA,None,NA,Wood,451.0,fitness,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallStadium00,5503.0,oJoGTXMzLnYTpdBaf
standard tearoom wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMud00.png,No,NA,No,1750.0,437.0,Green,Green,NA,Nook's Cranny,,Circle,Natural Wood,Screen,None,NA,Cloth,151.0,zen-style,None,None,Tea Room Walls,For sale,1.0.0,1.0.0,RoomTexWallMud00,5521.0,4Zv8KLzxrsm6k53pN
starry wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarPrint00.png,Yes,LightOff,Yes,NFS,7500.0,Gray,White,NA,Crafting,,Four Pane,White Wood,Glass,Roller Shades,White,Plain,103.0,fancy,child's room,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallStarPrint00,5528.0,sjnLXANKDEPMzdGbn
starry-sky wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallStarSky00.png,Yes,NA,Yes,NFS,7500.0,Blue,Blue,NA,Crafting,,None,NA,NA,None,NA,Stone,103.0,space,None,stars,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallStarSky00,5500.0,iMQgW8pWYPWbj9Qom
stately wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRenaissance00.png,No,NA,No,2450.0,612.0,White,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,expensive,None,None,Asia,For sale,1.0.0,1.0.0,RoomTexWallRenaissance00,4861.0,BdPATBHc8m7YvJzwP
steel-frame wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSteel00.png,No,NA,Yes,NFS,6000.0,Red,Gray,NA,Crafting,,None,NA,NA,None,NA,Stone,103.0,garage,facility,None,Iron Walls,Not for sale,1.0.0,1.0.0,RoomTexWallSteel00,4801.0,K2uSKanJ3r6bQt6MG
stone wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBasement00.png,No,NA,Yes,NFS,1500.0,Black,Gray,NA,Crafting,,None,NA,NA,None,NA,Plain,103.0,horror,facility,None,Stone Walls,Not for sale,1.0.0,1.0.0,RoomTexWallBasement00,5216.0,8hnPcADHfoEpvgSAS
stormy-night wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallThunder00.png,Yes,Random,No,3000.0,750.0,Black,Gray,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,horror,None,None,Special Warm Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallThunder00,5499.0,Y3sjyMeHtDFcdBfrM
straw wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStraw00.png,No,NA,No,3000.0,750.0,Beige,Beige,NA,Saharah,,None,NA,NA,None,NA,Tile,451.0,folk art,None,None,Wood Walls,Not for sale,1.0.0,1.0.0,RoomTexWallStraw00,5217.0,u3orRaGAX2iwdtCLG
strawberry-chocolate wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChocolate02.png,No,NA,No,3000.0,750.0,Pink,Pink,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,fancy,None,None,Chocolate,Not for sale,1.0.0,1.0.0,RoomTexWallChocolate02,4934.0,G5QeNa2L26MwuCexA
street-art wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallStreetArt00.png,No,NA,No,3000.0,750.0,Colorful,Colorful,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,garage,None,None,Neta Walls,Not for sale,1.0.0,1.0.0,RoomTexWallStreetArt00,5221.0,88hCuytidryqimPXr
summit wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallMountainTop00.png,Yes,Synchro,No,3000.0,750.0,Black,White,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,garden,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallMountainTop00,5513.0,hFmF2iNjDvLGfF3Rf
tree-lined wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRoadsideTree00.png,No,NA,No,3000.0,750.0,Green,Light blue,NA,Saharah,,None,NA,NA,None,NA,Plain,451.0,garden,None,None,Nature Walls,Not for sale,1.0.0,1.0.0,RoomTexWallRoadsideTree00,5456.0,aLzrLXC7Nyk6h6pDw
tropical vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallTropical00.png,Yes,Synchro,Yes,NFS,6000.0,Light blue,Beige,NA,Crafting,,None,NA,NA,None,NA,Plain,201.0,ocean,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallTropical00,5661.0,sZgNFwEcxpLSAxB4X
underwater wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallFishTank00.png,Yes,Synchro,Yes,NFS,8600.0,Blue,Light blue,NA,Crafting,,None,NA,NA,None,NA,Stone,201.0,ocean,None,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallFishTank00,5508.0,QXNnruZcwJursNmjP
wavy-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWaveTile00.png,No,NA,No,1740.0,435.0,Gray,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Plain,151.0,shop,facility,None,Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallWaveTile00,4832.0,eLQ2JDZKjrzcnP9gn
wedding-party wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallJuneBride00.png,No,NA,No,NFS,437.0,None,None,NA,Cyrus,Only available during Wedding Season,None,NA,NA,None,NA,Stone,437.0,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,1.2.1c,RoomTexWallJuneBride00,12461.0,xT6kyFtbGPpR8nRM3
western vista,https://acnhcdn.com/latest/FtrIcon/RoomSpWallWilderness00.png,Yes,Synchro,No,3000.0,750.0,Brown,Beige,NA,Saharah,,None,NA,NA,None,NA,Stone,451.0,folk art,horror,None,Special Cool Nature Walls,Not for sale,1.0.0,1.0.0,RoomSpWallWilderness00,5489.0,tYFKmm4XzGGGQAcfG
white botanical-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallWoodTile00.png,No,NA,No,1240.0,310.0,White,White,NA,Nook's Cranny,,Single Pane,White Wood,Glass,Slatted Blinds,White Plastic,Wood,151.0,facility,expensive,None,Wood Tile Walls,For sale,1.0.0,1.0.0,RoomTexWallWoodTile00,4826.0,QyrvwKiKMmNvm7KxR
white delicate-blooms wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallManor00.png,No,NA,No,1900.0,475.0,White,White,NA,Nook's Cranny,,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,151.0,expensive,living room,None,Manor Walls,For sale,1.0.0,1.0.0,RoomTexWallManor00,4891.0,ZDpt8b6TTGr2hihP5
white hallway wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHall02.png,No,NA,No,2000.0,500.0,White,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Stone,151.0,facility,music,None,Hall Walls,For sale,1.0.0,1.0.0,RoomTexWallHall02,6861.0,HZoM3iHpKrQPBK2Gh
white honeycomb-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallHoneycomb03.png,No,NA,No,1680.0,420.0,White,White,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Wood,151.0,bathroom,facility,None,Honeycomb,For sale,1.0.0,1.0.0,RoomTexWallHoneycomb03,4914.0,K8mdzBZZeBLxZEAzZ
white painted-wood wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPaintWood03.png,No,NA,No,1650.0,412.0,White,White,NA,Nook's Cranny,,Four Pane,White Wood,Glass,None,NA,Tile,151.0,living room,child's room,None,Painted Wood,For sale,1.0.0,1.0.0,RoomTexWallPaintWood03,4803.0,cN4bnHaw4mruhnMZk
white perforated-board wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallPegboard00.png,No,NA,No,1180.0,295.0,White,White,NA,Nook's Cranny,,None,NA,NA,None,NA,Wood,151.0,music,facility,None,Pegboard Walls,For sale,1.0.0,1.0.0,RoomTexWallPegboard00,4920.0,krohWS7x49N2hCKrF
white simple-cloth wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSimple00.png,No,NA,No,750.0,187.0,White,White,NA,Nook's Cranny,,Four Pane,Light Wood,Glass,Curtains,White,Stone,151.0,child's room,living room,None,Simple Walls,For sale,1.0.0,1.0.0,RoomTexWallSimple00,4939.0,z2Zh2fzFwCbvMDm8J
white subway-tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallMetro01.png,No,NA,No,1340.0,335.0,White,White,NA,Nook's Cranny,,Sliding Pane,White Metal,Glass,None,NA,Wood,151.0,facility,shop,None,Metro Walls,For sale,1.0.0,1.0.0,RoomTexWallMetro01,4941.0,ajXm5zy9pwf7XEyHF
white wedding wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallChurch00.png,No,NA,No,NFS,750.0,None,None,NA,Cyrus,Only available during Wedding Season,None,NA,NA,None,NA,Stone,437.0,party,expensive,wedding,Cloth Walls,Not for sale,1.2.0,1.2.1c,RoomSpWallChurch00,12466.0,mKuptCLkH2MknX2PN
