#,Name,Icon Image,Critterpedia Image,Furniture Image,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID
6.0,paper kite butterfly,https://acnhcdn.com/latest/MenuIcon/Ins73.png,https://acnhcdn.com/latest/BookInsectIcon/InsectOhgomamadaraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectOhgomamadaraCropped.png,1000.0,Flying near flowers,Any except rain,0.0,20,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,1x1,Yes,"With its black-and-white-striped wing pattern, the paper kite butterfly is both elegant and pretty... PRETTY POISONOUS I MEAN! Hoo dear! Where was I? Oh yes... Even this butterfly's black-and-white-striped larva and little golden pupae are toxic to predators. Indeed, the paper kite butterfly's foul flavor is famous, and thus birds, in particular, steer clear of the fiends. THIS bird most of all!","I caught a paper kite butterfly! Do I read it, fly it, or spreadit on toast?",64.0,Pet,White,Yellow,Ins73,InsectOhgomamadara,FtrInsectOhgomamadara,3478.0,hzwridDJE99rPHLrZ
4.0,peacock butterfly,https://acnhcdn.com/latest/MenuIcon/Ins3.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKarasuagehaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKarasuagehaCropped.png,2500.0,Flying near blue/purple/black flowers,Any except rain,20.0,5,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,1x1,Yes,"Pretty as a peacock? Bah, I say! The wings of the peacock butterfly may have a pattern similar to that of the beautiful bird... But its forewings are also often covered in a dark, velvety hair! You heard right! HAIRY wings! A hair-raising revelation indeed!",I caught a peacock butterfly! Now it's my turn to strut my stuff!,64.0,Pet,Green,Blue,Ins3,InsectKarasuageha,FtrInsectKarasuageha,610.0,rguKzmnRkGmBMKzyE
76.0,pill bug,https://acnhcdn.com/latest/MenuIcon/Ins57.png,https://acnhcdn.com/latest/BookInsectIcon/InsectDangomushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectDangomushiCropped.png,250.0,From hitting rocks,Any weather,0.0,50,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,NA,NA,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,11 PM – 4 PM,1x1,No,"Blech, the pill bug! Children delight at the way these beasts roll into balls when poked... But the appeal is utterly lost on me. One look at their leggy undersides... Hoo! Ewww! How they wriggle! Young pill bugs shed their exo- skeletons as they grow, and in doing so, sprout another pair of legs. As if 12 appendages weren't alarming enough! Yuck, I say. Yuck!",I caught a pill bug! That's a tough act to swallow!,64.0,Pet,Black,Blue,Ins57,InsectDangomushi,FtrInsectDangomushi,590.0,SGHXhcTzaNJD2z926
38.0,pondskater,https://acnhcdn.com/latest/MenuIcon/Ins27.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAmenboCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAmenboCropped.png,130.0,On rivers/ponds,Any weather,0.0,30,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,1x1,No,"Putrid pondskaters! They walk on water, you know...which is most preposterous! It is a trick they perform by secreting oil onto the hairs of their feet. To which I say BLEEECH! And one must wonder... What will they do next? Walk on air? Walk through walls? Perish the thought...",I caught a pondskater! Wonder if it can do a pond ollie...,64.0,Pet,Black,Blue,Ins27,InsectAmenbo,FtrInsectAmenbo,587.0,eSBNwiuZforpxNYem
12.0,Queen Alexandra's birdwing,https://acnhcdn.com/latest/MenuIcon/Ins8.png,https://acnhcdn.com/latest/BookInsectIcon/InsectArekisandoratoribaneagehaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectArekisandoratoribaneagehaCropped.png,4000.0,Flying near flowers,Any except rain,50.0,5,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,8 AM – 4 PM,NA,NA,NA,NA,NA,NA,NA,8 AM – 4 PM,8 AM – 4 PM,1x1,Yes,"Hoo! The horror! This behemoth butterfly may be called a Queen Alexandra's birdwing... But I call it the Queen of My Nightmares! It is huge! Indeed, the world's hugest. No butterfly can best its foot-long wingspan. The larvae alone grow to more than 4 inches. As if that weren't appalling enough...they're poisonous! Murderous monsters, indeed!",I caught a Queen Alexandra's birdwing! That's a feather in my cap!,64.0,Pet,Green,Pink,Ins8,InsectArekisandoratoribaneageha,FtrInsectArekisandoratoribaneageha,586.0,PbNXeN9GZuJuow7jv
58.0,rainbow stag,https://acnhcdn.com/latest/MenuIcon/Ins48.png,https://acnhcdn.com/latest/BookInsectIcon/InsectNijiirokuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectNijiirokuwagataCropped.png,6000.0,On trees (any kind),Any weather,50.0,7,NA,NA,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,7 PM – 8 AM,1x1,Yes,"Rainbows are beautiful things, I'm sure we all agree. But rainbow stag beetles? Bleech! Yes, yes, this beetle's back and belly shine with a pretty rainbow- colored luster. But that does not change the fact this bug has large pincers on its face and loves to pick a fight! If one can wish upon a rainbow, then I wish to stay far away from the rainbow stag. Perhaps I've picked the wrong profession.",I caught a rainbow stag! Its rainbow armor is so shiny!,64.0,Pet,Brown,Black,Ins48,InsectNijiirokuwagata,FtrInsectNijiirokuwagata,631.0,Egfv6BDtFMeGZPmfh
11.0,Rajah Brooke's birdwing,https://acnhcdn.com/latest/MenuIcon/Ins7.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAkaeritoribaneagehaCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAkaeritoribaneagehaCropped.png,2500.0,Flying near flowers,Any except rain,20.0,5,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,NA,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,1x1,Yes,"Did you know that the repulsive Rajah Brooke's birdwing loves to luxuriate in hot-springs water? It's true! Hoo! The males gather in groups to sip the moisture while the females hide in jungle trees. And though they dress to impress in red and green, these fluttering fiends are not just stylish... They're also quite malicious! Their little larvae pack a poisonous punch that's supposed to protect them from predators... But I suspect more diabolical designs.",I caught a Rajah Brooke's birdwing! Nothing else I'd rajah be doing!,64.0,Pet,Green,Pink,Ins7,InsectAkaeritoribaneageha,FtrInsectAkaeritoribaneageha,584.0,gLpHgXT4pPXP4XfWQ
32.0,red dragonfly,https://acnhcdn.com/latest/MenuIcon/Ins22.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAkiakaneCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAkiakaneCropped.png,180.0,Flying near water,Any except rain,0.0,80,NA,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"I won't deny that the wretched red dragonfly is an elegant aeronaut. It manipulates its four wings quite uniquely so it can hover and maneuver through the air with ease. But the veins on its wings! What ghastly things! One can't help but gasp at the sight of them... Appalling aerodynamics, indeed!",I caught a red dragonfly! Didn't even have to roll for initiative!,64.0,Pet,Red,Orange,Ins22,InsectAkiakane,FtrInsectAkiakane,585.0,PKSHvkPphXteXHKuG
18.0,rice grasshopper,https://acnhcdn.com/latest/MenuIcon/Ins67.png,https://acnhcdn.com/latest/BookInsectIcon/InsectInagoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectInagoCropped.png,400.0,On the ground,Any weather,0.0,20,NA,NA,NA,NA,NA,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,8 AM – 7 PM,NA,NA,NA,NA,NA,NA,NA,1x1,No,"In point of fact, rice grasshoppers are an awful pest! They devour rice plants and wipe out the crucial crop. But revenge is sweet! These bugs are edible, you see, and so some folks eat them as way to get rid of them. When boiled in soy sauce, rice grasshoppers are quite tasty, it's said. Though why anyone would put an insect in their mouth is beyond me. The mere thought gives me the gags!",I caught a rice grasshopper! I've been looking for agluten-free alternative...,64.0,Pet,Green,Yellow,Ins67,InsectInago,FtrInsectInago,605.0,ZxXDxrgPvXEHz24Ni
27.0,robust cicada,https://acnhcdn.com/latest/MenuIcon/Ins18.png,https://acnhcdn.com/latest/BookInsectIcon/InsectMinminzemiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectMinminzemiCropped.png,300.0,On hardwood/cedar trees,Any weather,0.0,70,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The robust cicada got its name from the chirping sound it makes, which is said to be quite...well...robust. But ""robust"" hardly describes it. Abrasive! Bombastic! Cacophonous! That's more like it! Beside the horrid caterwauling, this bug is known for its long wings, short body, and green coloring. But looking at a robust cicada is just as unpleasant as listening to one. My eyes AND my ears are offended.","I caught a robust cicada! It DOES seem pretty lively!; I caught a robust cicada! Not so energetic in the rain, huh?",64.0,Pet,Black,Blue,Ins18,InsectMinminzemi,FtrInsectMinminzemi,621.0,cd5ymnRmRvT4n4yjB
48.0,rosalia batesi beetle,https://acnhcdn.com/latest/MenuIcon/Ins82.png,https://acnhcdn.com/latest/BookInsectIcon/InsectRuriboshikamikiriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectRuriboshikamikiriCropped.png,3000.0,On tree stumps,Any except rain,20.0,2,NA,NA,NA,NA,All day,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,All day,All day,1x1,Yes,"The rosalia batesi beetle is a type of longhorn beetle, so named for the long antenna upon its head. But did you know that longhorn beetles often grow antenna LONGER than their very own bodies, wot wot? As if this weren't odious enough, look closely and you will find these antenna...are covered in tufts of hair! Best not look closely, I say.",I caught a rosalia batesi beetle! That's easier to do than say!,64.0,Pet,Blue,Black,Ins82,InsectRuriboshikamikiri,FtrInsectRuriboshikamikiri,3487.0,MSTA9vdJmGoDDADrF
55.0,saw stag,https://acnhcdn.com/latest/MenuIcon/Ins46.png,https://acnhcdn.com/latest/BookInsectIcon/InsectNokogirikuwagataCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectNokogirikuwagataCropped.png,2000.0,On trees (any kind),Any weather,0.0,20,NA,NA,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The saw stag got its name from the shape of its pincers. That is, its pincers look like jagged saws! And I tell you, the bigger the beetle, the more saw-like teeth its giant jaws have. I say the saw stag seems more at home in a horror film than in nature. I have terrified myself just talking about it.",I caught a saw stag! Now I can't unsee it!,64.0,Pet,Brown,Black,Ins46,InsectNokogirikuwagata,FtrInsectNokogirikuwagata,632.0,YQq3iSiBcBAHTWxc2
52.0,scarab beetle,https://acnhcdn.com/latest/MenuIcon/Ins43.png,https://acnhcdn.com/latest/BookInsectIcon/InsectPurachinakoganeCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectPurachinakoganeCropped.png,10000.0,On trees (any kind),Any weather,50.0,3,NA,NA,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,11 PM – 8 AM,11 PM – 8 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"Collectors consider the scarab beetle quite the prize, thanks to its shiny metallic shell. But did you know this bug has no nose and uses its antenna to sense smells instead? In fact, the scarab beetle's plated antenna are quite unique and set it apart from other beetles. But ALL antennae are equally awful in my book.",I caught a scarab beetle! It's just a dung beetle with better hobbies.,64.0,Pet,Black,Beige,Ins43,InsectPurachinakogane,FtrInsectPurachinakogane,639.0,2HXdFD8s6BmYYMf4u
80.0,scorpion,https://acnhcdn.com/latest/MenuIcon/Ins63.png,https://acnhcdn.com/latest/BookInsectIcon/InsectSasoriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectSasoriCropped.png,8000.0,On the ground,Any weather,0.0,2,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,1x1,Yes,"The scorpion...how should I put this? Those legs! Those pincers! That tail! And that venomous stinger! It's as if someone took all the most awful insect parts...and put them together to make the scorpion! All scorpions are venomous, you know! Though I understand that only a few kinds are truly deadly. I fear I might die just thinking about it.",I caught a scorpion! It was a sting operation!,64.0,Pet,Black,Black,Ins63,InsectSasori,FtrInsectSasori,640.0,xMzHsHbjvvicZvYxg
75.0,snail,https://acnhcdn.com/latest/MenuIcon/Ins29.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKatatsumuriCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKatatsumuriCropped.png,250.0,On rocks/bushes,Rain only,0.0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"Snails are not insects, I'll admit. But they're just as revolting to me. Snails are mollusks, you see, and are born wearing shells they cannot remove. Instead, their shells get bigger and bigger as they grow. Hoo! They must get heavy, don't you know! I suppose that's why they need a trail of mucus to move about. A truly foul form of transportation.",I caught a snail! It's...not much to brag about.,64.0,Pet,Beige,Green,Ins29,InsectKatatsumuri,FtrInsectKatatsumuri,611.0,rDNLeQnmJQGxsHpmL
78.0,spider,https://acnhcdn.com/latest/MenuIcon/Ins61.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKumoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKumoCropped.png,600.0,Shaking trees (hardwood or cedar only),Any weather,0.0,30,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,7 PM – 8 AM,1x1,Yes,"The spider is renowned for having eight eyes and eight legs... WHICH IS SIX TOO MANY, I SAY! Oh dear. I do apologize. Now where was I? Most spiders are carnivorous. In fact, some will eat creatures several times larger than themselves. To catch their prey, many of these ruthless predators spin sticky webs of surprising strength. Worse yet, they've also been known to ambush their victims, and some even chase down their meals! All this talk about the feeding habits of spiders... I'm feeling quite queasy. Hoot! The horror!",I caught a spider! I spied 'er first!,64.0,Pet,Yellow,Orange,Ins61,InsectKumo,FtrInsectKumo,619.0,s2u8kDoMQx7GbAJTR
41.0,stinkbug,https://acnhcdn.com/latest/MenuIcon/Ins64.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKamemushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKamemushiCropped.png,120.0,On flowers,Any except rain,0.0,40,NA,NA,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,NA,All day,All day,All day,All day,1x1,No,"I daresay the name says it all... Stinkbugs are known for their stench. Hoo! Peeyew! As it happens, these crop-eating pests use straw-like mouths to pierce plants and drink the juices. And when threatened, they use a smelly chemical in their belly to release their odious odor! Hoo! How DO they live with themselves?",I caught a stinkbug! It lives up to its name!,64.0,Pet,Green,Yellow,Ins64,InsectKamemushi,FtrInsectKamemushi,608.0,4u5GZ4z3CyaHhMgqj
79.0,tarantula,https://acnhcdn.com/latest/MenuIcon/Ins62.png,https://acnhcdn.com/latest/BookInsectIcon/InsectTaranchuraCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectTaranchuraCropped.png,8000.0,On the ground,Any weather,0.0,2,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,NA,NA,NA,NA,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,NA,NA,1x1,Yes,"As giant spiders go, the tarantula is said to be quite docile. But have you ever seen such foul fuzziness?! It is a fact, tarantulas have barbed belly hair! I say again...BARBED. BELLY. HAIR! These awful arachnids let loose their spiky, itchy hairs to protect themselves from predators. But seeing how tarantulas also prey on frogs, mice, and even birds, one must ask... Who needs protecting from whom?! Hoo! Who indeed!",I caught a tarantula! This situation just got hairy!,64.0,Pet,Brown,Black,Ins62,InsectTaranchura,FtrInsectTaranchura,646.0,4mto3ZvrZYpJxbm4c
44.0,tiger beetle,https://acnhcdn.com/latest/MenuIcon/Ins70.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHanmyouCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHanmyouCropped.png,1500.0,On the ground,Any except rain,20.0,15,NA,All day,All day,All day,All day,All day,All day,All day,All day,All day,NA,NA,All day,All day,All day,All day,NA,NA,NA,All day,All day,All day,All day,All day,1x1,No,"The tiger beetle is extremely fleet of foot, though it runs in a rather peculiar way. That is, it sprints, then stops, then sprints again...using these speedy maneuvers to run down its prey. You see, the tiger beetle—like a real tiger—is a powerful predator. The mere thought of it giving chase gives me the willies. Tigers are terrifying at any size.",I caught a tiger beetle! I pounced first!,64.0,Pet,Green,Yellow,Ins70,InsectHanmyou,FtrInsectHanmyou,599.0,zzGvu3797KnMb4LCD
3.0,tiger butterfly,https://acnhcdn.com/latest/MenuIcon/Ins2.png,https://acnhcdn.com/latest/BookInsectIcon/InsectAgehachoCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectAgehachoCropped.png,240.0,Flying,Any except rain,0.0,40,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,NA,NA,NA,NA,NA,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,4 AM – 7 PM,1x1,Yes,"Tiger butterflies are known for their majestic wings, which many consider quite beautiful. Truth be told, I find them monstrous! Those strange striped patterns... They give this owl the goose bumps! And while you may imagine young tiger butterfly larvae to look like lovely green caterpillars...it's not so! Why, when tiger butterflies are but babes, they're covered in unsightly white, brown, and black spots. In this way, they camouflage themselves as...as...bird droppings! Putrid pests, indeed!",I caught a tiger butterfly! I've earned my stripes!,64.0,Pet,Yellow,Green,Ins2,InsectAgehacho,FtrInsectAgehacho,583.0,GcSpepwg536mYnNuu
46.0,violin beetle,https://acnhcdn.com/latest/MenuIcon/Ins38.png,https://acnhcdn.com/latest/BookInsectIcon/InsectBaiorinmushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectBaiorinmushiCropped.png,450.0,On tree stumps,Any except rain,0.0,10,NA,NA,NA,NA,All day,All day,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,All day,All day,1x1,Yes,"The violin beetle gets its name from its shape. That is, SOME think it resembles the stringed instrument. If you ask me, this is an insult to violins! With its flat body and small head, the violin beetle looks like nothing but a repulsive bug, plain and simple. In fact it is so repulsive, it oozes a foul liquid when frightened! Ugh! This insect strikes a sour note indeed.",I caught a violin beetle! Apparently I'm as fit as a fiddle!,64.0,Pet,Brown,Black,Ins38,InsectBaiorinmushi,FtrInsectBaiorinmushi,650.0,poAcys5Mr35ELp5PS
29.0,walker cicada,https://acnhcdn.com/latest/MenuIcon/Ins19.png,https://acnhcdn.com/latest/BookInsectIcon/InsectTsukutsukuhousiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectTsukutsukuhousiCropped.png,400.0,On hardwood/cedar trees,Any weather,0.0,40,NA,NA,NA,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,8 AM – 5 PM,8 AM – 5 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The walker cicada is quite the noisy thing. I tell you, this impolite pest simply canNOT abide the quiet. In the heat of summer, the male strikes up a strange rattling song, hoping to woo a mate. When other male cicadas hear this rhythmic racket, they join right in... As if it were a sing-along! My head aches at the thought of it.","I caught a walker cicada! Pffft... I walk all the time and no one calls me ""Walker ...""; I caught a walker cicada! It must hate getting its feet wet.",64.0,Pet,Black,Pink,Ins19,InsectTsukutsukuhousi,FtrInsectTsukutsukuhousi,649.0,QdrL4K7seJHvd4ZZM
67.0,walking leaf,https://acnhcdn.com/latest/MenuIcon/Ins34.png,https://acnhcdn.com/latest/BookInsectIcon/InsectKonohamushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectKonohamushiCropped.png,600.0,Disguised under trees,Any weather,20.0,10,NA,NA,NA,NA,NA,NA,All day,All day,All day,NA,NA,NA,All day,All day,All day,NA,NA,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"What a fraud! What a phony! The walking leaf is, in fact, the very embodiment of a lie! This master mimic looks like a tree leaf all the way down to the tiniest details. In fact, this bug has been known to sway to and fro as it walks...just so it looks like a leaf blown by the wind! And the fakery works! These insects look so much like leaves that even leaf-eating insects nibble on them! Lying liars, indeed!",I caught a walking leaf! It seems to be taking it in stride!,64.0,Pet,Green,Green,Ins34,InsectKonohamushi,FtrInsectKonohamushi,616.0,kuZaMcg2E7ZX56nio
66.0,walking stick,https://acnhcdn.com/latest/MenuIcon/Ins35.png,https://acnhcdn.com/latest/BookInsectIcon/InsectNanafushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectNanafushiCropped.png,600.0,On trees (any kind),Any weather,20.0,10,NA,NA,NA,NA,NA,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,4 AM – 8 AM; 5 PM – 7 PM,NA,NA,NA,NA,NA,NA,NA,1x1,Yes,"The walking stick looks just like a twig, does it not? Hoo! It even has knots like a real twig would! These bashful bugs mimic plants in this way to hide from predators. A noble goal, you might say. But though the deceptive wretches fool some, they do not fool me! I see these bugs for what they are... Monsters, plain and simple! I say, did you know that walking sticks can grow to two feet long?! Imagine running into one! Surely I would faint.","I caught a walking stick! Check out its walking schtick! Look, these are the jokes, OK?",64.0,Pet,Brown,Yellow,Ins35,InsectNanafushi,FtrInsectNanafushi,630.0,WQjgrjYotbwH59vXG
25.0,wasp,https://acnhcdn.com/latest/MenuIcon/Ins12.png,https://acnhcdn.com/latest/BookInsectIcon/InsectHachiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectHachiCropped.png,2500.0,Shaking trees,Any weather,0.0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,Yes,"Hoo! Allow me to share a fact with you! Wasps are sometimes called ""meat bees"" because... They. Eat. MEAT! MEAT! Of almost any sort! Surely you've seen what a menace they make of themselves at picnics. 'Tis hardly the worst of it, wot wot! Aggressive predators with venomous stingers, wasps not only hunt and eat other insects... they paralyze their prey, then drag their victims home ALIVE, leaving them for their larva to feed upon. Suddenly a simple sting seems quite tolerable.",I caught a wasp! That's gotta sting...,64.0,Pet,Yellow,Orange,Ins12,InsectHachi,FtrInsectHachi,643.0,ZEfBHqM6pFEddBezw
71.0,wharf roach,https://acnhcdn.com/latest/MenuIcon/Ins71.png,https://acnhcdn.com/latest/BookInsectIcon/InsectFunamushiCropped.png,https://acnhcdn.com/latest/FtrIcon/FtrInsectFunamushiCropped.png,200.0,On beach rocks,Any weather,0.0,20,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,1x1,No,"The wharf roach is an omnivore, which is merely a polite way of saying it will eat almost anything. This skittering scavenger and its uncouth appetite help keep beaches clean, it's said. But I dare say, their long antenna and bulging eyes turn MY stomach. Unappetizing indeed...",I caught a wharf roach! This water-loving roach has no pier!,64.0,Pet,Beige,Blue,Ins71,InsectFunamushi,FtrInsectFunamushi,591.0,2fp9ChfPuPdYefTK3
